,CD20,CD3,CD4,CD44,CD45,CD68,CK14,CK19,Ecad,ER,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene11_cell1453,0.9207267,0.49355996,0.43454367,0.17095737,0.5725509,0.3054522,0.80741733,0.2700811,0.42134443,0.542756,0.5642325,0.25325957,0.19704333,JE-TMA-41
JE-TMA-41_scene11_cell3178,0.42387974,0.32743254,0.44304222,0.5884933,0.6092587,0.3890016,0.3528341,0.15978876,0.8602691,0.6377361,0.9160947,0.29010704,0.59678024,JE-TMA-41
JE-TMA-41_scene11_cell1521,0.48912847,0.7474209,0.7059387,0.29582456,0.75561196,0.68065923,0.8550272,0.43986416,0.69806796,0.62870866,0.87925917,0.893727,0.88537127,JE-TMA-41
JE-TMA-41_scene11_cell2292,0.8083376,0.37286946,0.62085986,0.11193711,0.56521714,0.28287575,0.66466826,0.11769719,0.3147272,2.5948067,0.36931306,0.37890086,0.16470307,JE-TMA-41
JE-TMA-41_scene11_cell3305,0.6302775,0.4354228,0.5918642,0.17871651,0.6258996,0.70935017,0.7205815,0.33994183,0.5630397,0.5846191,0.5279063,0.2510722,0.21518594,JE-TMA-41
JE-TMA-41_scene11_cell3121,0.7980577,0.43416443,0.60575265,0.5328594,0.6735024,0.7123509,1.159657,1.0681334,0.49302793,0.80480075,0.3664286,0.24864267,0.17898925,JE-TMA-41
JE-TMA-41_scene11_cell1058,0.55510616,0.32833785,0.63332564,0.37700418,0.5546235,0.8038732,0.68714494,0.23899835,0.47727716,0.14397009,0.31725514,0.07600506,0.14140722,JE-TMA-41
JE-TMA-41_scene11_cell2482,0.33010116,0.46278766,0.7334478,0.23808765,0.57406896,0.40884608,0.80573744,0.49667126,0.44878432,0.95670754,0.52459425,0.22946884,0.29680076,JE-TMA-41
JE-TMA-41_scene11_cell2055,0.45846677,0.23271972,0.33497632,0.048117947,0.3992683,0.30627,0.7524174,0.82848984,0.27672002,0.2587941,0.25068063,0.02588224,0.10440376,JE-TMA-41
JE-TMA-41_scene11_cell2982,0.65369016,0.8461987,1.0085524,0.7536404,0.91741383,0.7481932,1.5895025,0.8142478,0.83405876,0.35988745,0.5741201,0.31039253,0.3432019,JE-TMA-41
JE-TMA-41_scene11_cell1807,0.74457043,0.49891287,0.66674715,0.1660325,0.679126,0.4118722,0.7920421,0.31967375,0.57251716,0.74642473,1.0065476,0.35572585,0.45394164,JE-TMA-41
JE-TMA-41_scene11_cell2107,0.44184136,0.43841732,0.6351172,0.6121092,0.6525631,0.69381094,0.48771623,0.27617726,0.6355769,0.4786392,0.7929235,0.4593036,0.52574503,JE-TMA-41
JE-TMA-41_scene11_cell3433,0.2432783,0.3857018,0.35320532,0.8032456,0.43641222,0.4000381,0.61579967,0.22642085,0.2652032,0.37717918,0.4422003,0.38054457,0.30328652,JE-TMA-41
JE-TMA-41_scene11_cell2688,0.3759226,0.20388919,0.60238856,0.53555363,0.65313345,0.63408643,0.59602183,0.39841723,0.85740954,0.3655682,0.5762203,0.18771832,0.27704668,JE-TMA-41
JE-TMA-41_scene11_cell1877,0.62659544,0.57152736,0.71386856,0.57137555,0.6400363,0.7495669,0.8219401,0.36960557,0.56015056,0.87741923,0.81779456,0.41695702,0.5975893,JE-TMA-41
JE-TMA-41_scene11_cell2999,0.394504,0.26585588,0.3398379,0.6060392,0.51929003,0.34917668,0.58102465,0.40923887,0.5385805,0.1702982,0.22493161,0.123013705,0.20924492,JE-TMA-41
JE-TMA-41_scene11_cell1441,0.42704576,0.5172315,0.57084924,0.85306567,0.5135356,0.67133254,1.3190175,3.9597404,0.67529684,0.23119195,0.14543664,0.040013343,4.0398836,JE-TMA-41
JE-TMA-41_scene11_cell3450,0.7521805,0.62028354,0.9309574,0.3339376,0.8045255,1.8026493,0.5584423,0.63236254,0.7680659,0.71194386,0.67739856,0.27235058,0.16010845,JE-TMA-41
JE-TMA-41_scene11_cell2675,0.39943948,0.69672024,0.7887818,0.7156397,0.602978,0.5493946,0.7942875,0.18350068,0.51376116,0.99927795,0.6994998,0.21494316,0.3392142,JE-TMA-41
