"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0624444444444444,0.916541666666667,0
"2.5%",0.0536805555555556,0.898611111111111,0
"50%",0.0615740740740741,0.916666666666667,0
"97.5%",0.0743171296296296,0.931944444444444,0
