,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell512,0.17587979,0.29994023,0.4869862,0.8584993,0.26747566,0.98527145,0.39920655,0.82424,0.19413157,0.8061342,0.17202231,0.13056748,0.02144777,0.09337651,0.0023931663,0.121181905,0.024760617,0.01854706,0.2039377,0.09472737,0.2158153,0.38172215,0.17916895,0.035375595,JE-TMA-41
JE-TMA-41_scene01_cell84,0.18628165,0.032617666,0.91304535,0.87481266,0.28790754,1.6086684,0.12249722,0.9319396,0.122044444,0.7192531,3.6284845,0.0272816,0.0,0.08183044,0.0009667539,0.13422798,0.019476373,0.014529801,0.2533086,0.045488887,0.7129678,0.3645594,0.41747233,0.28289258,JE-TMA-41
JE-TMA-41_scene01_cell2548,0.15192325,0.33675194,0.113290325,0.7561793,0.15812647,0.4766941,0.08395478,0.54394805,0.031195069,0.34012133,0.018019775,0.020643258,0.021513531,0.088782534,0.0027922308,0.12519285,0.011174671,0.01895208,0.15909368,0.15021093,0.0058263326,0.36606812,0.03264727,0.06265478,JE-TMA-41
JE-TMA-41_scene01_cell1800,0.19724888,0.43464056,0.3355543,1.0016077,0.545742,0.9252385,0.2958335,0.8123325,0.14078914,1.4731803,0.57838005,0.18605866,0.27936354,0.11857264,0.004184904,0.1215694,0.01311289,0.015577375,0.17943402,0.12224533,0.12528285,0.46387067,0.14998534,0.06612505,JE-TMA-41
JE-TMA-41_scene01_cell1197,0.1368869,0.53491294,0.88287175,1.1023965,0.3262049,4.0814295,0.6442444,0.92521137,0.012853843,0.6786697,0.34853777,0.019252567,0.0020324562,0.060621195,0.0,0.1284699,0.0040957592,0.011033756,0.18494746,0.00474631,0.09123892,0.35940424,0.009286607,0.00027155658,JE-TMA-41
JE-TMA-41_scene01_cell2582,0.20149729,0.44291353,0.15798365,1.1861811,0.2575558,3.9016685,0.19144109,0.78206724,0.1388068,1.3447117,0.17660826,0.20677558,0.031519417,0.08138536,0.0066316207,0.1264268,0.012554966,0.015109584,0.17050533,0.1536343,0.019329708,0.40137604,0.016428012,0.01252541,JE-TMA-41
JE-TMA-41_scene01_cell1716,0.23008005,0.5991651,0.31234765,1.0538843,1.6061443,4.5574603,0.67496616,0.86895204,0.41727826,4.632607,0.5810309,0.28965136,0.108188026,0.08962467,0.016998809,0.12952816,0.023077795,0.014556548,0.18046397,0.09494231,0.0029125775,0.35396454,0.18261199,0.2056253,JE-TMA-41
JE-TMA-41_scene01_cell2857,0.14317209,1.0851444,0.15616225,0.79957545,1.36612,0.7476149,0.2584499,0.68009317,0.1294881,0.48644355,0.6334885,0.14403175,1.2360756,0.10590075,0.011937121,0.120432064,0.018346738,0.017050765,0.17154296,0.12086529,0.010702776,0.47837758,0.06088987,0.033905055,JE-TMA-41
JE-TMA-41_scene01_cell26,0.1358915,0.043898255,0.14698492,0.74173117,0.14783654,0.22773172,0.07510562,0.5472938,0.024748113,0.07033273,0.8206052,0.0035652418,0.0099171,0.14736603,0.008682323,0.118275784,0.014016563,0.0147767225,0.16940346,0.064390585,0.0053367405,0.3207768,0.05814983,0.087718286,JE-TMA-41
JE-TMA-41_scene01_cell2492,0.17602207,0.6470015,0.13006143,1.6925159,0.46501938,4.4801006,0.44940573,0.9740191,0.07508569,0.60247344,0.14991982,0.084130205,0.0716866,0.100528456,0.002614578,0.1230419,0.009226878,0.020117082,0.16906922,0.19667481,0.006621728,0.40585092,0.07272112,0.049866356,JE-TMA-41
