,CK19,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK5,CK7,Ecad,Ki67,LamAC,PCNA,pHH3,ER,batch
JE-TMA-43_scene05_cell1503,0.083642446,0.039610267,0.0084020505,0.004985146,0.025170228,0.035985984,0.018807879,0.014606473,0.04863423,0.037236992,0.0051707993,0.06387044,0.051271778,1.60393e-05,0.012596692,0.08222714,0.027429743,0.010753224,0.18662353,0.45816362,0.42794493,0.3815395,0.045960348,0.27010512,JE-TMA-43
JE-TMA-43_scene05_cell1543,0.06431272,0.039974913,0.006765621,0.0087664705,0.051203486,0.011057823,0.011133584,0.023517841,0.071895875,0.061297916,0.004581083,0.0162607,0.031852458,0.0,0.015445047,0.08379143,0.025157647,0.009773415,0.30876803,0.257953,0.37849954,0.8566083,0.044670977,0.59115744,JE-TMA-43
JE-TMA-43_scene05_cell3878,0.26569286,0.045336485,0.007677446,0.0061709313,0.028637378,0.010617644,0.01289075,0.01588775,0.048474036,0.08403158,0.008593374,0.027709054,0.05479094,1.7724904e-07,0.013628159,0.07826435,0.025514236,0.01847539,0.37999296,0.057604365,0.35651967,0.43136528,0.048500773,0.19595192,JE-TMA-43
JE-TMA-43_scene05_cell767,0.19841939,0.042456545,0.008155637,0.0064666877,0.03234075,0.0059275078,0.011363715,0.01774604,0.04789252,0.070506446,0.0067816027,0.014870852,0.047085006,0.0,0.014009424,0.08721562,0.027954487,0.015022377,0.30537295,0.05333048,0.5045193,0.31017405,0.11355656,0.44091287,JE-TMA-43
JE-TMA-43_scene05_cell1211,0.07127848,0.04588157,0.005809956,0.0075517953,0.03947349,0.0076833437,0.014051172,0.022468587,0.0677594,0.046403445,0.0035893586,0.018296372,0.028358664,0.0,0.013714927,0.072856516,0.024021216,0.011795734,0.41262236,0.36303782,0.34246248,0.68454796,0.04056042,0.28970453,JE-TMA-43
JE-TMA-43_scene05_cell3420,0.13197719,0.03590165,0.0062822066,0.0066256276,0.03673887,0.0042390237,0.009439027,0.013677008,0.057184696,0.045631334,0.0010013537,0.025319582,0.055690788,0.0,0.012535426,0.06803464,0.02826902,0.006723812,0.34928292,0.26659837,0.43335697,0.525235,0.04981463,0.3749433,JE-TMA-43
JE-TMA-43_scene05_cell4164,0.123976186,0.038582236,0.006828818,0.006720575,0.034959417,0.0037557434,0.010986608,0.017879864,0.052959185,0.086388454,0.0017389987,0.0145947095,0.053469095,0.0,0.0135689,0.069481574,0.02695743,0.018964874,0.27856654,0.027053317,0.52699554,0.37636867,0.04843225,0.27352494,JE-TMA-43
JE-TMA-43_scene05_cell4472,0.110316075,0.044471573,0.0067683677,0.008692852,0.040915463,0.006789267,0.013431535,0.014713376,0.06225888,0.06086447,0.007488742,0.031602502,0.07035092,0.0,0.015045733,0.067726575,0.027508156,0.008430178,0.3848004,0.0526224,0.5887455,0.4417991,0.049441293,0.78353715,JE-TMA-43
JE-TMA-43_scene05_cell4450,0.1031969,0.036447573,0.0063196844,0.005311764,0.023294503,0.007482205,0.0069396384,0.008579724,0.040249787,0.038912177,0.0020011635,0.008924426,0.052071907,0.0,0.0144313965,0.07287199,0.02883246,0.009183935,0.2003412,0.040335886,0.17957023,0.29926443,0.05126828,0.30202112,JE-TMA-43
JE-TMA-43_scene05_cell2424,0.07566302,0.08847636,0.006186462,0.009787809,0.03420851,0.012851814,0.013751042,0.024155257,0.058077563,0.064143956,0.0066823047,0.041866764,0.04957053,0.0,0.013671324,0.057122685,0.024509976,0.015895711,0.32317153,0.13081558,0.4154956,0.62472856,0.04947997,0.37281552,JE-TMA-43
JE-TMA-43_scene05_cell5810,0.099472344,0.04667574,0.008398592,0.010076043,0.06094317,0.0069930623,0.012770261,0.02444262,0.07865609,0.057229254,0.007879903,0.01944354,0.07601903,0.0,0.016231762,0.06193592,0.029160572,0.014870682,0.43396017,0.09286632,0.45055914,0.4368641,0.061749555,0.5838685,JE-TMA-43
JE-TMA-43_scene05_cell4728,0.2906361,0.039794575,0.006229162,0.0049227783,0.019863615,0.014583518,0.013808438,0.01012887,0.035851482,0.061010994,0.008576959,0.022581913,0.05836227,0.0,0.013627887,0.07639542,0.02411437,0.0118077,0.26560873,0.20546532,0.23251453,0.29016113,0.044257972,0.2683961,JE-TMA-43
JE-TMA-43_scene05_cell4933,0.26658416,0.046442326,0.0059114946,0.0054884315,0.025073577,0.009523648,0.012904076,0.015432478,0.042774137,0.037956294,0.0030748968,0.012579378,0.040972225,8.521151e-06,0.013323739,0.06672328,0.026677938,0.00819329,0.43049142,0.04466282,0.34719923,0.43744355,0.045817982,0.67211604,JE-TMA-43
JE-TMA-43_scene05_cell2875,0.08422833,0.045469955,0.007633354,0.008658641,0.043266676,0.004646288,0.016353037,0.022200242,0.069926634,0.0670377,0.0047854474,0.038003396,0.069848776,0.0,0.013233164,0.069142126,0.028466942,0.008530435,0.40797418,0.1326651,0.55189085,0.6949432,0.06734008,0.33262944,JE-TMA-43
JE-TMA-43_scene05_cell2535,0.055109944,0.037253495,0.006793146,0.00961967,0.058267597,0.011141276,0.010472142,0.02441471,0.06600237,0.041824494,0.0015578592,0.01905807,0.035005063,0.0,0.01347402,0.074960895,0.022596898,0.010190444,0.2536387,0.545118,0.3366821,0.79654485,0.0587046,0.18645741,JE-TMA-43
JE-TMA-43_scene05_cell1793,0.069757655,0.043114766,0.0078001423,0.008998828,0.049790785,0.009265184,0.012140345,0.020807201,0.08360939,0.07404314,0.004485483,0.027717935,0.03795264,0.0,0.014994735,0.07989872,0.024819322,0.008064726,0.39365473,0.06290873,0.4913057,0.80981714,0.056287162,0.29444385,JE-TMA-43
JE-TMA-43_scene05_cell5891,0.13515154,0.043734923,0.0049649337,0.008424337,0.030627526,0.010561567,0.011174207,0.025378687,0.05762657,0.058921363,0.0014646775,0.02463887,0.065081134,0.0,0.014328398,0.076260515,0.024975168,0.02010973,0.32702225,0.1558467,0.27174276,0.41741785,0.048914842,0.4001891,JE-TMA-43
JE-TMA-43_scene05_cell5212,0.11582893,0.040292382,0.006766273,0.008594718,0.044522457,0.007841993,0.014956382,0.02245127,0.067620374,0.061185967,0.0053743287,0.019951245,0.067986585,0.0,0.014012115,0.077213705,0.02633626,0.014522213,0.450419,0.239759,0.4595494,0.6654273,0.052946173,0.7484662,JE-TMA-43
JE-TMA-43_scene05_cell2050,0.06433535,0.045570686,0.008188692,0.010546219,0.052235093,0.008870533,0.015806714,0.03163887,0.08401173,0.06816459,0.008153345,0.02540281,0.050508924,0.00023199154,0.0153416805,0.06612463,0.028809736,0.010936501,0.3115573,0.109501876,0.470151,0.57283443,0.05251275,0.4567091,JE-TMA-43
JE-TMA-43_scene05_cell5554,0.18055418,0.04170287,0.006641817,0.0046381257,0.023531318,0.01279971,0.011021438,0.023252815,0.046862267,0.042335298,0.0028212054,0.019288685,0.03233872,0.0,0.011412178,0.070111424,0.022947188,0.021376444,0.220719,0.01662743,0.62040097,0.2995539,0.046736553,0.29140487,JE-TMA-43
JE-TMA-43_scene05_cell1579,0.08180058,0.039838377,0.006861451,0.0070724143,0.030545533,0.007858296,0.013748501,0.019922854,0.0719076,0.11296769,0.008075994,0.025008474,0.045966294,0.0,0.01337442,0.068880394,0.027802704,0.008616776,0.42632154,0.10883166,0.4377527,0.41927645,0.047986235,0.4056222,JE-TMA-43
JE-TMA-43_scene05_cell3434,0.12376574,0.042513203,0.006816626,0.008262943,0.03934341,0.0058187936,0.0109682195,0.017649623,0.06343156,0.06636323,0.005348423,0.03056467,0.040567525,7.2386306e-06,0.014130993,0.07259419,0.030084688,0.005296695,0.34614518,0.23372142,0.43461037,0.9123598,0.05338893,0.57927424,JE-TMA-43
JE-TMA-43_scene05_cell4117,0.13579284,0.048254162,0.0071897116,0.0070309946,0.032953106,0.004828794,0.011586131,0.023681685,0.056079347,0.079859026,0.008351793,0.016492853,0.055483762,0.0,0.014461281,0.06942879,0.032145374,0.0111382,0.5891843,0.04176348,0.51721245,0.43411094,0.09237614,0.38187066,JE-TMA-43
JE-TMA-43_scene05_cell4031,0.1059875,0.04115037,0.0067939134,0.0075167613,0.03334758,0.008717734,0.010534524,0.0149906855,0.057015583,0.0750296,0.0062232786,0.018802505,0.046936657,0.0,0.015247431,0.067716144,0.02889957,0.008559764,0.30737272,0.117195174,0.36290953,0.5379345,0.05884587,0.38555297,JE-TMA-43
JE-TMA-43_scene05_cell4863,0.19253147,0.036654573,0.0053595947,0.010383121,0.015298354,0.013787948,0.0058341157,0.005577203,0.01971506,0.01566947,0.0013675764,0.0053738654,0.025677154,3.5989617e-06,0.014678108,0.09185212,0.024758933,0.008742062,0.1013151,0.02161681,0.089036785,0.33127013,0.0418629,0.12942298,JE-TMA-43
JE-TMA-43_scene05_cell693,0.08775055,0.044107985,0.0068767476,0.0069363327,0.03572684,0.008910378,0.014634803,0.01923987,0.05842583,0.046574894,0.0020368397,0.011870846,0.024960967,0.0,0.012634957,0.08045386,0.026560593,0.012024886,0.5905848,0.19725938,0.3240865,0.3509674,0.042657923,0.17062682,JE-TMA-43
JE-TMA-43_scene05_cell480,0.20182166,0.03915211,0.0072710416,0.0125685595,0.06583434,0.009135903,0.015704809,0.025638646,0.09016429,0.06829742,0.0070028254,0.04331184,0.036502287,0.0,0.01502945,0.070778154,0.028793266,0.0157282,0.3027248,0.047396906,0.62590146,0.43456247,0.051885154,0.38217816,JE-TMA-43
JE-TMA-43_scene05_cell2169,0.17133212,0.03970463,0.0073344978,0.006475694,0.029271422,0.011371997,0.013363428,0.013383317,0.055671107,0.052894805,0.010524779,0.02129392,0.0461193,0.0,0.014293516,0.07396344,0.026770009,0.009010754,0.26064503,0.29515725,0.4240561,0.40723637,0.04858672,0.5086642,JE-TMA-43
JE-TMA-43_scene05_cell3180,0.08008314,0.043504402,0.007968287,0.006627659,0.02863108,0.015126807,0.018492928,0.024760876,0.057474982,0.062323242,0.0047892043,0.10534041,0.05869213,1.0595351e-06,0.014382235,0.06264503,0.024717102,0.012652301,0.36621314,0.12036213,0.46455178,0.6725375,0.049662136,0.35124984,JE-TMA-43
JE-TMA-43_scene05_cell3055,0.1495363,0.03995115,0.0076988195,0.00963328,0.048462648,0.0041561914,0.012108361,0.021683833,0.06650582,0.08940387,0.003264838,0.041257087,0.05717023,0.0,0.014400862,0.06412578,0.030817434,0.0146236755,0.28234828,0.024080195,0.8465277,0.3912887,0.04914556,0.42907453,JE-TMA-43
JE-TMA-43_scene05_cell2543,0.07016319,0.038492493,0.00654338,0.004421204,0.020811142,0.013206268,0.013003662,0.013319593,0.04044983,0.04513969,0.007827997,0.033422172,0.023973377,0.0,0.01297253,0.05906129,0.025715943,0.00952411,0.270944,0.23015511,0.28568086,0.43589455,0.04874398,0.23408826,JE-TMA-43
JE-TMA-43_scene05_cell3352,0.09199808,0.039400347,0.006221485,0.00737306,0.028668622,0.007887863,0.010029077,0.012227083,0.040547367,0.048212398,0.003201952,0.033225548,0.032480977,0.0,0.014176643,0.06933231,0.030747153,0.00868993,0.4313155,0.18158159,0.26085207,0.30128643,0.04401382,0.27750257,JE-TMA-43
JE-TMA-43_scene05_cell3842,0.064050265,0.03964661,0.0069856388,0.0083843265,0.04493907,0.004954289,0.013141538,0.022641372,0.067986846,0.05201373,0.012797746,0.024023253,0.055781987,1.4560788e-06,0.015190021,0.07529795,0.023427384,0.006453349,0.45898244,0.1887305,0.52072936,0.65986514,0.04938788,0.4562529,JE-TMA-43
JE-TMA-43_scene05_cell5674,0.09458173,0.042559315,0.008838602,0.009478599,0.049637746,0.005828908,0.011920635,0.021128753,0.07445834,0.060578085,0.014009846,0.011659296,0.061421964,0.0,0.0147787845,0.090501115,0.027813721,0.010612052,0.32159784,0.13922314,0.20575039,0.4445737,0.053745423,0.5298232,JE-TMA-43
JE-TMA-43_scene05_cell1765,0.2501532,0.044957526,0.009027199,0.009804268,0.044380352,0.013019745,0.0142944865,0.025618834,0.079579994,0.09165837,0.005044151,0.03448479,0.068228796,0.0,0.013513146,0.08175356,0.025445754,0.027233943,0.21477355,0.183036,0.58633846,0.2430453,0.047789425,0.44257393,JE-TMA-43
JE-TMA-43_scene05_cell2826,0.08922725,0.040638857,0.0066096922,0.008435729,0.043649275,0.00503918,0.013125911,0.017723048,0.060334656,0.061375942,0.002194819,0.038206313,0.05747808,0.0,0.012721232,0.07437061,0.026210269,0.008021475,0.35560223,0.42340013,0.4519965,1.0,0.064377524,0.40175632,JE-TMA-43
JE-TMA-43_scene05_cell905,0.15311384,0.045965075,0.0073028444,0.0069879866,0.033205546,0.0037564647,0.011624664,0.015062997,0.060779456,0.073962815,0.0013669237,0.010642761,0.037715748,0.0,0.013549863,0.077126406,0.03358657,0.019795908,0.42763442,0.06915404,0.4597058,0.59227955,0.049163237,0.7183478,JE-TMA-43
JE-TMA-43_scene05_cell3724,0.08431129,0.044306915,0.006977545,0.00907924,0.053689152,0.0071019637,0.013060027,0.021988932,0.074107826,0.0544995,0.005778779,0.036849115,0.05809391,0.0,0.015421466,0.060802717,0.026709564,0.010801145,0.38056928,0.16236027,0.37682804,0.51972,0.05085392,0.32218066,JE-TMA-43
JE-TMA-43_scene05_cell710,0.07082853,0.042239435,0.009103117,0.00547573,0.03248956,0.015436866,0.01668138,0.01550376,0.052992865,0.05908095,0.017166397,0.08466713,0.03815538,6.0697712e-05,0.012798696,0.07543692,0.025553392,0.00844293,0.2893259,0.19566849,0.46484318,0.8529523,0.06671727,0.3011366,JE-TMA-43
JE-TMA-43_scene05_cell4370,0.09054721,0.044788815,0.007083932,0.011521013,0.060704827,0.005320609,0.012459938,0.021872694,0.08870958,0.075882144,0.0084253745,0.024987277,0.06381494,5.2369373e-06,0.014866771,0.0853037,0.025298253,0.008990676,0.40501833,0.15892458,0.5499917,0.67824227,0.05125856,0.5622528,JE-TMA-43
JE-TMA-43_scene05_cell4336,0.09726001,0.042629573,0.00653571,0.006072301,0.030838154,0.009368269,0.010392207,0.015530903,0.05013206,0.046036232,0.007192686,0.01725615,0.04916356,0.0,0.013471722,0.05851538,0.026270555,0.020665694,0.25263122,0.11506651,0.3780289,0.505862,0.047408406,0.38687927,JE-TMA-43
