"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.020037037037037,0.673013888888889,0
"2.5%",0.0150347222222222,0.6375,0
"50%",0.0203703703703704,0.673611111111111,0
"97.5%",0.0250462962962963,0.699479166666667,0
