,CK19,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK5,CK7,Ecad,Ki67,LamAC,PCNA,pHH3,ER,batch
JE-TMA-41_scene01_cell1731,0.008118835,0.014028862,0.012362297,0.04923846,0.18360193,0.013259315,0.15901859,0.0024587484,0.12702432,0.0034045035,0.055013023,0.0049542803,0.01200474,0.0009748673,0.0012523417,0.00820946,0.019887138,0.017397461,0.0054823323,0.0075283255,0.0012641666,0.0082692625,0.005938019,0.005689539,JE-TMA-41
JE-TMA-41_scene01_cell2555,0.009373847,0.018640598,0.0068626725,0.0127477255,0.018158184,0.00021402443,0.076702476,0.008455598,0.005429512,0.007415706,0.002281708,0.018672055,0.01731986,0.018625222,0.0070954426,0.0041993535,0.0154880285,0.019366868,0.017231233,0.014153382,0.016472895,0.011415942,0.005991163,0.012075858,JE-TMA-41
JE-TMA-41_scene01_cell3239,0.0043703266,0.015297732,0.030295027,0.0020764521,0.10624032,0.017361915,0.24141155,0.0044207936,0.004682258,0.018748473,0.08393219,0.010068027,0.01215347,0.010030364,0.0007771319,0.0011512917,0.01547218,0.0079506915,0.010115722,0.0029113977,0.018887542,0.0050030984,0.01437845,0.00016698349,JE-TMA-41
JE-TMA-41_scene01_cell1076,0.014271336,0.010249433,0.012382993,0.27315524,0.109289974,0.009072711,0.12664244,0.0033172548,0.067594066,0.018640185,0.011823313,0.043183975,0.013308217,0.017246068,0.005497054,0.013921857,0.009987835,0.015890535,0.0095219845,0.009354721,0.004892009,0.0016060416,0.00066927675,0.0014112312,JE-TMA-41
JE-TMA-41_scene01_cell2542,0.015269934,0.014234391,0.18418863,0.041761722,0.17498764,0.011969382,0.2330472,0.011677382,0.042220693,0.01701516,0.033043195,0.017449342,0.0018851452,0.006578995,0.015779983,0.0014716496,0.01402268,0.0014620629,0.008021993,0.017174214,0.008781694,0.008795082,0.00658571,0.000947911,JE-TMA-41
JE-TMA-41_scene01_cell2411,0.01926651,0.00070363615,0.0295064,0.013918597,0.5121399,0.0072510233,0.4258538,0.0067559993,0.10411975,0.0040802727,0.15702373,0.012530768,0.017768659,0.003226363,0.009275908,0.0077265957,0.019786514,0.00038349445,0.010372966,0.013297589,0.0058903694,0.01865799,0.0071347663,0.0014501862,JE-TMA-41
JE-TMA-41_scene01_cell977,0.018366035,0.019768108,0.00093100657,0.4027668,0.0012652979,0.0006497723,0.014504925,0.00096490915,0.07473077,0.009560338,0.017628564,0.03498822,0.0017568959,0.011955991,0.0052288612,0.01796332,0.018663205,0.008372083,0.012461703,0.0024090963,0.014303585,0.002752123,0.0022119798,0.015212361,JE-TMA-41
JE-TMA-41_scene01_cell1518,0.007732065,0.005376376,0.017418258,0.061458156,0.035984166,0.014705662,0.016244369,0.0042864364,0.00094386225,0.00997732,0.066127315,0.0019604014,0.012965969,0.011858941,0.019332664,0.009295417,0.005795572,0.012743804,0.018647918,0.007802468,0.005171752,0.004844351,0.0016787768,0.011509827,JE-TMA-41
JE-TMA-41_scene01_cell2332,0.007749531,0.007897305,0.00807475,0.009851535,0.5358792,0.010637995,0.6639724,0.018202852,0.13839185,0.004116569,0.10332852,0.008953998,0.019965328,0.0026081225,0.011251947,0.0021627555,0.0060456228,0.019050289,0.007824276,0.014043035,0.007184176,0.011711861,0.017707475,0.019654157,JE-TMA-41
JE-TMA-41_scene01_cell1183,0.014894625,0.019754484,0.018546596,0.2827898,0.0194567,0.0036606654,0.007292939,0.009017152,0.014278986,0.0059378445,0.0049069463,0.014608807,0.013808599,0.004096544,0.0051268083,0.0016754385,0.0014439672,0.013782045,0.014831389,0.015072049,0.019563215,0.0121287415,0.007992995,0.014583345,JE-TMA-41
JE-TMA-41_scene01_cell2294,0.01762821,0.009139906,0.016155519,0.012744568,0.005865235,0.00012276834,0.042399943,0.013763047,0.00059126376,0.018810656,0.01893767,0.004337944,0.007041541,0.014384623,0.0065341746,0.008970388,0.004729437,0.009041287,0.010714232,0.017252829,0.0043157917,0.0136456955,0.005790295,0.008314455,JE-TMA-41
JE-TMA-41_scene01_cell3345,0.019358058,0.019617727,0.0017568963,0.090700984,0.0057784216,0.005655795,5.8628473e-05,0.006854824,0.0058538937,0.0015100262,0.011325558,0.028697992,0.022656756,0.0141988,0.031042933,0.0018015075,0.22173019,0.0070356075,0.017477082,0.110172905,0.00082503597,0.0043205144,0.018938132,0.0033403733,JE-TMA-41
JE-TMA-41_scene01_cell235,0.002166681,0.016238865,0.011072762,0.13624358,0.033383284,0.0031188512,0.12834226,0.011992821,0.022295393,0.006945749,0.0128653515,0.23371263,0.013851465,0.017209576,0.016855234,0.0016289644,0.013225147,0.016810998,0.005741935,0.015818631,0.01648811,0.014495709,0.008086332,0.00958068,JE-TMA-41
JE-TMA-41_scene01_cell1341,0.012921801,6.8161615e-05,0.006735719,0.13281879,0.05954379,0.0038471944,0.035662223,0.0009146691,0.026000928,0.008560508,0.0034760288,0.0057634166,0.015661066,0.014635007,0.014094017,0.015229974,0.017195255,0.01778621,0.0131318895,0.011545498,0.004244979,0.012990516,0.010537384,0.00040528784,JE-TMA-41
