,CD44_Ring,CD45_Ring,CD4_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene017_cell01644,0.48651165557022846,0.3435275667416575,0.4205117601626498,0.3997914998505776,0.5333234775043981,0.2415359016384299,0.5985560434100394,0.35568798405067953,0.40117094121605645,1.0675557262911641,0.2827085179860932,0.7192340721459427,0.43972076985776726,0.3792030351600539,0.5803215044522063,BM-Her2N75-17
BM-Her2N75-17_scene017_cell08337,1.2902097943039585,0.6551824774158961,0.7490031320109195,1.0464772843174432,0.7428598777713092,0.25774772972100385,0.7634813608866775,0.42715249647237047,0.4498542926493577,0.4981807255284416,0.3225686745355153,0.9061714155119877,0.6896136107050074,0.7354111787739125,0.9234496324145954,BM-Her2N75-17
BM-Her2N75-17_scene017_cell00672,0.5115191153082442,0.5671224498983175,0.5443350578609745,0.5482322827499968,0.6563588620121719,1.512328323860483,0.7583294111621792,3.0482941081715547,1.8209438787334344,0.937778158998423,0.3251089517755023,0.8116217323281412,0.2857503549557758,0.44034475436654263,0.5111250279556578,BM-Her2N75-17
BM-Her2N75-17_scene017_cell05202,0.7511034482820786,0.6124113730426647,0.6680098913174171,0.6909057732912762,0.6404303722688475,0.6925272318462721,0.770379327176481,1.053697444159017,1.5178191586353649,0.8669725177105425,3.026728039912777,0.8614508005281369,0.4853027418344817,0.620387824195235,0.664938487671394,BM-Her2N75-17
BM-Her2N75-17_scene017_cell01863,1.290301862087347,0.8780814006130371,2.842108867643783,0.955769492277056,0.6246437929187537,0.27821398419568616,0.6985253669605872,0.43266887990624814,0.49472075313672237,0.5662735902127751,0.33054659697107996,1.6680837928819654,0.6071967641699604,1.3136759345324107,0.7341437532798402,BM-Her2N75-17
BM-Her2N75-17_scene017_cell05474,0.684431938557274,0.4613061843196655,0.5090865733532066,0.5086865411570346,0.5070120332910777,0.269215287865544,0.6551129982882236,0.3691432500080425,0.42504201614121573,0.4250523766610676,0.3215182057484412,0.8027197310707198,0.5951615337274299,0.6749623938287443,0.5029561328265514,BM-Her2N75-17
BM-Her2N75-17_scene017_cell02133,0.5950128238653931,0.44777625080419703,0.543759485854892,0.5324809863553042,0.5238690858555596,0.2461447218327694,0.6653827292937464,0.3732908196489603,0.4167272172036102,0.6364629384086001,0.3121777676492273,0.7968412557605321,0.7012801825708074,0.7358843365853631,0.5637041893456467,BM-Her2N75-17
BM-Her2N75-17_scene017_cell05066,0.5456933138647587,0.5967962640889831,0.5754977124813415,0.6322302580321097,0.5458341395853414,1.2615944438686477,0.663326319421365,1.5969755616937993,1.7170752042207398,0.7439807687440989,0.33011994063555555,0.8472613439431429,0.3089564270894228,0.5359834231071829,0.5252440838660473,BM-Her2N75-17
BM-Her2N75-17_scene017_cell05447,0.5184049655857637,0.545066226972701,0.46626916287036685,0.47830921972915375,0.5375336980815896,1.1940907337280455,0.6922122294710606,0.7287992147999564,1.4391790165691936,0.7701147675785942,2.694488743899343,0.7562386060503858,0.31016115149160584,0.3439016922106937,0.4610602491046483,BM-Her2N75-17
BM-Her2N75-17_scene017_cell07812,0.6050738847379977,0.4826473933460217,0.8707393602972016,0.6993117966116427,0.5452589435398595,0.2604345240870797,0.661745227663976,0.39658224755456895,0.45030711683147145,0.5686896224285872,0.30514301278745054,0.8075380911872765,0.5240989525395734,0.5240524497617927,0.6672793441038359,BM-Her2N75-17
BM-Her2N75-17_scene017_cell04659,0.6318694402189574,0.6370850234447105,0.635782799693142,0.7413276158230443,0.6939126849913321,1.3846144948278825,0.7888592163105154,2.9554847493781713,3.016285177230603,0.9129948934869603,0.38776747276657425,0.8811698318430464,0.36583347941552696,0.5511482337104916,0.7164139414637664,BM-Her2N75-17
BM-Her2N75-17_scene017_cell08229,0.6118023068975709,0.4281078883914812,0.43712306723609523,0.33187554379365514,0.4299069380615587,0.25076607263559525,0.6610849438870368,0.3098788453576771,0.4225179874642122,0.495962377412872,0.28994134956415457,0.7631121923161451,0.8087539173718631,0.4557158469620611,0.3135309274593744,BM-Her2N75-17
BM-Her2N75-17_scene017_cell03798,0.5215166612293959,0.5055519153887859,0.45144636983116687,0.40515132191251413,0.5255343720532867,1.5556256580553545,0.7388727861830854,1.1987730720904743,1.1476610927686768,0.5122415399452593,0.35127565677969697,0.7879527899063858,0.23881762243729895,0.39889327681121756,0.4362386458757538,BM-Her2N75-17
BM-Her2N75-17_scene017_cell06181,0.5262822449810809,0.4753593590554161,0.4319478510390288,0.39016553454733627,0.5610203226019871,1.0702276449075776,0.7395584245364146,1.9973807443726894,1.4121302682351051,0.48235448740286035,0.7767873958854756,0.7302987735137905,0.23033781052128433,0.3303112730678584,0.4631575703136477,BM-Her2N75-17
BM-Her2N75-17_scene017_cell00823,0.47531120104957736,0.38597845636942907,0.4642571900637282,0.332816737590328,0.44648920952066873,0.36619187439439377,0.6053671774389782,0.4224448955442646,0.5183044929290325,0.4522729582999219,0.2780436522557987,0.6983341306687544,0.4343675093735427,0.6429691928295072,0.3941527040399507,BM-Her2N75-17
BM-Her2N75-17_scene017_cell06564,0.5564915295321783,0.39460327102949055,0.3760452479173184,0.3770060152678567,0.37096408914942497,0.2567202850252472,0.6318084025383299,0.2832592159248526,0.3958079044903277,0.23568386422925536,0.2703536646938217,0.6874799098514328,0.9553743288945756,0.35495835112985774,0.3409907292728806,BM-Her2N75-17
BM-Her2N75-17_scene017_cell00954,0.5208573046813213,0.5215384044792022,0.48231725219592875,0.44134550739652245,0.5619000491025145,1.2067483236542145,0.7402905368125594,2.902857788363414,0.9924450800176832,0.5877573380999067,0.3173259131185538,0.7689009431382685,0.2342311413862511,0.44484421995353596,0.40670412318187216,BM-Her2N75-17
BM-Her2N75-17_scene017_cell05085,0.8262909631053451,0.6629539299917911,0.8320754418706539,0.7830341147974386,0.5879324264152841,0.27330103574663017,0.6626694309645365,0.4498287207717256,0.45548968596360856,0.6705651039132741,0.3197929979374177,0.947115384162354,0.4549731548466857,0.6201217508779301,0.7668878123551991,BM-Her2N75-17
