"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00844907407407407,0.927027777777778,0
"2.5%",0.0053125,0.911111111111111,0
"50%",0.00833333333333333,0.927777777777778,0
"97.5%",0.0132060185185185,0.941006944444444,0
