,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene049_cell00056,2043.1987,419.45963,1105.5901,1055.7639,612.90063,890.22363,195.89441,558.236,313.08075,205.00621,1573.4485,1043.1243,2331.9875,319.08762,910.69586,1304.3866,1123.3789,548.75775,977.68945,713.26807,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03900,4667.673,513.1923,1763.1346,2160.077,485.51923,2526.0,361.42307,2765.2307,453.6154,2799.6924,3171.0876,2949.6924,2653.2307,5170.351,1846.0819,3581.6375,1342.2885,1130.3846,1395.9231,1071.6199,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03853,2945.6396,513.837,1641.5714,1841.7655,404.0295,1755.0698,342.52173,3847.562,502.04657,5536.4673,1861.6321,3568.8354,2003.4813,2967.0244,2139.0425,2147.36,1309.1863,832.7795,1083.5714,953.40356,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04803,2331.0842,694.3158,1955.6105,2015.0947,401.06317,1745.8422,245.72632,838.13684,389.33685,634.7895,1724.8787,1229.8105,1539.2737,395.11273,3089.9941,1662.9711,1590.5052,2231.5894,1629.0,899.57227,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01412,3518.401,517.84906,1616.5094,2211.401,690.0425,2204.217,237.81133,699.23584,410.3066,386.8915,1654.5088,1123.401,1910.5236,555.8163,3341.1697,2897.0671,1326.5,2753.7122,1617.0708,1042.5936,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01494,4026.968,446.67023,1412.5532,1898.9255,514.4894,2082.0266,232.7766,628.6489,326.62234,331.45746,1657.3348,1077.9362,3305.468,326.5223,1061.7455,1652.683,1244.0691,1389.5851,1101.9255,1211.0983,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05850,4746.3687,657.6711,1698.7894,2643.158,536.4079,2513.158,333.26315,773.9605,398.1184,604.0395,1731.3661,1198.2106,1703.6052,382.49106,3141.6965,1980.0803,1333.9078,4300.421,2854.9868,1123.3928,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01156,3750.2788,633.9252,2189.4897,3228.2517,1191.517,3494.5986,253.08844,748.5578,401.38776,462.7211,1689.3842,1317.6462,1502.3197,441.16843,1227.3053,2322.0369,1322.9524,2134.9592,1263.9728,1826.6263,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06552,1037.2262,419.0362,1388.6923,1161.9412,252.33032,710.13574,194.28506,1013.0317,352.59277,762.7285,1618.7797,1311.6968,1019.4751,365.6955,1014.18604,1375.1493,1175.9729,695.44794,805.7692,832.1564,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05476,3293.3438,612.52344,2688.5625,4142.961,347.25,2229.3203,250.125,729.46094,338.3672,527.7344,1734.5491,1100.9609,2921.2656,343.80392,1222.5425,1720.5555,1394.2969,3413.9219,1367.1797,880.4183,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00476,5008.9717,529.9507,1688.824,2636.6057,1332.6127,3593.2324,334.03522,612.3803,409.47888,404.35916,1766.0681,1180.824,2308.1902,358.21466,1260.6125,2480.7593,1334.8029,1494.6691,1402.162,1895.466,BM-Her2N75-17
