,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene059_cell01687,0.6180884,0.71643466,0.8495577,5.188605,0.11173009,0.4048095,3.2643888,0.3762402,0.90749073,0.50908726,0.63235176,0.8535223,BM-Her2N75-17
BM-Her2N75-17_scene059_cell03425,0.5520653,0.4139787,0.49611518,0.23272182,0.06482056,0.26771906,0.35095635,0.27047476,0.7096793,0.50187254,0.81802946,0.5516839,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06333,1.2258335,0.9253383,1.482226,0.33430287,0.09865656,0.43023205,0.5021045,0.34959996,0.95343906,1.9586061,2.0447748,0.79487395,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01453,0.72154605,0.6027357,0.61210746,0.30118877,0.08392863,0.26872346,0.43086544,0.31556886,0.84354085,0.63676244,0.98383075,0.47285897,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06550,0.61078274,1.1249205,1.532104,1.4794091,0.15234421,0.4144836,0.5323105,5.95489,0.96172285,1.2657157,0.60581374,1.325701,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06162,0.50937253,0.691211,0.7451364,2.9092453,0.114660375,0.3557416,1.715605,0.400412,0.8483897,0.36413553,0.47113553,0.6517331,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02678,0.60549515,0.72223526,0.77972597,4.4170046,0.12506858,0.35953572,2.519292,0.3949382,0.8612654,0.39393178,0.49775195,0.7013072,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00486,0.5519363,0.56761575,0.4981368,1.5798655,0.10656601,0.2915269,1.9959893,0.2945158,0.76334846,0.2711687,0.35808688,0.5707187,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00249,0.6624843,0.4941723,0.4439901,0.24141686,0.072454266,0.2585065,0.38364223,0.28863922,0.7136665,0.28979436,0.7821492,0.33305147,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02229,1.197768,0.60735446,0.7041184,0.31900254,0.080303036,0.29554024,0.5263221,0.32416597,0.86858857,0.648981,1.6943562,0.5147651,BM-Her2N75-17
