,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-62_scene01_cell6295,-1168.2809,-66.7106,882.4304,940.4957,25.667574,2002.0017,30.079844,3464.9539,97.78009,108.96155,29.19391,222.43214,77.11835,-36.150173,-228.11658,-1806.4012,-731.03143,-2145.4084,-1546.6847,195.89267,-333.68152,-746.4099,-518.48755,-736.7581,-34.492786,JE-TMA-62
JE-TMA-62_scene01_cell2651,-1132.878,-96.851944,-1230.0841,1827.4617,902.8965,3710.632,311.0299,5307.3633,-40.93134,1028.2699,-6.5647707,-66.773705,-294.10342,-21.340742,-228.60872,-1804.8043,-734.5046,-2101.07,-1503.9733,593.5514,-306.8686,-725.6729,-522.7873,-737.18805,-18.178394,JE-TMA-62
JE-TMA-62_scene01_cell2079,-1165.7184,-69.0833,3120.803,597.27026,133.43546,2101.3933,45.683723,2304.878,47.701443,324.0859,146.64986,-159.97833,-74.861694,-19.706038,-224.74498,-1788.5399,-727.7215,-2110.4492,-1474.4836,-515.58704,-331.02194,-760.8644,-484.33215,-754.2782,-38.45609,JE-TMA-62
JE-TMA-62_scene01_cell3358,-1151.5369,-68.14212,-928.37866,2299.4988,342.936,4298.476,258.58728,6076.76,-31.229649,1741.2075,-67.768036,-202.20644,-290.94403,-20.04637,-226.23141,-1797.8657,-731.7736,-2084.8137,-1514.0701,-238.43716,-323.14594,-728.40546,-513.1316,-702.8155,-27.910969,JE-TMA-62
JE-TMA-62_scene01_cell4558,-1163.7479,35.136242,2104.1633,-207.56137,1349.9248,206.1071,-127.42199,664.4677,67.428406,-56.464447,-111.5022,281.25568,-295.73758,-0.12789716,-213.91429,-1759.6771,-733.6892,-2047.8673,-1428.8213,-314.6315,-306.94156,-723.9114,-93.616936,-756.1942,-8.712711,JE-TMA-62
JE-TMA-62_scene01_cell5303,-1163.9431,-26.966679,-1180.5692,1719.3162,-2.2964916,3206.3901,110.41993,4309.825,-99.59332,394.0743,43.19437,-227.31146,-294.76172,-28.400862,-228.9207,-1790.3917,-731.4308,-2116.5066,-1529.3873,368.64804,-335.04834,-756.4843,-489.31232,-741.44916,-27.579578,JE-TMA-62
JE-TMA-62_scene01_cell1325,-1048.0004,-109.939804,726.8801,112.37228,-37.107647,6.6468325,-290.38184,357.31638,-235.04466,574.7987,-161.022,-308.97433,-280.17865,21.734255,-229.17572,-1773.6844,-686.0556,-2204.4292,-1414.3153,1637.754,-228.11142,-652.5607,-526.0229,-761.26373,71.63439,JE-TMA-62
JE-TMA-62_scene01_cell676,-1198.6428,-6.3499637,-597.55176,386.725,5543.9014,638.9929,-222.40843,823.81146,116.1062,277.38846,-116.15139,-236.92747,-157.82011,4.281542,-225.52098,-1781.142,-738.3339,-2026.0864,-1055.3593,724.881,-336.91074,-738.2628,-392.11145,-771.99164,-3.3378944,JE-TMA-62
JE-TMA-62_scene01_cell3714,-1167.434,242.74289,4708.692,73.3052,-28.872953,854.92456,-258.7544,1619.1195,-81.39191,660.61676,382.73975,231.4662,-264.46414,-25.992994,-185.21867,-1815.6956,-731.6517,-2120.0708,-1583.9893,-404.20108,-349.13068,-792.8041,-421.84454,-769.5774,-40.788,JE-TMA-62
JE-TMA-62_scene01_cell4015,-1182.6448,-15.139438,-1199.5808,1546.5786,172.26929,3478.6162,-107.073235,3053.8176,-7.5076017,335.86716,-48.223904,-267.04834,-287.58118,-28.202528,-228.89894,-1789.7107,-733.1121,-2088.6577,-1508.9882,1041.0333,-337.48743,-767.5566,-322.69165,-753.5805,-36.15726,JE-TMA-62
JE-TMA-62_scene01_cell6761,-964.4416,108.92795,1878.0388,21.884853,-109.266754,713.7092,-130.85503,1286.2445,-258.21906,-334.0951,-67.88463,-210.09583,-291.77444,871.3509,475.67136,-1714.1326,2121.2817,-2144.5654,-930.33185,-36.22574,-256.97186,-713.8158,-568.43,-756.4273,-41.795307,JE-TMA-62
JE-TMA-62_scene01_cell2251,-1172.3684,72.40637,1086.5618,947.8417,444.4576,1272.5914,-171.01933,2818.5063,-97.1127,821.81354,-61.77261,7782.8555,-260.15765,-17.813871,-228.01308,-1781.5055,-735.59644,-2102.0076,-1509.2245,1717.9034,-337.64914,-732.12427,-445.37823,-752.17914,0.8458214,JE-TMA-62
JE-TMA-62_scene01_cell2951,-1115.167,235.5517,-1191.3829,1429.1504,276.4042,4012.7957,371.55212,2252.3406,-200.66966,1661.1086,524.3852,-356.95956,-144.49963,-6.085417,-229.27336,-1792.4111,-712.65497,-2151.0266,-1475.4303,325.78574,-269.07608,-724.87915,-414.6513,-569.70435,2.885769,JE-TMA-62
JE-TMA-62_scene01_cell486,-1168.9014,-47.88706,3468.3284,748.52625,1315.3802,2687.482,64.03333,3652.1672,10.791867,54.426086,489.47876,-158.57681,-240.40022,-27.469435,-228.91191,-1787.3245,-736.75793,-2100.7678,-1399.4846,1346.4694,-322.09314,-488.36417,-469.1101,-741.3342,-48.911747,JE-TMA-62
JE-TMA-62_scene01_cell2369,-1172.2928,-66.01253,940.88354,51.87576,-17.103971,897.1155,-282.72278,519.9228,179.63086,38.80017,-1.2931948,-105.043816,-170.67146,-53.777836,-223.71138,-1822.053,-726.89795,-2167.4312,-1545.6642,-801.3556,-332.545,-723.6829,-462.54364,-750.5865,-105.18255,JE-TMA-62
JE-TMA-62_scene01_cell1936,-1156.5413,-56.492496,3518.4148,471.413,667.36304,1575.4482,374.47095,3183.7307,421.29523,299.43314,-81.938736,156.34663,-267.65216,-15.509916,-222.15778,-1786.8811,-729.11664,-2095.9897,-1395.7965,1004.6466,-315.93143,-734.49896,-385.80988,-756.21246,22.536648,JE-TMA-62
JE-TMA-62_scene01_cell6643,-1248.1807,129.97171,4630.3975,381.55338,124.47629,1402.156,154.6631,5245.86,-43.457066,861.19684,110.99208,1121.4058,-295.73758,6.6105824,-229.18956,-1777.9885,-738.8704,-2126.5938,-1556.0774,297.56943,-382.528,-670.09546,-510.2915,-771.99164,47.15771,JE-TMA-62
JE-TMA-62_scene01_cell3011,-1169.1259,-91.630035,1112.4387,1441.3721,245.21921,2102.954,58.204964,3783.1326,265.05646,744.52606,-122.484764,3.1944666,-274.23895,-22.629728,-228.29243,-1795.6298,-738.06116,-2085.1836,-1489.8269,144.09238,-331.72348,-709.6931,-491.4463,-760.13257,-33.41173,JE-TMA-62
JE-TMA-62_scene01_cell5646,-1163.1661,-30.431477,-824.6809,2149.8306,144.9607,5478.9595,229.98341,6470.526,-129.45126,850.58514,143.7841,322.86188,-294.19214,-23.530546,-228.10757,-1790.0038,-730.40515,-2110.2253,-1521.0776,499.61923,-326.7049,-737.9163,-449.98987,-760.30457,-12.386509,JE-TMA-62
JE-TMA-62_scene01_cell1791,-1118.1559,3.2292447,1567.7004,532.3345,107.272064,860.2367,-25.914297,1749.6927,-33.761692,152.50955,-99.181625,-367.3248,-278.5186,-9.940367,-229.25682,-1798.0227,-734.94476,-2092.6252,-1493.1987,85.4913,-308.36426,-751.46387,-56.576897,-752.8843,-2.2153358,JE-TMA-62
JE-TMA-62_scene01_cell1960,-1071.5801,-51.573215,3433.1912,-1.2601054,24.791414,819.6681,-134.39445,998.05084,534.051,52.41977,-86.04335,-234.12161,-274.17355,0.016054252,-225.37962,-1782.9785,-681.9467,-2137.6606,-1431.7478,380.55087,-254.37045,-721.13544,-505.6219,-763.5531,20.59103,JE-TMA-62
JE-TMA-62_scene01_cell5500,-1167.2903,87.13605,-1275.248,1915.5537,1270.7322,5861.555,125.88087,6239.058,62.65362,377.24533,161.42235,-309.3788,-291.26428,-25.119612,-228.31915,-1785.9117,-728.22156,-2046.9237,-1525.2356,997.1544,-331.54453,-733.99854,-442.49298,-768.60095,-34.29601,JE-TMA-62
JE-TMA-62_scene01_cell6787,-1152.59,-40.774128,4651.1187,343.9761,56.7002,582.92444,-77.40276,6261.021,-103.638824,699.7552,1334.4014,2326.9292,-56.66194,-30.1799,72.453545,-1805.5741,-727.1939,-2140.678,-1553.3813,1098.2106,-331.2034,-689.7287,-307.8662,-721.31976,-12.522877,JE-TMA-62
