"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00330241187384045,0.968441558441558,0
"2.5%",0.000618429189857761,0.954499072356215,0
"50%",0.00309214594928881,0.968460111317254,0
"97.5%",0.00589053803339517,0.981447124304267,0
