"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0272083333333333,0.995027777777778,0
"2.5%",0.0214930555555556,0.989548611111111,0
"50%",0.0270833333333333,0.994444444444444,0
"97.5%",0.0340393518518518,0.998611111111111,0
