,BM-Her2N75-15,BM-Her2N75-17,BM-Her2N75-18
CD44_Ring,3581.162768728699,1716.631627702086,2483.8131985467408
CD45_Ring,2500.052052355376,3428.0982497212935,3198.0094781894486
CD4_Ring,3065.721682037768,3583.247350837568,2753.807160316319
CK14_Ring,917.0303967678595,476.9159259968102,1285.3596759257323
CK19_Ring,2785.06843548906,2849.5599858813944,2999.4163163163166
CK5_Ring,1341.5696772530177,577.8555197994992,1888.953135997114
CK7_Ring,2635.651851562199,7053.195544795713,8315.8768180467
ER_Nuclei,4318.573155552804,5544.303564724814,3545.585339357771
Ecad_Ring,3323.06281708185,2620.9055271763928,5564.679551086359
Ki67_Nuclei,1143.2383518061556,998.6741149968157,751.3987381073489
PD1_Ring,1640.3143020703812,1826.6186411458991,1809.6797692617733
Vim_Ring,1950.8092095054255,2959.1126007838934,2636.229024767803
aSMA_Ring,2751.8763177080364,3120.8523000785553,2204.1971756850153
pHH3_Nuclei,1816.454876925825,1941.9060321599313,1487.949628127113
