,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell03360,1.1045569566728801,0.8447892203482028,0.9748703549803038,0.17898763130077378,0.2905348434023288,0.42386148354642894,0.2637589414800897,0.7019446627880284,0.8778461995054152,0.6379297106774005,0.48685885712735044,0.5836494797685399,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02007,0.904882051742742,0.45982723440659035,0.5502794464570668,0.21314457840837053,0.30125171468889245,0.3801938132319617,0.36689741493440864,0.3563939882189362,0.7507598329389897,0.42356173263499336,0.5173870619635328,0.6463912436901965,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04801,0.628529504851895,0.5658208648360497,0.7253129098418348,0.298132175157495,0.3410379929086129,0.506915121539046,0.5399609020547906,0.46194700611199946,0.8534008089333806,0.7101834577990369,0.6447512970990713,0.6188541178235956,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02189,0.7082632856716669,0.6506176788289186,0.7843476690625812,0.16244946957043715,0.29915361365896864,0.40492024646448244,0.28500143379888976,2.0961007990471408,0.7941879784049811,0.46663023878046567,0.6013466112812818,0.6669886596781209,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01507,0.9610055803472954,0.6609970105283669,1.0879648718999,0.18312348669562328,0.3373338920813116,0.552183993233976,0.3540214713940518,4.832154568270541,1.0259520943016713,0.806990965617045,0.6921406598730132,1.0413370101280315,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07521,0.5470956147263283,0.5595940994703905,0.7989490159405873,0.34980584378422397,0.3474764194991385,2.70559174805894,0.9292051239572935,0.3682436592407411,0.7575629847241329,0.6366745244995995,0.6845398720197018,0.8725616511247953,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02691,2.462559843590221,0.9598232953628125,0.8424177882790916,0.17080089460691195,0.3242940372205325,0.44083456582904434,0.26272947627295745,0.3878030097075259,0.7867570099077643,0.6935749562419169,0.6396537067767221,0.7477830030654564,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07964,3.442641320365156,0.5741116024314824,0.5936383498206532,0.17852453671993118,0.33906262154336225,0.44144319678838756,0.2891327220083376,0.3738834350254183,0.7987930866076087,0.6188894518230958,0.6147618362478698,0.8624743828350255,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07704,0.8279942614699947,0.7623613408542632,1.223403859654712,0.17212962362505468,0.3086672052987027,0.36771846433603883,0.2812676418026746,0.34186882476212765,0.7262043483625573,0.5011668273360466,0.5706632503064972,0.5991372079061441,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02679,0.612353183470833,0.5168588138579726,0.9459313467640948,0.15445508764547555,0.3108883370120988,0.49307543050012015,0.2888423181421893,0.3567698094879419,0.7565861145258069,0.5354870103876838,0.5791393234090227,0.8383685603870924,BM-Her2N75-15
BM-Her2N75-15_scene017_cell05798,0.7940455848542609,0.58761771828665,0.706373609585583,0.17646504946621577,0.352295579963782,0.3938451635150553,0.30480388035168476,0.3672576427915474,0.8518515458248217,0.6811734735952593,0.7004328639323086,0.6304812176882022,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07101,0.41469082445648386,0.5810021405682939,0.5144878766908215,0.6196722169646529,0.36530148420428793,2.0896074484028633,1.0801092834683308,0.3474440801606159,0.7871988246148969,0.45486812435400736,0.5699532047185197,0.678585180020989,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07802,0.497944720911297,0.5311376591246392,0.3261532146163889,0.19352851251213532,0.3168271799027854,0.3583375638170311,0.3111719546000245,0.332739359017921,0.645185780024694,0.8895708606079066,0.46169780681391726,0.5146145859666796,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04363,0.6933579988912549,0.563660586180845,0.5462306068093257,0.650374544579578,0.36682360726342267,2.3471080520146215,1.258352505290728,0.36512054702987323,0.8377087480738012,0.4484578285122178,0.6153851812834589,0.6693128002542532,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04240,0.4198427170297238,0.48962997750986603,0.5894029728041431,0.8872011284133873,0.38468722387620335,0.5105791055305866,0.6432943012226177,0.37912908675662127,0.8257628292518583,0.45955796646638297,0.6405751219242056,0.6063654120683544,BM-Her2N75-15
