,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene049_cell03779,-0.2510717,0.23269255,-0.3192189,-0.6488199,-0.026099673,-0.22407906,-0.36850655,-0.3073666,-0.13702698,0.33935082,-0.25560752,-0.18885154,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02947,-0.3295388,-0.16160585,-0.25845107,0.5471073,-0.011333232,-0.042500474,0.08026075,0.26181388,-0.1214288,-0.3817849,-0.34982345,-0.20013863,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02950,-0.26271704,-0.14637111,-0.19576298,-0.62464297,-0.019472895,-0.19458361,-0.35564655,-0.2821501,-0.08403619,0.27002102,-0.19479619,0.16416174,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03149,-0.30217516,-0.023092434,-0.07228838,3.231045,0.0052494206,3.0145135,0.21363288,-0.07556469,-0.039039448,-0.15443644,-0.21368001,0.018972104,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02272,-0.3191391,-0.06555687,-0.07624559,1.2610877,-0.0073491163,1.4986339,0.19638425,-0.29876232,-0.054949656,-0.27450496,-0.2516832,-0.09334301,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02455,-0.35414222,-0.22370271,-0.33727452,-0.44792536,-0.024929991,0.12857448,-0.23470172,-0.22124001,-0.15089579,-0.3592481,-0.35954648,-0.03245365,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01135,-0.28253397,0.034258798,0.370441,-0.6319518,-0.015505743,-0.25195926,-0.3475355,-0.29527524,0.016217457,-0.43048397,-0.37501898,-0.2947352,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03204,-0.25529334,-0.1419607,-0.16141574,-0.6290941,-0.015175958,-0.20018761,-0.35299033,-0.27377224,-0.063979045,0.4788254,-0.030546533,0.08795256,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03416,-0.25879028,0.044375256,0.42428365,-0.68113863,-0.0215836,-0.1960646,-0.35662395,-0.30262682,0.015638636,0.21787292,-0.14466248,0.091725774,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03114,-0.092895426,0.015834406,0.6993346,-0.62807447,-0.026870484,-0.17881091,-0.35010532,-0.28599402,0.02414702,0.014077836,-0.24444471,0.005194909,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03375,0.25592032,-0.0455703,0.48975113,-0.6901703,-0.023728719,-0.238661,-0.40836936,-0.2834688,0.048247382,0.33543384,-0.2983468,0.12503117,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05265,-0.33866015,-0.045513377,-0.17527507,1.0581386,-0.0050937734,0.13503323,0.4457382,-0.23918,-0.030839337,-0.34461915,-0.22767256,-0.20872626,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04220,-0.31504783,-0.09222154,-0.14572631,0.6512187,-0.0014602815,0.18852745,0.16011101,0.1001107,-0.05078043,-0.32748377,-0.2309529,-0.17770085,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06414,-0.33305818,-0.07512455,-0.17511736,1.7357013,-0.00036816797,0.13905601,0.14606202,-0.2761148,-0.09066577,-0.35681242,-0.26772463,-0.23324183,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06447,-0.33207065,-0.13383488,-0.30743253,0.23890194,-0.0043409592,-0.18586655,-0.07506406,-0.12546384,-0.122556105,-0.41953456,-0.32233965,-0.21573731,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02927,-0.17334823,0.053691223,0.32870248,-0.67380583,-0.020224651,-0.20214258,-0.3853607,-0.29439038,-0.12834044,0.057552747,-0.29789954,0.20400149,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01952,-0.3149615,-0.039239272,-0.03408961,0.1531919,-0.015150671,-0.004461654,-0.0738976,2.793072,0.045905694,0.13141978,0.00905694,0.18380779,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05220,-0.25655162,-0.13857405,-0.02864526,-0.652654,-0.016372463,-0.20347618,-0.35279542,-0.3126865,-0.09125967,0.22697067,-0.2721872,-0.0348702,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02492,-0.27600208,-0.17411818,-0.25948307,-0.6547049,-0.02112539,-0.22564174,-0.35046825,-0.26371145,-0.110058025,0.078726225,-0.10968833,-0.20400867,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04479,-0.30521327,-0.06833856,-0.15298192,0.60092956,-0.0017456686,0.11852776,0.32624614,2.3513153,-0.03677477,-0.24959373,-0.17968522,-0.04885625,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00655,-0.21585195,-0.08747141,0.047444537,1.9868109,0.004275235,0.052460067,0.34081972,-0.27428955,0.07517432,0.091468684,0.07637675,0.57431406,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03106,-0.27092567,-0.18554111,-0.31432807,-0.66980094,-0.01964332,-0.23667584,-0.3452847,-0.30375433,-0.110854164,0.15463394,0.28211737,-0.15877968,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00188,-0.353757,-0.26949808,-0.36516795,-0.68989575,-0.026738172,-0.16930635,-0.3862245,-0.33697635,-0.12726696,-0.29530293,-0.29635304,0.09771044,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03427,-0.12256233,0.12117292,1.7508804,-0.6382165,-0.01969221,-0.20835592,-0.35107508,-0.29925972,0.5313175,0.24228907,-0.060676023,-0.041772954,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02748,-0.33952048,-0.081369445,-0.21270339,1.581614,-0.013237012,-0.14783736,0.37555528,-0.27835494,-0.07809509,-0.2432783,-0.32092407,-0.08970987,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01671,-0.30861068,-0.13644959,-0.28974652,-0.6560163,-0.013860491,-0.21950127,-0.31725997,-0.30361563,-0.072365955,1.149732,-0.15187596,-0.09998839,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00878,-0.3213565,-0.0541213,-0.028056366,0.32365283,-0.0074152327,0.02648925,-0.079280496,2.3610818,-0.055987015,-0.24455759,-0.22609042,0.042459972,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06210,-0.33532122,-0.06815635,-0.19419836,0.8984415,-0.003019606,-0.059591837,0.18879229,-0.25320992,-0.06416829,-0.32475284,-0.25075033,-0.03618013,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06161,-0.3482388,-0.15105264,-0.2580171,0.20414981,-0.0068678013,-0.04674772,0.11199874,0.31661505,-0.108960524,-0.2752651,-0.36305925,-0.17879403,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00502,-0.30403468,-0.18222193,-0.19382964,0.81090516,-0.009591301,0.0385878,0.5984309,-0.28741258,-0.08366527,-0.24617109,-0.23764019,-0.04657363,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01018,-0.29516718,-0.08967279,-0.15117376,0.8553602,0.0055772536,0.019918732,0.036919713,0.029117161,0.003918098,-0.22227979,-0.18809716,0.018190866,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05956,-0.32376698,-0.054510757,0.02643104,-0.6243081,-0.021070054,-0.19358654,-0.32117152,-0.29365596,-0.07909705,0.0036290225,-0.31420678,-0.05408304,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00849,-0.29436806,-0.18510763,-0.27146247,-0.6098785,-0.0105989175,-0.20400836,-0.31324506,-0.28653127,-0.051940516,0.005690509,-0.049442217,-0.02225613,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05569,-0.30606747,-0.02445136,-0.101374134,2.31602,0.004505987,-0.02354128,0.69282115,-0.2223056,-0.023734761,-0.27156585,-0.17052649,-0.029902095,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01598,-0.2256359,0.055670872,-0.1924635,-0.68338287,-0.022560177,-0.22880386,-0.367428,-0.31023413,-0.076841965,0.031727187,-0.24045597,0.09792567,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00869,-0.09212766,0.28939596,0.31002226,-0.66167283,-0.015987521,-0.20142864,-0.35429275,-0.29630667,-0.05266823,0.121318035,-0.17655663,0.13026512,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04235,-0.19251119,-0.03127943,0.053392127,-0.66490334,-0.017216837,-0.2147278,-0.36933646,-0.30441633,-0.056471065,1.4273015,-0.16822444,0.2571861,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03619,0.024737319,0.20378359,0.80199444,-0.6928497,-0.019426001,-0.23192583,-0.37472424,-0.26260123,0.16685228,0.5873633,-0.22005825,0.117462225,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03519,-0.31124818,-0.15404756,-0.24826173,0.37166223,-0.006611859,-0.1246571,0.28586745,0.8387468,-0.099120036,-0.33855203,-0.29606077,-0.15545458,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01502,-0.2628468,-0.10009788,-0.09570031,0.332432,-0.012017098,0.39913887,-0.070089996,-0.2377319,-0.01070626,-0.0017783109,-0.083499834,0.6140297,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00764,-0.2508803,-0.20202689,-0.28952727,-0.6709155,-0.014572007,-0.25096726,-0.3810218,-0.3007244,-0.08844818,2.543434,0.005712165,-0.123550706,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00048,-0.32187968,-0.24257968,-0.35445666,-0.67965144,-0.02603204,-0.21371265,-0.3689746,-0.32053384,-0.10222407,-0.011042005,-0.2844289,0.23967046,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02560,-0.33747426,-0.20681728,-0.37697753,-0.6559932,-0.01980885,-0.24021809,-0.34297895,-0.33047822,-0.11554064,0.28484255,-0.32532498,-0.29424542,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05729,-0.28859922,0.014827684,-0.11865239,1.2135167,0.0066952133,0.59162194,0.561043,-0.20944205,-0.013000681,-0.25979504,-0.14814971,-0.019347424,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04723,-0.27868527,-0.041593537,-0.082390115,0.5113719,0.00027668723,0.49011022,0.49053442,-0.09359736,0.004736708,-0.2044639,-0.0886101,0.1029116,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05144,0.18988957,0.7056472,2.3395414,-0.6101035,-0.011154895,-0.1641467,-0.3353295,-0.2731378,-0.00054325035,1.6581022,-0.051825628,0.08592249,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05576,-0.16980503,0.0061763674,-0.012616559,-0.6477626,-0.013274093,-0.21888886,-0.34909737,-0.31045362,-0.08417739,0.567615,-0.16846214,-0.17624307,BM-Her2N75-17
BM-Her2N75-17_scene049_cell00369,-0.2835516,-0.11914007,-0.07164173,0.31560907,-0.014519324,-0.037362464,0.080452085,-0.30216846,-0.04626532,-0.042649694,-0.013686464,0.20959914,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02019,-0.3264456,-0.11888097,-0.21292071,0.6579371,-0.010928777,0.29407287,0.27464014,0.1383568,-0.06625642,-0.3012016,-0.2799109,-0.11928027,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03679,-0.32118315,0.13962169,0.6346823,-0.6888649,-0.015819972,-0.24784409,-0.36204252,-0.33899325,0.6272203,0.6221214,0.28264058,-0.18013,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03933,-0.32016045,-0.14068924,-0.21280222,0.48732802,-0.0025814746,-0.09717906,0.12919635,-0.29891714,-0.09449597,-0.36619043,-0.31048933,-0.17974254,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01507,-0.27641925,-0.03490995,-0.064952776,1.0709052,0.003948713,0.1214922,0.38797855,-0.2409595,0.023187386,-0.098558135,-0.08454989,0.30854982,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01040,-0.0030864277,0.75324744,0.24924256,-0.6361297,-0.014771511,-0.09152398,-0.34528407,-0.155388,0.48824322,0.44072336,-0.09937404,0.55372065,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01252,-0.335831,-0.0843042,-0.117113814,0.41931316,-0.015945962,0.4150535,0.19385213,2.984826,-0.011823549,-0.22455937,-0.1535276,-0.061971776,BM-Her2N75-17
