,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-43_scene04_cell3828,-419.4094,-272.72165,-2282.7966,-211.15164,43.091705,-430.00812,-54.101364,-332.4829,-21.703005,-48.173367,26.152666,85.929,6935.037,-249.02422,-193.07191,2242.7683,-230.44608,1780.3868,1423.4447,-267.90207,-126.406334,-1214.0463,1036.4696,-1095.6666,-12.377572,JE-TMA-43
JE-TMA-43_scene04_cell3622,-471.53586,1792.533,-2247.2144,-165.6818,15.73922,-58.650204,-248.66936,-157.83594,1369.8353,-88.52642,-84.201416,-150.20702,154.85072,-231.77074,-291.52835,-2024.4274,-342.44186,-1333.477,-1469.785,4173.6655,-186.59558,-1054.11,1005.29517,-1069.764,-19.799433,JE-TMA-43
JE-TMA-43_scene04_cell6986,-395.55212,566.95526,-2111.3367,-139.45096,53.877182,-406.31744,-250.44987,-112.03051,-60.945164,181.49321,79.84892,203.5302,7840.0264,-240.51851,-99.202896,8003.8887,2272.9539,7238.0933,4358.8086,3034.161,247.70605,-1189.1617,1365.1298,-920.6629,61.200687,JE-TMA-43
JE-TMA-43_scene04_cell3941,-487.63275,1585.1147,-2175.1206,-192.2703,-49.282593,-505.84552,-111.22887,-349.42908,-265.19708,-97.57072,-211.58475,-220.91513,313.0945,-274.9145,-309.23465,-1906.4467,-345.42267,-1416.3302,-1408.5243,-512.2322,-194.59496,-1346.2273,257.68018,-1120.0454,-50.009647,JE-TMA-43
JE-TMA-43_scene04_cell5428,-397.246,-547.4113,-2226.6892,-189.90921,-17.162886,-479.74194,-447.25986,-274.1079,-194.92145,78.048874,-154.21088,118.41887,5753.5806,-254.25046,-226.89177,3472.2312,-95.1016,2856.044,1074.2877,-2138.8484,-0.4310232,-1334.3462,-187.59047,-1140.0228,-23.964472,JE-TMA-43
JE-TMA-43_scene04_cell6790,-399.6846,-109.200714,-2129.963,-16.860273,-56.534077,-502.9645,-451.5707,-100.399895,-187.59383,237.85051,-65.65181,-37.187187,757.1728,-258.8978,-96.817215,8366.844,-185.80453,7705.809,3587.4841,933.36304,73.13004,-1287.9567,249.10643,-1155.405,-1.0569851,JE-TMA-43
JE-TMA-43_scene04_cell7168,-396.18396,-489.71378,-2204.9463,-166.01663,-23.488806,-496.6688,-461.7988,-245.73193,-239.82904,-22.24909,-107.627,98.33812,876.0756,-266.77417,-161.76164,4207.4473,71.98806,4926.8022,1735.7177,629.3552,76.12083,-1315.3862,201.26805,-1117.283,-9.38067,JE-TMA-43
JE-TMA-43_scene04_cell6826,-406.70975,19.57651,-2221.737,-153.30325,32.2194,-496.88757,-487.55453,-289.22253,-217.884,-32.249725,-94.565094,243.35405,17419.082,-192.51755,-261.17398,843.21716,-282.8746,700.0282,898.0922,-185.10031,-69.66393,-1155.1481,1129.5316,-1027.8484,1.2217777,JE-TMA-43
JE-TMA-43_scene04_cell5464,-373.6157,-458.13925,-2203.6448,-195.32193,-39.187477,-490.72214,-378.76242,-251.07727,-156.04103,45.52024,-155.459,-86.27785,147.641,-267.30933,-117.509445,9719.856,273.11655,5137.0996,3389.3684,-2399.4685,-29.935783,-1303.6897,72.28855,-1150.6449,-26.901697,JE-TMA-43
JE-TMA-43_scene04_cell6095,-389.28107,494.8052,-2059.004,344.58673,32.684135,-520.0727,131.63838,51.22986,-225.28517,2746.327,-157.85037,295.57425,21695.857,-234.61847,-265.76572,507.99133,132.21262,660.0238,1209.4025,-217.38058,-128.83914,-1333.4099,420.54077,-1115.272,9.303733,JE-TMA-43
JE-TMA-43_scene04_cell7070,-403.746,98.877106,-2226.473,-46.353313,11.467857,-508.40213,-173.02184,-190.25195,-147.09904,344.06424,-123.10701,148.09483,10078.999,-243.50517,-254.56915,433.48132,-333.75812,544.3766,807.3515,2447.406,-73.68911,-1318.7772,1272.5905,-1059.9194,8.4372015,JE-TMA-43
