,CD44_Ring,CD45_Ring,CD4_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene059_cell00748,1.5257262,1.2024474,0.52043766,0.39440355,0.5944586,0.26350445,0.5374483,0.26656088,0.34561983,0.3343137,0.39208424,0.84429353,0.8407957,0.628046,0.59644306,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01435,1.799256,0.536901,0.50009423,0.46215972,8.046945,0.30247992,3.6386297,0.3078489,0.51037174,0.78791624,0.4427573,0.7419778,0.43386462,1.0904318,0.83707994,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04762,0.31815028,0.85251725,0.81906736,0.6926288,0.9576872,4.004006,1.1888129,0.35873267,2.344148,1.5451066,0.6181417,0.93770534,0.6060998,0.5498351,0.78025734,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05426,0.25936732,0.53811,0.5579219,0.6219243,0.632375,2.0541885,0.4951343,0.28032592,1.0846132,0.3884247,0.40450975,0.8324937,0.583023,0.44728616,0.7626377,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04455,0.29559082,0.8791522,0.7765341,0.58778507,1.0455571,2.1053712,0.9090829,0.42830867,2.4206598,2.895683,1.8349959,0.8541528,0.4308491,0.46414503,0.69393915,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04810,1.4326315,2.20317,1.6873003,0.45918658,0.622203,0.27202702,0.5954062,0.28130707,0.34689474,0.36959153,0.3946525,0.9175228,1.7057052,0.4211245,0.5573213,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04936,0.2610361,0.6220332,0.57006764,0.42656338,0.60663414,1.8115877,0.58294976,0.2625936,0.88557047,0.3473952,0.47032407,0.80204463,0.3852109,0.39565971,0.61652136,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01314,0.31849647,0.72934157,0.6701702,0.559084,0.85453737,2.472113,0.7520031,0.35696858,3.917384,1.8727261,0.57408446,0.7954851,0.4825981,0.5134952,0.65581244,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03394,0.6765815,1.8239709,0.4927116,0.603571,0.37219885,0.26111683,0.48669904,0.2813306,0.35800782,0.371453,0.36603114,0.7951162,0.32194746,0.3430468,0.2957708,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01987,0.62921536,0.94319,0.99341416,0.38652304,0.4940784,0.26093706,0.46027973,0.28289714,0.34613076,0.55627483,0.3898135,0.78100514,0.5335588,0.7744541,0.6312425,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03590,1.7290106,2.2937372,1.2446535,1.1475029,0.504354,0.26643896,0.4709947,0.28017634,0.34481403,0.5327823,0.37032,2.8053582,0.75696397,0.39491704,0.5751357,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01471,1.5024734,1.092158,0.8994658,1.0858048,1.2097602,0.27282286,0.80558276,0.3777115,0.3403361,0.6355635,0.44019508,0.9913362,1.4283485,0.89576703,1.0809487,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02818,0.31545416,1.2331544,0.5911731,0.8806168,0.40468723,0.28784445,0.50968957,0.30608025,0.39574203,0.4484862,0.35824835,0.71173847,0.1588069,0.2659448,0.2460209,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01482,1.573949,1.2536643,1.4166654,0.5463339,0.72217953,0.27831626,0.5754608,0.3179068,0.3191036,0.4690608,0.57130206,1.0163386,0.62030554,0.84291285,0.70186377,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01467,0.38942522,0.82264626,0.770673,0.6932125,0.9572805,3.871257,0.8623245,0.4048518,2.3143644,1.4195001,0.44748718,0.8917933,0.6334269,0.63123465,0.90310514,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02638,0.7745767,1.5816445,1.3985763,0.4311151,0.6024656,0.28189906,0.5325321,0.29770368,0.34973663,0.44972873,0.38380015,0.88511693,0.5938315,0.45927814,0.62606686,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04559,0.25900918,0.85964984,0.82029873,0.6799602,0.9064434,3.7421339,0.94154674,0.33865482,1.130381,0.90554297,0.9758165,0.9032082,0.52181,0.4840683,0.7697267,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01421,0.3828751,0.86397696,0.8031521,0.78250915,1.0662464,3.1089025,0.8454318,0.39175278,2.539374,1.6030986,2.5374787,0.9847151,0.6813134,0.6571429,1.0023303,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02440,0.30755827,0.59244,0.5738999,0.440926,0.5210254,0.27303013,0.47841102,0.3957827,0.34905893,0.69081646,0.3738143,0.7727729,1.0489845,0.47368795,0.5993826,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03026,0.36231354,0.5385087,0.5575722,0.3841483,0.52922654,0.27123815,0.52375764,0.27852863,0.3768237,0.4673538,0.38188004,0.7890123,0.7645432,1.2573119,0.59847903,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03939,0.36394244,0.5119211,0.41153464,0.27958462,0.4250793,0.26030967,0.49913064,0.23773903,0.34602776,0.39875415,0.38423967,0.7271649,0.697525,3.4473488,0.4428131,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03066,1.0864676,1.0413774,0.72316325,0.5042668,0.43594617,0.27432364,0.41696063,0.3024978,0.2925981,0.60419756,0.35595968,0.7970606,0.50139886,0.36856228,0.5563438,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04826,0.3449876,0.90130925,0.8787612,0.7379354,1.0385919,3.5324686,1.1719899,0.421151,2.2434297,1.9336892,0.524275,0.9447189,0.646776,0.5766947,0.912503,BM-Her2N75-15
