"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.012712962962963,0.938180555555556,0
"2.5%",0.0090162037037037,0.920833333333333,0
"50%",0.0125,0.938888888888889,0
"97.5%",0.0169097222222222,0.955555555555556,0
