"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00601851851851852,0.989541666666667,0
"2.5%",0.00277777777777778,0.981944444444444,0
"50%",0.00601851851851852,0.988888888888889,0
"97.5%",0.00925925925925926,0.995833333333333,0
