,CD44_Ring,CD45_Ring,CD4_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene059_cell02036,0.8867903579651577,0.927395140371787,2.5795770849701336,14.131572820076427,1.022353934691855,0.34889984515131867,0.9553771224372856,0.3690520056962981,0.3508103959103062,0.45215591938905075,0.4287196332237014,1.0116483672431924,1.5961676810398462,0.6427758696510697,0.7530084454278279,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02287,0.44778146780050204,0.7661508062231508,0.9108652466714582,0.7070174696906723,1.1947207574704333,2.2119038288940454,1.1709501736761614,0.46983413773156624,2.6848392234313483,2.0363640392631366,1.3566563200210564,0.97380837190225,0.5860598282342206,0.5352972565462333,0.8806353395893984,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02825,0.6406132323909174,0.546709686462804,0.4768119139859044,0.44829643668417546,0.5548487134145867,0.3032407279126733,0.6545943366246246,0.28049050187266633,0.422618332292777,0.4182815128635986,0.3903875522369744,0.7977326889696739,1.1684206405187036,0.7582368886490499,0.554768507311424,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01957,0.7265270757273374,0.760444655208345,0.9726781580449374,0.8100006075185924,1.9672885466883878,5.017750117390231,1.8359746471241205,0.4480673026912339,1.3815779413557103,1.6852727951466486,0.4510036785586147,0.9747983896023119,0.7044878971263594,0.6153160859618815,0.9352102533010425,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05109,1.6059074912040645,1.0067673026970994,0.7610649678778226,0.5358903859836096,0.5951380714528036,0.27217192110133004,0.7103205908450361,0.2961903702086474,0.38896141814191476,0.3740695063394909,0.3916038447403044,0.842866698056858,2.524333915831981,0.47405648666328615,0.5799480910435579,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01761,1.7623369746774071,0.6692703859664195,0.9550895689430925,1.2518893366743598,1.1292866365115946,0.26478624660006056,0.6803815563489711,0.36976047037887044,0.31515683494580765,0.6271934884173634,0.40777290509198527,1.0510172273131158,1.665061986658491,0.8156996161801784,1.3721987217123734,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02087,1.1294810704096307,1.5263330225057454,2.2337549959957497,0.5984607267556906,0.592721898405743,0.3059889920486051,0.5774040261618729,0.2966971035180472,0.3290877093187292,0.4284324012121514,0.3670807851544847,0.7383244414599424,0.5390216184680706,0.5714999732673015,0.4554401121371536,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02955,0.44306549899674175,0.5736638090361547,0.8801610883671004,0.5028097520201368,0.5345967878077276,0.29457156745952184,0.5723574091419596,0.3160624805921042,0.3442517847113931,0.46811831592721337,0.37802587049368913,0.8172586093788666,0.44783735392085594,0.42344723182130933,0.724949728022813,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02640,0.45951709854199635,0.6663341206907576,0.8519880017037952,0.6375232225283974,0.9772364415504972,3.9577499814515615,1.0308346288941852,0.40841438773006955,1.594229995093251,1.3830411060291943,0.44656404330912747,0.9233185898743391,0.5687808019688575,0.5104636904344332,0.8014406630971985,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04946,0.3265632770312816,0.6601409956079826,0.7640259547728698,0.625431333482569,0.7321854413259843,2.0416145096536176,0.91048315140279,0.35634638743853775,0.7575283933924234,0.5704228728135067,0.9289258632790043,0.8886638832036121,0.3752149413070226,0.4201512848450054,1.0297015147040063,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02344,0.5165351222556089,0.7310942160438818,0.6716338883523939,0.40897995740889703,0.4260190255988175,0.303036280426387,0.5387244144536494,0.30580733208054467,0.332473851177065,0.5106988969845,0.376913870108616,0.6679311373857396,0.36012700323245955,0.37320410486671524,0.4508638924642929,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02681,0.43811566011584546,0.6659618759081409,0.8730333262266825,0.6519528656615647,1.0058880241821413,4.49793198357309,1.0551664840545492,0.39034629244810326,2.4606863992268813,1.572942163420207,0.4627987160099315,0.9329018794675679,0.5732524592908721,0.5041306853216029,0.831343249755237,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03708,1.7792520820684907,1.4748601382045992,2.9174396559438187,0.5807345665905823,0.5289848068120648,0.2897534265309346,0.5828999387832332,0.3020085017610657,0.3658281249623631,0.47420432228506226,0.35215239988652847,0.7641438763056256,0.6701773111726841,1.740762085828107,0.5710632030847518,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02854,5.377787078648537,0.7248287413690183,0.9561597816212531,0.7090577881789839,0.7151327994063145,0.29604411841666767,0.6358649246065877,0.3447418846030933,0.3783650137998443,0.4104601206431752,0.3944771212499611,0.9059637470343195,0.9809226674067507,0.534502145020504,0.9934490265383789,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00060,0.9659565002169658,0.687077214722952,0.7169883040381245,0.44471140399137515,0.4045991849855599,0.28783632368407586,0.5705530547862047,0.2939249765754498,0.3739078587158206,0.3316658715722364,0.382232567577949,0.8087288204424957,1.102506289185729,0.4618837705670238,0.5050204281303586,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03925,0.42583372524282487,0.5459892316773154,0.38722904479082293,0.3615869696746583,0.38241551739721974,0.27686845164991425,0.566778613136551,0.24925878855329553,0.37636590345309295,0.3191406274727292,0.49282487528296887,0.702345030721913,0.3999248684579568,0.3971649367175347,0.32698393837028833,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02978,0.5010452937826028,0.5091025646974893,0.3986809690070417,0.4854965432614998,0.4064859428887886,0.2972467059259525,0.5101560343200744,0.3128040121025577,0.30760273808075295,0.47458288257155534,0.34814646512991304,0.7692309508747016,0.6807676592689107,0.39141174159743797,0.6584307466934198,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01501,0.36154367068273774,0.48700459579568917,0.571460880013164,0.6264071538527904,0.6500043429197621,1.560006966010051,0.5956473017600021,0.3620414529158146,0.778741409284899,0.3365443555544606,0.38783262455312856,0.8155957909965013,0.4855013067097645,0.4290668378846633,0.8493655477973686,BM-Her2N75-15
