,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene059_cell02991,-0.2938378,-0.19247952,-0.33919385,-0.1746481,-0.5332378,-0.11928337,-0.3558964,-0.33918592,-0.12022421,-0.45093605,-0.07812831,0.11595506,-0.14811599,-0.1319172,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00671,-0.3518007,-0.027026176,-0.05325504,0.12323609,1.7301607,0.08711482,2.1743853,-0.29566088,0.48220268,-0.32269505,0.08988419,-0.34801272,-0.023772296,0.214069,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05950,0.16191845,-0.038361847,-0.12022604,0.3271192,-0.52267563,0.13877302,-0.31357297,-0.36040416,-0.121728495,-0.3779451,0.06624761,0.8323122,1.1527464,0.03575729,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02595,-0.30689085,0.08206588,-0.024903316,0.2523981,1.0770416,0.12050445,0.9454561,-0.22981896,0.43046048,1.9324698,0.022667972,-0.44298464,-0.01876783,0.026898785,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04951,-0.30602753,0.14781219,0.16323851,0.33579484,2.6034465,0.2744223,2.3715522,-0.22879852,0.6121447,-0.17506978,0.04703596,-0.44712493,-0.19407687,-0.06901522,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04748,-0.47875208,-0.26245987,-0.43919456,-0.24823079,-0.5484113,-0.17492115,-0.3587795,-0.42173052,-0.1765395,-0.5124869,-0.13348475,-0.3597147,-0.32777584,-0.21720026,BM-Her2N75-18
BM-Her2N75-18_scene059_cell03062,-0.070303634,-0.18230155,-0.23041983,0.032777995,-0.5049216,0.009429521,-0.34189293,-0.39749825,-0.10480775,-0.32964298,-0.07670656,0.42940867,0.20522779,0.03432791,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04645,-0.39827818,-0.22467086,-0.33579442,-0.21955726,-0.54697067,-0.15601605,-0.35588548,-0.4137958,-0.17322198,-0.49907246,-0.08964309,0.09803874,-0.2504791,-0.13665141,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05422,-0.37391123,-0.009426951,-0.023709554,0.107595116,5.239288,0.26741648,4.8012958,-0.38053438,-0.01012595,-0.41571358,0.00042274315,-0.46917036,-0.19182691,-0.022762196,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05439,-0.38311097,0.05496323,0.059532266,0.23519775,4.6553516,0.36989152,4.859105,-0.36488733,0.052985594,-0.3785459,0.092446476,-0.4545748,-0.19804254,-0.16607322,BM-Her2N75-18
