"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0160277777777778,0.893027777777778,0
"2.5%",0.0115740740740741,0.870763888888889,0
"50%",0.0157407407407407,0.893055555555556,0
"97.5%",0.0210763888888889,0.910451388888889,0
