"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0419506172839506,0.543333333333333,0
"2.5%",0.0326851851851852,0.50537037037037,0
"50%",0.0419753086419753,0.542592592592593,0
"97.5%",0.0506172839506173,0.584490740740741,0
