"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0109938271604938,0.859407407407407,0
"2.5%",0.00708333333333333,0.82962962962963,0
"50%",0.0111111111111111,0.857407407407407,0
"97.5%",0.0160493827160494,0.888981481481481,0
