,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene017_cell05768,0.5404415,0.44389972,0.81608504,0.39554647,0.19488561,0.32943162,0.02980896,0.49052435,0.18250005,0.45273575,0.7043645,0.30714625,0.55035454,0.626452,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00276,0.42535967,0.52716476,0.5255244,0.5673047,0.7754328,0.46772107,0.58086973,4.05895,0.43418428,0.5907327,0.74028146,0.27425945,0.5022033,0.52376544,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02675,1.137535,0.5255891,0.78421456,0.43049544,0.29676017,0.36317962,0.081467435,0.5440335,0.21391366,0.4774939,0.69542015,0.4050464,0.6026197,0.63093895,BM-Her2N75-18
BM-Her2N75-18_scene017_cell03170,1.2003224,0.77052397,3.0221443,0.50216377,0.2228767,0.4608854,0.041815646,0.518061,0.19128416,0.45193136,1.984433,0.5533977,0.6232148,0.7057248,BM-Her2N75-18
BM-Her2N75-18_scene017_cell08102,1.2927262,0.47536972,0.8158514,0.56571305,0.2011327,0.38993332,0.040217932,0.58482283,0.18610409,0.45837846,0.80187684,0.55007964,0.65293497,0.9892784,BM-Her2N75-18
BM-Her2N75-18_scene017_cell07661,5.1991544,0.58626395,0.9798737,0.52105176,0.19111681,0.42844132,0.035728175,0.50792634,0.19530225,0.46533993,0.8063735,0.8231518,0.59616315,0.83160716,BM-Her2N75-18
BM-Her2N75-18_scene017_cell09081,1.2153884,0.6484854,1.6585145,0.43959835,0.24014597,0.43852594,0.034889575,0.460382,0.1800293,0.4359048,0.75748295,0.7796891,0.55940986,0.5985338,BM-Her2N75-18
BM-Her2N75-18_scene017_cell06114,0.6355014,0.57483256,0.64334047,0.50391084,0.40762892,0.45155406,0.22163868,1.5224991,0.30564764,0.48267248,0.8109157,0.83974326,0.6814373,0.619132,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02612,1.830967,0.48237172,1.0968065,0.52006835,0.2013841,0.3458086,0.039334442,1.118165,0.1744296,0.5101534,0.7606969,0.614952,0.7748993,1.8109049,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00515,0.41836882,0.3984451,0.48444295,0.3327133,0.20240605,0.34908223,0.027936772,0.43356597,0.19111387,0.41626853,0.67967826,0.32063317,0.45552868,0.44547942,BM-Her2N75-18
BM-Her2N75-18_scene017_cell08173,1.0379769,0.46225044,0.94619006,0.3477869,0.20644121,0.3777059,0.031226037,0.38910508,0.17273287,0.4725485,0.6671588,3.097968,0.6243061,0.40404418,BM-Her2N75-18
BM-Her2N75-18_scene017_cell03801,0.58394355,0.43055192,0.5028897,0.42961556,0.5163987,0.39900586,0.21663639,0.49506307,0.2555326,0.51820254,0.70902336,0.34722826,0.59376717,0.49748182,BM-Her2N75-18
BM-Her2N75-18_scene017_cell05760,0.7540627,0.47590497,0.61319184,0.66777736,0.7361222,0.45698184,0.27554712,4.9616275,0.5089632,0.5026568,0.7160326,0.29644793,0.48070145,0.64473,BM-Her2N75-18
BM-Her2N75-18_scene017_cell01242,0.4351038,0.5002906,0.5013031,0.45809743,0.67707884,0.41741517,0.3243687,3.7214758,0.3972054,0.7941828,0.72016466,0.26682836,0.47777185,0.54853964,BM-Her2N75-18
BM-Her2N75-18_scene017_cell01463,0.6443179,0.4524449,0.8210382,0.45844695,0.18747878,0.38399372,0.0332219,0.49858424,0.18061376,0.4414326,0.781375,0.48125997,1.232788,0.6081069,BM-Her2N75-18
BM-Her2N75-18_scene017_cell08252,1.047503,0.5278114,1.2266588,0.44557235,0.19927602,0.39965412,0.035507895,0.4534498,0.16885944,0.43719044,0.83269924,0.4923973,0.5030329,0.5925146,BM-Her2N75-18
BM-Her2N75-18_scene017_cell06242,0.87107897,0.46298686,0.58915365,0.3701627,0.19444908,0.37499642,0.02983028,0.45249858,0.1853784,0.46146563,0.7313628,0.55256516,0.58009166,0.52777183,BM-Her2N75-18
BM-Her2N75-18_scene017_cell05964,0.49286857,0.5217315,0.5525394,0.4655354,0.91623914,0.40674472,0.20045495,0.9413705,0.5972019,0.5170827,0.74844253,0.31151545,0.47582838,0.48895597,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00685,0.88362974,0.70716643,0.5676066,0.510712,0.33239606,0.45399007,0.028345242,0.5738997,0.20504536,0.42189565,0.6851279,0.56501883,0.5986526,0.69915295,BM-Her2N75-18
BM-Her2N75-18_scene017_cell01717,0.8410226,0.50257134,0.8183515,0.5027012,0.20776616,0.41036728,0.03736029,0.5585117,0.17218342,0.45161942,0.7701167,0.7661596,0.71077573,0.71288323,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02442,2.1093411,0.50985897,0.72738856,0.5763504,0.218324,0.43558732,0.04269105,0.6234114,0.19326894,0.54661477,0.7938018,0.88039094,0.65330213,0.8494138,BM-Her2N75-18
