"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00899382716049383,0.937981481481482,0
"2.5%",0.00490740740740741,0.917546296296296,0
"50%",0.00925925925925926,0.937962962962963,0
"97.5%",0.013287037037037,0.95837962962963,0
