,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-43_scene07_cell1505,0.49101565324180363,0.05057477262739216,2.0691485296441976,0.7085854079227252,0.9490481143474518,0.18252219259193206,0.5490810520209387,0.736426677296578,1.2765462979607731,0.055305400880017015,0.3888348684217825,2.074572737025522,0.0,13.580112329813117,5.937854607620606,0.2525059557663362,11.872396708613913,0.0833869162656336,0.6481067845203538,0.5384766934395119,2.432211304903206,0.6629296832053727,1.3650673613921576,1.0221330989704809,JE-TMA-43
JE-TMA-43_scene07_cell4662,0.33684230675858695,0.3531581774906344,8.59478590955905,1.0819334622238348,0.12653994867920196,1.6313139038549782,0.5127305614784092,1.633971782538845,2.5636437423449028,0.2982096364205129,17.54470680041557,2.9289775405702474,0.0,0.18304572442419442,0.6026547956247977,0.0732338978377413,0.2213578295856982,0.017367525581387065,0.1129132129655337,0.249688070329709,0.1561451472211443,0.30165956397623217,0.370094614231506,0.5316280141275822,JE-TMA-43
JE-TMA-43_scene07_cell2855,0.4507500368943505,2.1402956018574946,4.327448903472792,0.7766302684232143,0.4588902448753681,0.3307554610288247,0.46629430071517886,1.0343662276733419,0.46855920574884335,0.21481834706047895,0.40346664651886527,4.155191539911736,0.0,0.21911733048986393,0.5022479969348982,0.07338160401670005,0.24930547189579202,0.014882642862405517,0.10002274098813656,0.20607081078880646,0.036894634111290577,0.313216590624038,0.20156138808500096,0.5099415883261071,JE-TMA-43
JE-TMA-43_scene07_cell2525,0.4381305386167542,0.378098977880473,6.8690221876960695,0.712438236335877,0.7959010578770755,0.10594218191893286,0.6589215348040388,1.2180368792893563,0.6947655501329038,0.013683911549906762,0.4266746957719734,3.6013570805553607,0.0,0.3159997004268677,0.6784796053522575,0.07218318302947177,0.24152366020096103,0.01725880807552608,0.0971302783555542,0.19091310007192266,0.04815082237450025,0.3007752248820594,0.25456272555077103,0.5471287625940162,JE-TMA-43
JE-TMA-43_scene07_cell934,0.3466188656809936,1.2679823585587076,1.9071856860871002,0.7174714668005043,0.5310593709380583,0.07149180425636195,0.28144190187370866,0.6818844121543969,2.3392463683487055,0.019200845564994674,0.495861788105162,0.596128940781638,0.0,0.3874143176235165,3.8833436946966566,0.09644378719901235,1.1051370145409325,0.015330957744875019,0.2237167605737568,0.29450453111643937,0.10318487650174335,0.30017690182811946,0.049555486367910205,0.8616493837772593,JE-TMA-43
JE-TMA-43_scene07_cell5431,0.3798961979564144,1.486725094500181,4.00369638566633,0.780760070084031,0.6743528434958231,0.41201633419192824,0.7002247502280763,1.0345242539304202,0.6854411366283647,0.39967256902977283,0.4780761997038178,6.278397388707865,0.022939025291952735,0.5031182936858131,1.1072096266595008,0.07235150827426613,0.36803166392260184,0.016692094463697866,0.10374004676825967,0.208415651439189,0.05808973491793997,0.3292400951468304,0.15277596834536672,0.534115970402591,JE-TMA-43
JE-TMA-43_scene07_cell3819,0.44928038920510976,0.1299907068655717,14.352640368182247,0.8427968101660953,0.20485590780822852,0.5055527519319948,0.3040119289626374,1.862198598976629,0.7097721654744426,0.6425055811144377,2.822424469867681,1.835897712906959,0.0,0.22804851269545265,0.5022295460518433,0.07202087071538373,0.19837697315650776,0.015149675330658955,0.10647864725338434,0.28726671287681915,0.35809705757599825,0.3351684313077415,0.8032416678950017,0.5513098700659909,JE-TMA-43
JE-TMA-43_scene07_cell3021,0.4924733852952477,0.21461272758862207,13.660610889535068,0.7917445399834541,0.35677455726131785,0.5837422540242149,0.31227725891615254,1.343689372741966,0.8101436839404983,0.6690933132472563,1.489990792255012,2.46091973236612,0.0,0.337104872306366,0.5865982602567785,0.07111447506786836,0.2656080116881496,0.02052049435050202,0.10027833139123048,0.21844733676821798,1.264761793763508,0.3311190438653052,1.0421732998794382,0.6228272930420257,JE-TMA-43
JE-TMA-43_scene07_cell2655,0.5051045292190464,1.7782498158787754,12.484503768943997,0.7828108916451616,0.4690995762503186,1.1829976049931639,0.43873566891572885,1.1910422943825025,2.9958579414300845,0.5367787560031412,2.277256537716049,4.363815473001595,0.0,0.362814148331736,0.7252649175012591,0.0710693582803582,0.26026925770521,0.01961510502154713,0.0966083279256915,0.2604942004854993,1.0779435546972118,0.2970878684826673,0.7761522809258442,0.5496793802441579,JE-TMA-43
JE-TMA-43_scene07_cell4479,0.4509050310577574,0.6966845205251542,8.946031578564636,0.8089272176122968,0.17207987520226545,0.7482131573327453,0.36111257658718926,1.238585055443194,1.1254171642736523,0.3445559393745074,2.684228122439772,1.5050755754138299,4.889991678928623e-05,0.18364390491415106,0.6220387839090149,0.07437181659928493,0.25559359381873736,0.013192163416328189,0.09819247121491054,0.19004208781492257,0.1772629197418014,0.3085487354287869,0.41893906176417905,0.5404248133290303,JE-TMA-43
JE-TMA-43_scene07_cell5243,0.49885666303073006,0.18321038842578327,3.123675131806536,0.9118955808723604,0.1281149321719382,0.7549276250276632,0.43929711284780487,0.830904885417539,0.5935515805402296,0.07217545899642892,0.9116438784119442,1.0755811015590244,0.0,8.771239079239011,3.531120823508134,0.1109393608010553,8.854028238635673,0.02673987091837098,0.6238334468033063,0.38896966742992156,0.08522609302095517,0.38117384591791986,0.1426325360072444,0.6710012237991676,JE-TMA-43
JE-TMA-43_scene07_cell5603,0.48615276176600736,1.1915965977489937,4.683644713891467,0.7470956118702506,0.145747414036842,0.15084962898764853,0.44000116178318055,0.8870499400113145,0.7750348606801907,0.14888372733515248,0.7617086210234669,0.525978165221528,0.0,4.729818085162376,2.426398663834033,0.10319325514777981,5.944427861331357,0.02349071075808059,0.36488788005037814,0.30951219560010906,0.08955689475813208,0.3274407712457975,0.15687789834742114,0.6220005378954258,JE-TMA-43
