,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell03397,0.4759229986584153,0.9004235287565611,0.8658023194477089,0.5333582101321822,0.20789727200352492,0.42882663700785867,0.09939997943283588,0.4345560662204268,0.3361944036111497,0.3539790558924928,0.9744166660490129,0.4437516454863546,0.5129596911506347,0.5672822268569051,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04298,0.32986358258779935,0.605862084175775,0.6034311001118874,0.6722130053800087,0.6235619306415535,0.5611705529390669,0.5163190838695169,3.446701676037253,1.3161395671936222,0.3752973709710153,0.9138639433268952,0.5039552187560946,0.6949694167617668,0.6066024298350794,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03468,0.9630803152925151,0.8754054574441388,0.968308965183198,0.7163999455539257,0.28441614251160585,0.5142493360479847,0.12291226824074189,0.6529667894728268,0.6509134599173593,0.3679393921467631,0.9131233012086782,0.6716477308816624,0.8692179396892773,0.7582743890959075,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04755,2.5313622691654762,1.7011827047733168,0.7553314285074991,0.6440319503929223,0.2347518616307151,0.48812923108167017,0.1114151561124992,0.5288879691689875,0.36823145313712563,0.3806142606498467,1.2065275371323825,0.6390296877448347,0.6920618989105516,0.7212634133117666,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04596,0.47894721078873864,0.6233588331623326,0.6122079089564147,0.6448228430978566,0.4609142942383672,0.5029068375634916,0.4587355167479057,1.1128107696408738,1.5738230179682562,0.3796522555267792,0.9056252604998349,0.5190893555186475,0.6879528202787349,0.6385000907572479,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02520,0.3435353552871662,0.6707667568957244,0.5438792894638048,0.6603819934216255,0.44775889193097157,0.49349447899812654,0.22489806902867585,2.7503811893739325,1.437967951361662,0.3497984163387962,0.8396770884768522,0.49820845309655776,0.6721262950056668,0.5473533090366319,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02893,0.31292953860934214,0.6264179251305544,0.638403594625904,0.6859096516505411,1.0382671838304567,0.5298704022378276,0.6151676447609988,2.80405212580868,1.5577312240588677,0.37646367547454546,0.8381556558655359,0.4324888470361229,0.6178189329884562,0.620262017192791,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04070,0.45688028058642016,0.6664355217749156,0.8076784935786006,0.6993369633900943,0.7017661909362289,0.5345114379878435,0.585822477073507,2.6889199891817053,1.3374265411995327,0.3731651891482052,0.8829853474713885,0.5842632580493481,0.7095947063115996,0.8069988547298512,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07224,0.3007487554465541,0.6634682275543173,0.5593590995288441,0.6654482741759189,0.6216834673889506,0.4979805564289985,0.6080609812292869,4.217601652336543,1.5502876404047512,0.34342534140524245,0.8462426792244684,0.5037616730352974,0.6328529629325494,0.6044811681838901,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04820,0.5672436644405944,0.5290592547581328,0.5436972097272691,0.524445464542412,0.2144253195287542,0.46145017889429574,0.0991754247576212,0.467622915110127,0.36667166407735136,0.34062490846460536,0.8492686833305407,0.5146305138678677,0.7351004085424261,0.6851855839978555,BM-Her2N75-15
