"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.010395794681509,0.650593692022263,0
"2.5%",0.00585961657390229,0.607467532467532,0
"50%",0.0105132962275819,0.651205936920223,0
"97.5%",0.0160791589363018,0.687430426716141,0
