,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-62_scene08_cell723,1218.6731,193.37355,1603.9913,1131.379,24.090458,119.4928,413.5167,1045.5524,234.58673,252.76077,128.3553,128.60933,37.35888,56.583424,82.58319,2250.619,121.00536,2502.7744,1534.7964,3136.738,736.4231,538.4703,1714.2368,374.1917,86.245346,JE-TMA-62
JE-TMA-62_scene08_cell3824,743.1356,243.11392,1748.5023,1153.3893,37.65981,160.81299,408.78085,1054.6141,135.44539,419.44888,149.99811,48.64844,41.70714,29.708252,82.302605,1021.83875,107.3718,1042.0118,1209.0818,4050.8413,534.76385,731.0403,2220.8877,1089.8625,135.81244,JE-TMA-62
JE-TMA-62_scene08_cell931,3470.2698,359.88458,1670.9941,1184.0734,32.04823,190.36278,436.51956,1056.871,250.22697,371.549,153.31007,36.594772,37.95838,109.75349,80.84279,2541.793,136.81812,3046.4062,4321.151,3353.8179,1546.0554,487.16315,2231.1135,563.7046,119.257935,JE-TMA-62
JE-TMA-62_scene08_cell4455,2737.5818,408.20547,1708.7179,1153.7134,23.150545,134.38583,391.0814,1043.5748,265.94418,368.7972,140.93471,146.97432,36.421833,57.717434,81.160866,2055.832,110.52987,2789.2708,2080.9531,2651.3333,638.908,403.30487,2736.285,309.49008,61.756474,JE-TMA-62
JE-TMA-62_scene08_cell2741,1150.38,199.82002,1591.5189,1108.8878,18.392998,112.63549,349.71414,1037.3618,54.336136,224.5859,118.34112,66.24598,36.792946,26.726807,80.74952,1492.7185,110.3466,1780.8334,1559.411,1943.5869,927.6253,1732.8032,1564.0381,552.2024,63.11873,JE-TMA-62
JE-TMA-62_scene08_cell1390,2948.882,197.4166,1509.2788,1046.2802,68.888176,190.91483,344.53635,1058.2699,118.54979,218.30301,274.04794,47.431633,74.26499,31.985317,98.94241,2265.7866,94.96497,2669.5442,2387.1106,1872.8651,403.91705,570.76636,1100.312,402.5391,112.62156,JE-TMA-62
JE-TMA-62_scene08_cell2494,2050.658,219.58379,1652.1752,1203.3204,59.53335,157.82927,372.12408,1040.3615,283.85468,415.9933,193.14236,25.952465,36.621532,154.62949,80.51989,1966.2305,141.44688,1536.5721,3251.3018,3506.469,634.86017,1876.9413,1830.9095,505.91074,115.46328,JE-TMA-62
JE-TMA-62_scene08_cell704,2245.5034,414.0153,1529.5448,1090.624,25.823542,124.83056,347.06796,1030.9513,114.86328,208.43579,138.86569,32.46479,38.34885,52.06374,80.60384,2497.0454,108.18347,4256.2573,1804.2185,2065.931,1090.5155,1249.5223,1736.181,286.51227,64.87201,JE-TMA-62
JE-TMA-62_scene08_cell753,1530.5184,301.19626,1547.4089,1095.809,41.00258,127.480965,345.43494,1045.5929,340.0918,233.02892,143.31053,196.9163,45.30316,146.96066,80.65229,2895.2642,151.52045,3063.5889,2068.602,3497.2092,2975.4783,689.92615,1856.3043,384.9539,117.543686,JE-TMA-62
JE-TMA-62_scene08_cell3651,1318.497,203.5031,1604.4509,1110.3091,24.165098,109.27367,333.51602,1042.3236,73.83602,321.17453,129.30359,223.18776,36.405,24.215303,80.61765,1237.9106,107.25569,1484.0704,1366.8278,3822.4377,705.23694,557.7493,2047.3507,282.4566,81.877106,JE-TMA-62
