"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0562777777777778,0.951152777777778,0
"2.5%",0.047662037037037,0.936111111111111,0
"50%",0.0560185185185185,0.951388888888889,0
"97.5%",0.063912037037037,0.963888888888889,0
