"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0091358024691358,0.976351851851852,0
"2.5%",0.00523148148148148,0.962962962962963,0
"50%",0.00864197530864198,0.977777777777778,0
"97.5%",0.013287037037037,0.986157407407407,0
