"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00585648148148148,0.959236111111111,0
"2.5%",0.00277777777777778,0.946493055555556,0
"50%",0.00601851851851852,0.959722222222222,0
"97.5%",0.00811342592592592,0.9715625,0
