,CD20_perinuc5,CD3_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CK14_cytoplasm,CK19_cytoplasm,Ecad_cytoplasm,ER_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell2038,0.27590231238081625,0.34476032746464763,0.4246388133284702,0.5769029986878501,0.6236574831212932,0.2896654048771688,0.09038381833514667,0.13001643736486923,0.056131789443795065,0.40985884785256477,0.1372587161200021,0.06178030683485521,0.07022382264969015,JE-TMA-41
JE-TMA-41_scene01_cell1897,0.1999082477806049,0.3628954139174281,0.3128495629417049,0.3771476671859958,0.38788084143169965,0.10941315064469354,0.11815959143473374,0.16483208392275345,0.03663020187657451,0.4924086204606515,1.1656577939345274,0.16696043504019167,0.07667935822837349,JE-TMA-41
JE-TMA-41_scene01_cell828,2.3182316751393452,0.19892253205317437,0.11133180392053993,0.13460031515510557,0.6003900079859763,0.04254245681174317,0.08961203778069722,0.15576404925127899,0.06427615018568197,0.2695492471337108,0.10447008798480964,0.6583374896124627,0.05676368702403296,JE-TMA-41
JE-TMA-41_scene01_cell2480,0.07271819018060992,2.0535681571380664,1.607701036229276,0.513737108325581,0.8076729179726054,0.1075860803615601,0.11749008899552311,0.18350486870400826,0.028964773303013648,0.5429361807406525,0.11186257942748823,0.052285764683242086,0.10962937892251526,JE-TMA-41
JE-TMA-41_scene01_cell589,1.345772735936829,0.1395801101253854,0.13732909065103552,0.42294570430298195,0.6217203700960573,0.2593264154350509,0.08867360062662809,0.5377619683091126,0.10630659311400056,0.1250636105886883,0.1286278659109873,0.1368014069137223,0.11465578233384519,JE-TMA-41
JE-TMA-41_scene01_cell815,1.3456128278836414,0.10292893873185291,0.09662681507309007,0.5772056225815517,0.7552508694481438,0.16417494327422436,0.08975912733858214,0.7673668900981233,0.1023283051546931,0.244580612050091,0.17582707519235005,0.10438043751218473,0.08230967770082018,JE-TMA-41
JE-TMA-41_scene01_cell2533,0.06990919615748514,1.6856105114948505,0.9994279276675815,0.7526659473546146,0.8024686710810126,0.8642404313373769,0.19498244141395601,0.22170614914957237,0.058396375578101845,0.7038451556421352,0.6094110884790849,0.32881523800295687,0.7038197959787127,JE-TMA-41
JE-TMA-41_scene01_cell2360,0.1932056831829478,1.5693993823299022,1.1810586819019506,0.5962420694444613,0.993874738774632,0.15041077410079587,0.1015744475755112,0.22079031000226873,0.030302320770673376,0.5163406566269074,0.1894295409185693,0.07915245835480259,0.08453740665823689,JE-TMA-41
JE-TMA-41_scene01_cell2849,0.02104775550560755,0.623937867125496,0.7283671444999482,0.2804115282454074,0.4442316162337614,0.0,0.01555267222475934,0.12681994454472278,0.019943018734981603,0.018665326753240744,0.13592258794313622,0.0,0.0,JE-TMA-41
JE-TMA-41_scene01_cell2872,0.5422909767188424,0.12073110076745704,0.14316406022126976,0.26958388365173386,0.597354835997378,0.023072292425681463,0.06255814758439943,0.6770867820833125,0.018038486118611453,0.0659452720177288,0.09213346285970671,0.004145416056518558,0.015605852370976803,JE-TMA-41
JE-TMA-41_scene01_cell2346,0.2380218558147526,0.5197612854420363,0.6465970313663782,0.3329152112106925,0.537709398498479,0.2337286793173656,0.09453209796705177,0.20369878627447743,0.03193187204266579,0.6333475036587976,0.16744268858098088,0.07435572196633669,0.061161819256199436,JE-TMA-41
JE-TMA-41_scene01_cell1921,1.2787343615971285,0.3150612775814938,0.19697667186697135,0.12534215253103062,0.9203059011140025,0.28039250523005504,0.09712035878803596,0.2689137042375704,0.05956361235471563,0.456950090004414,0.25227892825774084,0.33980477399069337,0.04868869195464828,JE-TMA-41
