"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00272108843537415,0.984508348794063,0
"2.5%",0.000293753865182437,0.974907235621521,0
"50%",0.00309214594928881,0.985157699443414,0
"97.5%",0.00494743351886209,0.99443413729128,0
