,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-43_scene08_cell8783,2.476835,-1.5112988,-0.5244326,-0.03896881,-0.66687053,-0.81687105,-0.9889468,-0.68449,0.60513437,-1.69637,0.69917905,0.3783219,-1.6776093,-0.36702588,-0.5379531,2.16006,-0.37696514,2.4262364,0.35687485,-0.090971895,0.5490988,1.9848881,-0.20301938,-1.5434005,-0.11998051,JE-TMA-43
JE-TMA-43_scene08_cell2609,2.9756925,-1.830639,-0.61383957,-0.09160877,-0.90047973,-0.69357765,-1.1080674,-1.0113181,-0.3364855,-2.8030324,0.12951408,-0.67005897,-1.7265059,-0.61119795,-0.7720477,2.0129242,-0.673832,2.366628,1.6252407,-0.028834293,0.66237813,2.8511477,-0.01840806,-1.1285036,-0.42600316,JE-TMA-43
JE-TMA-43_scene08_cell5743,1.9255741,-1.0675937,-0.61680263,-0.098794706,-0.14110608,-0.9097856,-1.0936555,-0.96739274,0.1461662,-1.4304494,-0.5098678,-0.5155709,-1.7265059,-0.4846368,-0.21362895,2.6419334,-0.72987753,3.1567824,0.33368626,-0.3871011,1.1523322,-0.62353134,-0.0060703754,-1.3737195,-0.2770607,JE-TMA-43
JE-TMA-43_scene08_cell3316,1.0802047,-2.3897617,-0.5645985,-0.079307325,-0.93259233,-0.7491139,-1.1199864,-0.8770769,0.35668218,-1.9970421,0.19915758,-0.78471446,-1.7265059,-0.46795753,-1.9441957,0.45340633,-0.82474476,0.40149525,0.21992435,-0.24190898,0.55364305,-0.57234955,-0.08651376,-2.8834841,-0.7337324,JE-TMA-43
JE-TMA-43_scene08_cell1596,1.9401872,-1.2596923,-0.5286345,-0.0033052054,-0.48918578,-0.5398716,-1.0136384,-0.79242116,-0.16295445,-1.6651276,0.52645147,0.1867516,-1.7212766,-0.46810248,-0.45945472,2.930831,-0.82443625,3.1112492,0.2524399,-0.54487413,1.4067782,-1.541163,0.11268592,-0.8498199,-0.21979398,JE-TMA-43
JE-TMA-43_scene08_cell3063,-0.2483733,-2.7681363,-0.63671345,-0.132262,-0.8151588,-1.0851611,-1.1655492,-1.1163586,-0.9200603,-3.0708284,0.05825458,-0.49964166,-1.7265059,-0.6586251,-1.9508419,-0.49484253,-0.6033521,-0.33949253,0.5651144,-0.16430469,-0.30442587,-2.000948,-0.6543257,-2.809983,-0.56118506,JE-TMA-43
JE-TMA-43_scene08_cell6222,2.1396673,-1.2242938,-0.46160355,0.051760904,-0.4543738,-0.74050653,-0.8951882,-1.0564641,0.96384466,-1.5374788,1.2783583,-0.044905897,-1.7265059,-0.26823953,-0.6627514,2.5308018,-0.70290285,2.7497675,0.25340596,-0.7181596,1.082405,0.0977545,0.13110232,-1.8715227,-0.53037184,JE-TMA-43
JE-TMA-43_scene08_cell3811,1.4582822,-2.2178729,-0.5218968,0.018540611,-0.638123,-0.8493298,-1.0593299,-0.73009664,-0.36179507,-1.674991,0.48545203,-0.13889861,-1.7265059,-0.4800959,-1.3278906,0.99328995,-0.8095966,1.4050791,-0.37048587,-0.055350255,0.41694722,1.5394182,0.25893092,-1.7576582,-0.5218546,JE-TMA-43
JE-TMA-43_scene08_cell2013,3.15046,-2.156912,-0.6107735,0.089808695,-0.7792434,-0.72388923,-0.86508834,-0.91246396,-0.6721488,-2.7167263,1.4347266,-0.50163436,-1.7265059,-0.5460954,-0.25101107,1.1379395,-0.6645351,1.6876538,1.2165445,0.2038546,0.5706852,3.115778,0.14786506,-1.3698771,-0.39914817,JE-TMA-43
JE-TMA-43_scene08_cell4275,2.488448,-1.5470635,-0.5783848,-0.06942154,-1.3321705,-0.82637346,-1.0480403,-0.8558853,0.75730836,-0.7181887,-0.5983473,-0.19310689,-1.7265059,-0.49904016,-0.69403285,2.006462,-0.80251986,2.3076842,0.9095539,-0.16627498,1.5669459,-0.28179356,0.036661863,-0.7851589,-0.33374518,JE-TMA-43
JE-TMA-43_scene08_cell1457,2.3341558,-0.7137067,-0.6495957,-0.17034604,0.06975512,-0.87198246,-1.1072482,-1.026224,0.4779209,-1.3871468,0.52389944,-0.06456923,-1.7265059,-0.59756136,-1.2252808,1.7716017,-0.5164886,2.286441,0.0005935648,-0.49783605,1.4161958,-1.7145357,-0.15269971,-1.7412331,-0.19014233,JE-TMA-43
JE-TMA-43_scene08_cell6982,1.0456274,-1.5166932,-0.6022906,-0.10634685,0.102916285,-0.7070788,-1.0938061,-0.99179155,0.13689744,-0.8555288,0.36886343,-0.8021648,-1.7265059,-0.46132138,-1.1717827,2.1364727,-0.9459396,1.9252512,0.0060972194,-0.20987315,1.3012236,2.8262377,0.005899191,-1.8819015,-0.08952921,JE-TMA-43
JE-TMA-43_scene08_cell8862,0.9355895,-2.2529962,-0.43319455,0.10296654,-0.6916937,-0.56235206,-0.90955055,-0.46643147,0.18824375,-1.061705,0.56613576,0.17337537,-1.7265059,-0.5322008,-0.82780427,1.0245733,-0.7040029,0.99078393,0.14184226,0.0936852,1.6845273,0.189168,0.43414378,-1.5475681,-0.4810993,JE-TMA-43
JE-TMA-43_scene08_cell7679,0.53373975,-2.5891464,-0.5937914,-0.07641769,0.038103625,-0.86170757,-1.0638608,-0.9285086,-0.94697917,-2.2509627,0.80650556,-2.0372255,-1.7265059,-0.78170013,-1.9105587,-0.40358162,-1.0589124,-0.3271787,-0.73018897,-0.2535295,0.66593724,2.4354067,-0.11697984,-2.196398,-0.325967,JE-TMA-43
JE-TMA-43_scene08_cell8559,2.1728923,-2.1659815,-0.5415587,-0.05375076,-0.58489317,-0.5722307,-1.0639733,-0.84881574,-0.3497206,-0.40758458,0.8835753,-0.70769906,-1.7265059,-0.5590043,-1.1625135,0.94316196,-0.9794722,1.1625836,-0.356052,-0.33021826,1.4925574,1.24757,0.093678236,-2.0063698,-0.6085183,JE-TMA-43
JE-TMA-43_scene08_cell6779,2.6187093,-1.3389302,-0.52386135,0.004587403,-0.6160769,-0.98556507,-0.9749564,-0.61916333,0.5575346,-1.5664552,-0.28745714,0.021831278,-1.7265059,-0.23790981,-1.335037,2.6623669,-0.62581164,2.8173249,0.42744103,-0.6340684,0.801071,1.0766191,-0.023127794,-2.1415746,-0.32151097,JE-TMA-43
JE-TMA-43_scene08_cell8716,2.8656204,-1.4040767,-0.40910473,0.03842377,-0.72034115,-0.40921053,-0.816717,-0.42208084,0.33721864,-0.27886716,0.7325195,-0.3830726,-1.7265059,-0.41813377,0.08637792,2.1891298,-0.8064013,2.5378687,0.65309274,-0.2311296,2.217119,-0.38569543,0.13759017,-0.12764622,-0.37674254,JE-TMA-43
JE-TMA-43_scene08_cell2318,1.4634054,-2.1957633,-0.554254,0.0008795175,-1.329143,-0.90553415,-1.0355319,-0.91914254,-0.4754101,-3.1019936,0.4272531,-0.9559853,-1.7265059,-0.66606665,-1.3897731,1.0352812,-0.55662256,1.2298234,0.11582508,0.7808638,0.7519787,1.6092205,0.05955863,-2.7581642,-0.54961985,JE-TMA-43
JE-TMA-43_scene08_cell4412,2.3585985,-1.4479939,-0.6068701,-0.10158516,-0.43084142,-0.8466934,-1.1040887,-1.0758599,0.66362894,-0.96725696,-0.84767497,-1.1394503,0.5444276,-0.46464017,-0.67851084,2.697029,-0.8725248,2.7616904,0.80364454,-0.4981498,0.9468153,1.4913511,0.26459575,-0.7130573,-0.53796786,JE-TMA-43
