"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00668981481481482,0.986805555555556,0
"2.5%",0.00416666666666667,0.979166666666667,0
"50%",0.00694444444444444,0.986805555555556,0
"97.5%",0.00950231481481481,0.991666666666667,0
