"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0587824074074074,0.998708333333333,0
"2.5%",0.0469791666666667,0.995833333333333,0
"50%",0.0587962962962963,0.998611111111111,0
"97.5%",0.0694444444444444,1,0
