"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.064837962962963,0.991736111111111,0
"2.5%",0.0574074074074074,0.985381944444444,0
"50%",0.0643518518518519,0.991666666666667,0
"97.5%",0.0761689814814815,0.9965625,0
