"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0105972222222222,0.997041666666667,0
"2.5%",0.00740740740740741,0.994444444444444,0
"50%",0.0101851851851852,0.997222222222222,0
"97.5%",0.0141319444444444,1,0
