"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00969907407407407,0.990333333333333,0
"2.5%",0.00601851851851852,0.983333333333333,0
"50%",0.00972222222222222,0.990277777777778,0
"97.5%",0.0138888888888889,0.9965625,0
