"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.02675,0.950263888888889,0
"2.5%",0.0208333333333333,0.935381944444444,0
"50%",0.0268518518518518,0.951388888888889,0
"97.5%",0.032650462962963,0.964618055555555,0
