"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0656157407407407,0.994694444444444,0
"2.5%",0.0576273148148148,0.989548611111111,0
"50%",0.0662037037037037,0.994444444444444,0
"97.5%",0.0736111111111111,0.998611111111111,0
