,CD44_Ring,CD45_Ring,CD4_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene059_cell01563,-0.12972452,0.09548783,0.08944034,0.06208142,0.33319664,2.8440535,0.276477,-0.13764036,1.2375425,1.3528165,1.8151869,0.08043215,-0.13226819,-0.07490824,0.070265435,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03413,-0.15109654,0.096017,0.21883313,-0.17286584,-0.16519678,-0.7362116,-0.16073021,-0.26702186,-0.43601936,-0.30511427,-0.3955187,-0.070783705,-0.08716822,-0.27619714,0.032272182,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00365,-0.01869763,0.028960828,0.2069829,-0.22403115,-0.21766615,-0.7281407,-0.12035039,-0.28293186,-0.3956068,-0.41753653,-0.41112974,-0.04184786,0.15777785,-0.14105015,-0.19212875,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03310,-0.075256124,-0.23499143,-0.25298658,-0.18907055,-0.10329342,-0.73182845,-0.14780149,-0.26321945,-0.42254677,-0.27624184,-0.41565222,-0.052300904,-0.07147366,-0.26229686,0.06692668,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02903,0.040453363,0.21170741,1.5922304,-0.02846501,-0.04160756,-0.7131167,-0.075170904,-0.2443954,-0.38810095,-0.19198643,-0.39295265,0.09149757,0.25948495,-0.17135338,-0.024663188,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00896,0.88818496,-0.024622794,-0.14131035,-0.19784474,-0.084653676,-0.71745855,-0.06800136,-0.29694554,-0.37540072,-0.38986635,-0.37410775,-0.013481113,0.419442,0.09466876,-0.33643612,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02871,0.06950508,1.5698522,1.6464835,-0.1162099,-0.25383353,-0.71071416,-0.13321146,-0.24696857,-0.42698866,-0.32299557,-0.44589958,-0.02520034,-0.3374488,-0.30373603,-0.26290148,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01056,-0.11720975,0.17404228,0.03431784,-0.23580426,-0.11407226,-0.7322848,-0.07511392,-0.2874749,-0.37479794,-0.36528867,-0.42282742,0.014521924,0.09402013,0.37692773,-0.25522056,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02987,0.32569122,-0.055496868,0.20553903,-0.060324527,-0.1000607,-0.7181499,-0.14143696,-0.25959495,-0.3786621,-0.28269398,-0.40787226,0.032844152,0.14465445,0.08775647,0.08169826,BM-Her2N75-15
BM-Her2N75-15_scene059_cell05383,-0.27352148,0.07662922,0.1335908,0.050471686,0.3212874,2.0087829,0.40592405,-0.118949145,1.915541,1.599048,-0.24724965,0.14847931,-0.08791304,-0.1800255,0.13304916,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04019,-0.050500106,0.112497985,0.15381794,0.023879968,0.6789453,1.312478,1.0671353,-0.1571722,0.9245182,1.6072212,1.9604765,0.005736139,-0.16827905,-0.13429092,-0.017680384,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01701,1.6846325,2.503451,1.796095,-0.050917186,0.063381076,-0.702291,0.008249609,-0.26192906,-0.37165102,-0.370452,-0.3744507,0.048886266,0.46014172,-0.024746703,-0.18806311,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04147,0.06841777,-0.15206236,-0.22521375,-0.25682938,-0.16982108,-0.7222135,-0.12478909,-0.26589277,-0.37668502,-0.2009608,-0.40849003,-0.06626877,-0.14459491,-0.27022976,-0.17267314,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01809,-0.16895397,0.09894347,0.07575261,0.06925508,0.3682257,2.4117188,0.30044523,-0.1487625,1.6119281,1.3763427,-0.1838653,0.050499167,-0.08145362,-0.058489908,0.085445665,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04056,0.19896035,-0.21479952,-0.22362281,-0.26134372,-0.16233802,-0.7445068,-0.16379592,-0.2544949,-0.31325248,-0.2876316,-0.4154052,-0.12777981,-0.017740486,-0.113382384,0.03714063,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01589,1.0142707,0.22247976,-0.13891192,-0.062488355,0.06179732,-0.71713614,-0.065124005,-0.27639556,-0.41455248,-0.317072,-0.3922951,-0.03533796,-0.16128802,0.0055088527,-0.19023469,BM-Her2N75-15
