"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0280787037037037,0.996972222222222,0
"2.5%",0.0217592592592593,0.992326388888889,0
"50%",0.0282407407407407,0.997222222222222,0
"97.5%",0.0342592592592593,1,0
