,CD20_perinuc5,CD3_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CK14_cytoplasm,CK19_cytoplasm,Ecad_cytoplasm,ER_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene01_cell1608,0.12564368145222168,0.27010949936743694,0.6663567321709106,2.1771745127015603,1.00492799028744,1.6537403345485295,0.1344671835126214,0.9884814293683609,0.12343416929570529,0.7126564582427225,0.4101878703518276,0.08619755963269059,0.049841773665585634,JE-TMA-41
JE-TMA-41_scene01_cell204,0.6145856266556075,0.30861152528372765,0.23388135098979068,0.3302062164334499,0.4898293647878698,0.428432417758381,0.19914691212216118,0.2686827984950269,0.39076522788163726,0.6017223951204861,0.11807529315698195,0.2839041376104941,0.5158512602704197,JE-TMA-41
JE-TMA-41_scene01_cell2297,0.028163192741314062,0.4460239805077837,0.1856411687373555,0.5220952532401141,0.5403856507571013,0.02995825838933441,0.05685655345938883,0.0773644325097269,0.054530048611572304,0.42250195352350084,0.12068210797456004,0.06169157511950993,0.007133669358662886,JE-TMA-41
JE-TMA-41_scene01_cell1231,1.0971686398089187,0.41430518475497513,0.5481092536549141,0.7824628524172467,0.6524876151133395,0.11650949255262356,0.08984409644314403,0.5095529525098007,0.05273123872266169,0.12498997690059789,0.1727936726438018,0.10548932284735173,0.07292136548543895,JE-TMA-41
JE-TMA-41_scene01_cell3042,0.08390062298441746,0.6918937333304207,2.6149707826156394,0.3761077902091596,0.5555717898038172,0.1722490862847333,0.09541215815512402,0.3734992888993947,0.04970443622415793,0.26864114251783816,0.9961619944668545,0.07748658113994476,0.11656546246949538,JE-TMA-41
JE-TMA-41_scene01_cell3099,0.5471305338925471,0.1840754636413126,0.2659213612794309,1.1686937705664406,0.8201132373637394,0.3889810580834281,0.11267603679380384,0.40430950398128035,0.055830284452765534,0.1710801361556113,0.23299312332199815,0.1330643168365804,0.15077548114924505,JE-TMA-41
JE-TMA-41_scene01_cell127,0.6519841852130247,0.29370981600239787,0.3341270942861645,0.48016325265183385,0.4199428061059635,0.33166665130083806,0.10343791457591457,0.21396279327854828,0.28526718716413124,0.529033183139622,0.19429643774371516,0.14589046930700822,0.10513919850239699,JE-TMA-41
JE-TMA-41_scene01_cell2985,0.21529382902305375,0.8420085520049573,0.795484703726344,0.40881039011062303,0.7392158953238269,0.43946510320945203,0.25356893389162954,0.15856831645779237,0.021555072485679967,0.2743252846369285,0.1902289733682614,0.06584422550773748,0.06869636566779655,JE-TMA-41
JE-TMA-41_scene01_cell1592,1.1684709477524473,0.23799065363488414,0.11632715786834164,0.1142744694744601,0.7453092803418259,0.10947878073048281,0.09784872756780849,0.24982363566595353,0.038121142492496395,0.42647305899684734,0.18420232156954797,1.1619106531464836,0.0852050753956889,JE-TMA-41
JE-TMA-41_scene01_cell2304,0.08012414293767983,1.1508154617158388,2.2706643440797487,0.6963162983604888,0.8824031665487081,0.41391387587105904,0.09376885066035959,0.35406218148532803,0.05501648929363456,0.6244777262157762,0.21180504899479277,0.09137746604694057,0.07906483539184697,JE-TMA-41
JE-TMA-41_scene01_cell3355,0.7473135698847316,0.18318222939183004,0.376869935410402,1.2764353118748246,0.7565656246901717,2.083058663048789,0.1680461089235401,0.49985797686827693,0.0858033837046586,0.21513681065459359,0.5383946456192722,0.1065472819151559,0.1393527302289177,JE-TMA-41
JE-TMA-41_scene01_cell1292,0.714997339536421,1.2026221922752107,1.5031919164889533,0.9581690164419174,0.9301816359192902,0.1758023940071129,0.100506054148502,0.39471886400455813,0.04774131502579425,0.2428402047672626,0.13969739909683696,0.15133747479010573,0.15363774660995638,JE-TMA-41
JE-TMA-41_scene01_cell1784,0.05287161657438688,1.3988264231986633,1.805443991598761,0.9012736365802232,0.8622230299321527,0.1806843597275901,0.09398886781754119,0.3164095745772388,0.036787663274058836,0.3263275646756316,0.16766768315010933,0.03304400277534258,0.029812349558591168,JE-TMA-41
JE-TMA-41_scene01_cell2440,0.08811216131770683,0.5104808007406286,0.6258313490608478,0.1427702248724733,0.26378964930094567,0.045354693694516224,0.10683539785186638,0.07693608771249515,0.012534990409428196,0.47298617136958865,0.07320414827246424,0.06527087562194878,0.1465839915552432,JE-TMA-41
JE-TMA-41_scene01_cell2353,0.05120199071941206,2.1357574926150793,1.4501197990927162,0.7022733138258641,1.1485342764118547,0.15752012295733103,0.10000917084569323,0.2283646704057523,0.03574999567207585,0.5993672166968447,0.208287503165321,0.11012760202377304,0.1439269574436267,JE-TMA-41
JE-TMA-41_scene01_cell2415,0.5838923525028037,0.878885734628831,1.1048025917243398,0.6553685870348744,0.893347044394422,0.2635283244931707,0.0940296501541205,0.30017812370181196,0.07274429809443854,0.6491898780140531,0.23707640604032854,0.10366265964008704,0.10396659239524109,JE-TMA-41
JE-TMA-41_scene01_cell3112,0.8929140023202985,0.19772812318698554,0.5196976873862531,0.7878958751621472,0.7571087647552877,0.9894046889831352,0.10970668608134365,0.5065584299919796,0.06757557814933973,0.10374408950050482,0.14052369709481555,0.031723987502035866,0.041889190401207116,JE-TMA-41
JE-TMA-41_scene01_cell512,0.5702792250541682,0.2685536198973795,0.22132639763831172,0.4383257377296535,0.44109128442096596,0.14589646020648175,0.09475263735137154,0.1371397222021077,0.07463059148600758,0.331043503154474,0.1617255092540304,0.17558316454000467,0.05669283860950257,JE-TMA-41
JE-TMA-41_scene01_cell84,1.1987714202973463,0.2866281152006756,0.3730928516503024,0.11062691673117664,0.6038005911762532,0.09172054464222763,0.08303641046426083,0.6286283366303972,0.15400154886792275,0.15896990719185042,0.12295863109520556,0.40911725429061496,0.45336292402068196,JE-TMA-41
JE-TMA-41_scene01_cell2548,0.019029634040308538,0.1551876719198962,0.0975128604463297,0.06498222062579648,0.017634424287009908,0.023444153689138502,0.09009095842937208,0.2882450334034111,0.0025372522515467602,0.5249418034932605,0.12636648627849636,0.03199388659706378,0.10041038572602878,JE-TMA-41
JE-TMA-41_scene01_cell1800,0.34689766869208355,0.42711115939242306,0.2067113300375792,0.31590405032163726,0.4231017280691106,0.10580781669314977,0.12032009275325595,0.15173805902904036,0.03523732256472724,0.4272104373045613,0.3472808826956557,0.14698361484229377,0.10597182952238413,JE-TMA-41
