,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-43_scene11_cell257,20.788683,0.36413655,0.76015246,1.0671302,0.750713,0.3837189,0.6482145,1.0489286,0.6117506,0.0,0.64090866,0.19611561,0.0,0.77731633,1.0208613,3.071363,0.94601196,4.6313424,0.5366048,0.5293173,0.5575992,1.6345123,1.2658298,1.0244973,JE-TMA-43
JE-TMA-43_scene11_cell705,9.640192,0.21719146,0.70477253,1.0073555,1.9031644,0.4918059,0.6242908,0.9565101,0.27948576,0.013896544,0.3578948,0.43861613,0.0,0.7159267,0.8430309,0.9327153,0.86494434,1.8754869,0.49647543,0.413424,4.3989496,1.5129266,2.4964833,1.1049466,JE-TMA-43
JE-TMA-43_scene11_cell2438,8.264678,0.35037753,0.7160517,1.1529527,0.7744001,0.59127164,0.7262984,0.9818616,0.30304882,0.037499297,1.9117917,0.39332795,0.0,0.8137534,1.0594057,1.5026022,0.71920097,3.8313522,0.61419255,0.5468947,7.738022,1.7296937,4.199969,1.2980427,JE-TMA-43
JE-TMA-43_scene11_cell2078,9.581009,0.39664322,0.74241656,1.0275413,1.1057278,0.47141266,0.65317446,1.0323119,0.56420463,0.01156476,0.9187515,0.16817491,0.0,0.78878397,1.454295,2.8365023,0.6817856,4.5829144,0.528081,0.6802626,4.949856,1.8685507,3.2568824,0.99896723,JE-TMA-43
JE-TMA-43_scene11_cell2026,10.1529045,0.6950369,0.74514633,1.0194229,0.7476263,0.6017119,0.66815954,1.0103251,0.8221047,0.03975551,0.74089295,0.9576243,0.0,0.7976288,1.5437931,6.3977795,0.7532909,9.747744,0.55128664,0.6118614,5.092895,1.6018376,1.9276139,1.0643021,JE-TMA-43
JE-TMA-43_scene11_cell1205,6.968441,0.4522076,0.7265816,1.0138835,1.486348,0.6897445,0.65854573,1.0398701,0.95281655,0.21047035,0.78942704,0.98143524,0.0,0.8586252,1.0416263,2.7189,0.9707175,5.619473,0.5259888,0.2943284,10.5817,1.9033958,7.4367294,1.0570651,JE-TMA-43
JE-TMA-43_scene11_cell234,4.3249874,0.5964651,0.7147172,1.005852,1.4070742,0.42648485,0.6290476,0.9344388,0.11283823,0.0,0.23629978,0.006858788,0.0,0.6985798,1.2110459,5.8769245,0.80649954,8.19899,0.505251,0.54605955,2.6290581,1.2952836,2.6010776,0.7716205,JE-TMA-43
JE-TMA-43_scene11_cell1421,11.262823,0.26772907,0.8082044,1.1103325,1.6014185,0.56126463,0.71842515,1.0765656,0.44134974,0.30489683,1.0041136,0.7894138,0.0,0.8412487,0.7478746,1.7901198,0.7217501,3.1838691,0.56781864,0.2721518,2.3675034,2.1088545,4.227619,1.4790707,JE-TMA-43
JE-TMA-43_scene11_cell1318,7.0656414,0.46973395,0.7102736,0.9969802,2.0712135,0.5743607,0.6232534,0.9788224,0.52127355,0.118974276,1.1162463,0.42918935,0.0,0.8068076,1.244946,2.4500663,0.69493484,4.687842,0.5195657,0.45831853,3.2420466,2.1975486,3.3869233,1.2879196,JE-TMA-43
JE-TMA-43_scene11_cell3,6.6031814,0.5045223,0.7698462,1.1042626,2.9829938,0.6366335,0.67516905,1.0470996,1.1518418,8.519386,1.6402302,0.1197555,0.0,0.74858797,1.4035745,1.9345778,0.9213953,3.2056396,0.5358278,0.40663975,2.301206,1.077018,1.6554811,0.85467815,JE-TMA-43
