,CK19_cytoplasm,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,ER_nuclei,batch
JE-TMA-41_scene01_cell2038,0.0034226942576234313,0.20889140068615747,0.33551128842474837,2.3543795117885593,1.0456644350414595,1.0089726849155058,2.0990034220213456,0.3782410594376429,1.0272413097524462,0.4870508725295472,0.9904967182438152,0.3041030608805476,0.00956547476834932,0.010751980770903611,0.1967463399226295,0.00031840004755952743,0.019560052646241707,0.049818877186742654,0.04588110870307385,0.013058085009577062,0.08108776894192972,0.044270766287437466,0.06713634545410896,0.09432266831063753,JE-TMA-41
JE-TMA-41_scene01_cell1897,0.0043392192444964795,0.19966786478388987,1.4334608832894473,1.8769922712126224,1.0809699931544448,13.885101951013112,1.558693284675678,0.24996653462914953,0.7086009900738973,0.18397008959458602,0.8874193037240555,0.8099643627757533,0.31994565379021805,1.2376169680389313,0.25720828760890196,0.004829414796657806,0.04667162726451143,0.04963367708656421,0.030711503655725232,0.015509696062455879,0.6886308755597373,0.11964114096537787,0.07330805542871098,0.11332022042309559,JE-TMA-41
JE-TMA-41_scene01_cell828,0.004100502426630709,0.18765669240100422,0.007263363856831268,15.184091726336888,0.7617460333081174,0.24214284560373805,0.5846990260362331,0.09421276279536993,0.9957964827242001,0.07153198262835857,0.8978618995978637,0.8352678154114392,0.11948709299493056,0.00017488582906479523,0.19506633788124264,0.0,0.06839519928714617,0.04121650216716658,0.05221632297174296,0.5636458952178263,0.061717365536547046,0.4717539720027506,0.05426800133488908,0.06203258600853936,JE-TMA-41
JE-TMA-41_scene01_cell2480,0.0048307819617957005,0.2379186297457521,0.5989743003155951,1.0779968372167514,4.372387706614789,0.7143139321856189,7.817089104968927,0.3376785647627498,1.275928951440055,0.18089800656157665,0.9092476018373372,0.6393801257622078,0.5083042966602179,0.15870982655294544,0.2557509232608332,0.011630041116916486,0.054334407438317744,0.055482159900549284,0.024748834022867636,0.006812214040906754,0.06608459739587055,0.03746713130835144,0.10480938771985053,0.12494835614300731,JE-TMA-41
JE-TMA-41_scene01_cell589,0.014156631562935031,0.25315159943507837,0.2604923527290268,9.075200301703166,0.6462176441056707,0.7461963365541879,0.7103515151205659,0.2793761198661203,1.0246233985412616,0.4360381142551713,0.8806728949407654,0.4572250748391527,0.2233595608210417,0.0020545736037535602,0.19302355988501016,0.0010506673064783077,0.048200397699458365,0.04774980035093002,0.08491033913786326,0.004791188131971697,0.07598895695166506,0.0980296703520609,0.10961479908997973,0.028781453715331248,JE-TMA-41
JE-TMA-41_scene01_cell815,0.020201001515358197,0.25243428191724904,0.2921557509467182,9.07419577503837,0.5748647964138447,0.7186333286867264,0.513625514796616,0.37843539185354597,1.2050831790160423,0.27604797819438326,1.0668752361685034,0.34131307092405955,0.5797641126339564,0.014081632940546996,0.19538652054986358,0.002725695844843242,0.0729793881243024,0.05428587221807939,0.08181576763698942,0.00475239393624626,0.10387264029533577,0.07479732929191805,0.07869083094357886,0.056286441213810406,JE-TMA-41
JE-TMA-41_scene01_cell2533,0.005836434061368027,0.21738175075793753,1.8925374533448462,1.0603510129994467,3.656044276149256,1.2737564405857138,4.877127295639586,0.49110867878806586,1.268895672480189,1.453156121065526,2.736633407242604,1.040080661850309,3.053254265703171,1.262518238776641,0.4244352850321759,0.1346406239544405,0.042551294531467616,0.10181828884049923,0.04764265130234809,0.20217803271120394,0.3600192900685364,0.23562366875724733,0.672875488364999,0.16197906548930618,JE-TMA-41
JE-TMA-41_scene01_cell2360,0.005812324514499071,0.22322175889894805,0.9019947486937883,1.8348874195391327,3.429803348939358,0.9533202951915646,5.755001844641728,0.39065980237126574,1.5275713842099519,0.25290454962925873,1.9706038965144888,0.16570802683960456,0.3004154435096563,0.18573560313603305,0.22110595854715845,0.0006813180348994143,0.009965541653056164,0.06266338407081788,0.025789265564481415,0.008541499290334013,0.11190851320036764,0.05671936842703776,0.0808206150427632,0.1188278080258401,JE-TMA-41
JE-TMA-41_scene01_cell2849,0.0033385463003205657,0.040464412812424584,0.237910209123067,0.7534082478496026,1.589169914102747,0.29059403366772024,3.5670112650228605,0.18784662943754674,0.7847562392469768,0.0,0.0,0.29635851326260265,0.0,0.0,0.03385485801110324,0.0,0.00030418655960643114,0.01600423683956775,0.017731125687101376,0.00034017425568619054,0.08029842997719847,0.0,0.0,0.004295535971664345,JE-TMA-41
JE-TMA-41_scene01_cell2872,0.017824369656012935,0.18115315600356482,0.22125415049471142,4.027806904546891,0.6095222141174386,0.4379275714614015,0.7385536293577887,0.1808935686375859,0.9916945998328507,0.038794346746205945,0.711740675708892,0.45611081172180146,0.3716175490320731,0.0015036066338888513,0.13617577566740338,9.643656008686564e-05,0.002414937600752838,0.050302757840640235,0.016249656166194757,0.011218647158425023,0.05442930809330994,0.0029705379400735677,0.014919721774621263,0.015176283376028324,JE-TMA-41
JE-TMA-41_scene01_cell2346,0.005362388634830424,0.2144771180395173,0.4252441742966211,2.1164182087978065,1.3863579579417316,0.4086121237235183,3.1717923964365435,0.22156230016549033,0.9110867790757916,0.39299742143862154,0.7035431009286707,0.39010614289352596,0.04609501051597007,0.03522248681273633,0.20577626197711246,0.0009794890928556713,0.01030336618473161,0.06091197970653267,0.02705683668479778,0.020412064858315444,0.09891943059411638,0.053282104896381195,0.05847276424511329,0.14575512234511645,JE-TMA-41
JE-TMA-41_scene01_cell1921,0.0070791771405580356,0.19553616697529683,0.0698075282717689,8.654071826642795,0.987846043368484,0.34931878493061014,0.9986457177171211,0.08826755771736707,1.428146785646773,0.471459180225384,1.0055621869501203,0.6531702710317508,0.0405939356199158,0.00295723720835794,0.21141035503352143,0.0001880483502364994,0.5252198025624042,0.05375988521196911,0.04855060409526499,0.07534014719367198,0.14903778806729118,0.24349859208226363,0.04654803340857984,0.10515998861516976,JE-TMA-41
JE-TMA-41_scene01_cell3135,0.01010313365202101,0.28102835147172023,1.0411752903720415,2.025216149445847,1.3983452848911389,2.63509144514318,2.4509451964532065,0.5526120576405594,1.4374337491296179,0.8129892392527447,1.5805452179809454,1.0504579022614196,4.034047818331597,0.14723881729211685,0.22678746763559687,0.019991458305280114,0.03029262561376391,0.049793798006510154,0.058792178888438115,0.006186237393830762,0.1937343638228762,0.2213864293740021,0.14667241086956795,0.0868385675333737,JE-TMA-41
JE-TMA-41_scene01_cell2740,0.00583069568695245,0.2395102697245871,0.5499516614144211,7.0618292270040035,0.7490897447670855,0.5368861527526037,0.7244375915063985,0.2558614467007821,1.331943909039008,0.21718355030603212,0.7999062216240644,0.2529869811185833,1.2951509902806402,0.02966584251313818,0.18660906331896562,0.00024955253603873895,0.0076757537740714185,0.0659708899207825,0.02515733776594944,0.007618410723890432,0.090317305835898,0.035200672641360585,0.02871810583320958,0.0756114814684083,JE-TMA-41
JE-TMA-41_scene01_cell599,0.012294864921686709,0.24041062020725823,0.4425148535340618,9.854414761785817,0.7443882116023219,0.6097431767839218,1.0899338552429616,0.343706868130703,0.9903514256462657,0.42579199024938225,0.9148333095240543,0.6363919328595635,0.21649284308731828,0.006167173876140939,0.19993047046772877,0.00010178226740875398,0.03679025150674075,0.04391147628297797,0.13629452304451897,0.00575701889021306,0.07899637897512304,0.0994245606403394,0.06863355391858066,0.037256492025495656,JE-TMA-41
JE-TMA-41_scene01_cell2239,0.0035078161496172647,0.2140026682263482,0.5667913634729309,1.4466634586187752,2.4888470795497013,0.7870503425338833,6.001596073229295,0.3985563496469063,1.1829487603053983,2.4152001662997487,1.0566173269826602,0.5304622544542144,0.4983280520343674,0.1026509862278722,0.20840355911279201,0.0009181496511973974,0.02859038948071335,0.04511815639557194,0.029682152974387536,0.010317368802089843,0.07743748742098311,0.07271508138810878,0.08026843804581871,0.13786507545176893,JE-TMA-41
