"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.0399305555555556,0.944361111111111,0
"2.5%",0.0328472222222222,0.929826388888889,0
"50%",0.0400462962962963,0.944444444444444,0
"97.5%",0.0486342592592593,0.957673611111111,0
