,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell02228,0.5646691512294492,0.6039523552347299,0.683166424852047,0.6137383115627906,0.5718063140519243,0.19483943604535026,0.4316500283046007,0.09622591722564804,0.09593118130634024,0.3328763405713198,0.19226618437491386,0.8669590114262001,0.5751205131949853,0.7993146522104154,0.7099377942222206,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03706,0.4156688860492227,0.5073269213831789,0.5773799401386731,0.6118652072649047,0.5820985868795222,0.2251019265254109,0.4542110145297021,0.12276991859978899,0.11773875115607946,0.5219293343393057,0.1038144922732121,0.798031683222545,0.5050165364870588,0.7273314934405756,0.6814122918150574,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03189,0.5480854592770101,0.6400076751725653,0.9211428984022659,0.6516528241410426,0.5762870149693752,0.2180725367231623,0.45428084287427106,0.09904715559286717,0.15664567727980624,0.34468628517268646,0.10952520185202354,0.9551301752058611,0.6275811644709157,1.4256260092456536,0.7758602471511575,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01550,0.30595874836477754,0.5604721508730588,0.5580937695092159,0.5599661672439936,0.6179780590043806,0.7793660417583174,0.49755169765804724,0.6000520561004002,0.42796614546276673,1.9254817866154499,0.13086451672891217,0.80951787409736,0.39946483219862555,0.5336437730035023,0.4788035615942451,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00298,0.8782948801969074,0.8263813358117468,0.6077541391611355,0.6710220807123042,0.49130654299456383,0.2474678469713508,0.4209960054917783,0.1912152419185705,0.1583537483968624,0.4393705310150308,0.10020016585788755,0.8018702264762477,0.5278515489551955,0.4870220032460325,0.566117501142279,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03186,1.2771395064526094,0.6407724953182353,0.7366184835230281,1.236237640436199,0.6328794822188951,0.2567751692659954,0.476079078305774,0.11934331740641155,0.17066073382675773,0.7956325007365327,0.10058504135535032,0.7972739454181406,0.5425607970037694,0.5807387031066709,0.7496021549738077,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00531,0.3863968421047068,0.6188054160272735,0.7546011812460908,0.675439772412114,0.7749702363883412,0.6225336046007993,0.5037954396941273,0.4847354808565204,1.0045689034564649,1.7333111599774573,0.11814389720690072,0.8058211093903259,0.6056044653109295,0.7278764075896863,0.8751544642890494,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02085,0.37006190849977416,0.5741014900395646,0.617300254272193,0.5729262369721047,0.5650063430862402,0.8956824036978516,0.4712781853381862,1.3526928570472836,0.4290764293472144,0.7362650420256582,0.1137905167415464,0.7777168995481353,0.47862235610526505,0.6204706417237561,0.42927897817585625,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04842,0.34552788613511104,0.5608422083615276,0.6059588501460773,0.5419354420597198,0.5053906457713702,0.5175017796346864,0.41038009612833354,0.27733859609389055,0.92279678050494,0.953531676545236,0.06260935269757367,0.8271699448944841,0.48230362601413923,0.6315378436555302,0.5875344325082249,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03728,0.8082840705727398,0.5813537750136653,0.6519379962439473,0.7293885635021544,0.629127634365582,0.21374634752008698,0.472932040666002,0.10193166379313195,0.09432594628081707,0.3497707855024535,0.11608508445266912,0.8529924875529914,0.6795324457446356,0.6485522870720554,0.7676863952403027,BM-Her2N75-15
BM-Her2N75-15_scene017_cell00785,0.3032120101054863,0.6348609745008302,0.5845848230183311,0.5957698214918603,0.6133298266964091,0.8904024272947751,0.5261933793376221,0.7784610344226516,0.2272595593037967,1.9447166843767008,0.1097397239044997,0.8205397625925797,0.4121587285799127,0.5024804850137321,0.44913790445040236,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03214,0.5981421831792567,0.5130972352347465,0.605084883496495,0.7204495771369264,0.5770817392325217,0.1954257499740402,0.456564216516612,0.0925274066471756,0.06359754183235523,0.34310521635282887,0.09933516557769975,0.7669177626453146,0.8216287174436342,0.6400374538297201,0.546105431501723,BM-Her2N75-15
BM-Her2N75-15_scene017_cell01873,0.29756015555623505,0.5353949858355233,0.5552809960706553,0.5877488136958805,0.5444609954778533,1.0536976386415855,0.4658978104940975,0.5481077935034817,0.7582645895635843,0.9571984085953871,0.09471273830243104,0.7900452510080996,0.412548133929926,0.49143702441672765,0.46371167059182766,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07849,1.204364251333267,1.113220526813827,0.915669250320606,2.4037570073708903,0.5837993704481018,0.21712432963757272,0.4611249776953751,0.13829432652717974,0.06416722702013881,0.43758648339394146,0.07520034018642958,0.9781312453731545,0.6462108536628645,0.6377221728675537,0.617123158683362,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07857,0.6481829317839578,0.6964516103239611,0.817487114587888,2.1364754240970525,0.5373740802907856,0.2131002125541469,0.44868639229962215,0.09719233704104649,0.09023139568630814,0.35278351732695545,0.0762276449068117,0.8521565964792586,1.1039049577635835,1.105581636105037,0.6707870103780935,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03684,0.6133967396402827,0.6023709909159065,0.6451909770625784,0.6002244008382648,0.6014228075255352,0.5014003067864757,0.47717493962033597,0.26807105916930896,0.23666510066297794,1.1622956355626262,0.13448862829225933,0.810325079656047,0.5199108736974981,1.5080513767023684,0.6640012487107297,BM-Her2N75-15
BM-Her2N75-15_scene017_cell06342,1.1683718465513147,0.6411699020072813,0.9906794484221669,3.5437622640835755,0.7114555255827458,0.1884475064187315,0.44984728852808176,0.10113035805949488,0.0796767421613134,0.3119729784871422,0.09378998598940426,0.8300843103507638,0.8357835760909814,0.8754544967220417,0.8249867227832306,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02019,0.2943328610254961,0.5626664195157097,0.5609389607371877,0.5655425491787492,0.6101681549558892,1.6176148919104933,0.550534099785615,1.1627210067847569,0.6585906419781365,1.2949476182239876,0.11160453564019934,0.7902669197678655,0.3787684125343029,0.5005320366917244,0.4287028697087575,BM-Her2N75-15
