,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-62_scene01_cell1991,0.38220400310716923,1.8868510542483714,6.541744843041485,2.165522522898978,4.618441342908177,22.803123394932367,2.3971116901561023,48.62588417950396,3.4464365579178806,7.409405869963602,3.6164994716336243,261.62854272594114,57.60370036420292,1.077635733723904,0.056279910229695536,0.38484008675662973,0.07304893549769911,0.5294781560918362,0.5258794783566371,0.45321504856875133,0.7585854541045244,1.087910944870025,3.7320217121708246,1.2263544446803436,JE-TMA-62
JE-TMA-62_scene01_cell6473,0.30841367901010225,2.6614440236842882,1.548913880813715,2.979589467307334,1.610128842803229,44.991653282482964,1.9060076289691825,63.16660505654511,1.6591308140649237,3.7233673108340932,7.539574501748477,227.68258496602027,0.290505681560019,0.9910240599126824,0.0,0.38411234029084274,0.18003164820155942,0.37567282772939514,0.4854503444829259,0.3129556008866167,0.6494842363242702,0.8804159058798883,0.40287510972270646,1.268143106789776,JE-TMA-62
JE-TMA-62_scene01_cell6425,0.2716534437256276,5.905578790150164,1.8001828741485426,2.3582372996109187,1.973818702000073,27.690881921098512,1.384590471859082,38.833573213858024,1.2847445835681108,3.7061850732482946,9.032254499687136,221.08225235374167,1.6755601315931432,0.8897232580050309,0.0,0.3891208524642285,0.10568264980953554,0.31724937842697765,0.4798321008899695,0.1408401969492913,0.6065795908182594,0.9590181942994971,0.04437267297437135,1.2068129049588936,JE-TMA-62
JE-TMA-62_scene01_cell6016,0.3258166422451462,4.034346075714595,1.0666023807998688,2.5410661490588513,4.210442738694471,17.995456749659706,1.102638652688584,25.60888340765229,0.5250053853824433,2.7903341743306638,3.6097835389993014,42.19199942486928,0.6081673743640489,0.8619671981007001,0.04791215379266647,0.3788270850073602,0.3705456767949476,0.2052067951909417,0.4847609228817403,0.5189456784313652,0.6445832427828869,0.8649001949526646,0.07456951265501321,1.1093360741325102,JE-TMA-62
JE-TMA-62_scene01_cell4762,0.25851506122660317,2.2174666739980284,1.1148138358759787,2.424436916716493,3.849058997099995,18.957099136685798,2.0639033077337485,21.222921070841263,1.1925790092040272,6.29763638518717,2.548756626747066,90.42514554846282,18.742206689199207,0.8052388149655022,0.08761795117269618,0.36803450406267024,0.039730170059695834,0.31681676541923554,0.5182335486204629,0.2787332195404591,0.6576525452191884,1.2062892297267869,0.3676153389561532,1.1022769336276639,JE-TMA-62
JE-TMA-62_scene01_cell4117,0.24623644512141268,3.1868252494870273,1.6409498294080176,4.438048027499397,5.688801849762632,37.11865921681657,1.6806635305555522,51.09941173801123,1.7774179929366911,15.134924697321187,2.217009108710491,50.448666263065945,4.111750276464591,1.0453186897004976,0.020083611083559532,0.39554457708916296,0.07905875604991101,0.4244110274557494,0.5100610622049129,0.3005264123934299,0.6407436362540987,0.9403382615120386,0.12637939243861473,1.250247266957177,JE-TMA-62
JE-TMA-62_scene01_cell4909,0.2365115313017616,5.460358396858932,1.9489081226966973,4.199704078674139,6.319114014137576,35.29374613712497,1.807455731765,48.306528004653025,2.089519449542449,4.202378349886295,5.386434592705793,303.0415955478014,83.22712788219773,0.85398273132719,1.1067653230318915,0.39706605615833696,0.27400682621970085,0.5033151794788518,0.5566170544507246,0.1821414423697523,0.47326901534684135,1.7683189078429205,0.16455667468028082,0.9419771431899379,JE-TMA-62
JE-TMA-62_scene01_cell4825,0.18059937686958777,3.173760704656565,1.2484351370293925,3.2056728229704476,7.848115086638418,44.987312715749965,1.584493119165891,50.89288470328506,3.0590536539679496,10.878139632285423,3.4217406781360054,309.26157507504655,0.5777038980548385,0.895187340397628,0.86341721024314,0.3890492394314628,0.04662599389975929,0.5838098656743034,0.5370794707937648,0.09706342568581247,0.5816281842366,1.0932119077375047,0.00048146207266176267,1.0339855411409686,JE-TMA-62
JE-TMA-62_scene01_cell2074,0.3617762861367945,2.313760049021144,2.0914987866436676,2.925768346563812,9.0565603213429,19.56546467534525,1.7912647690785721,43.22998121459229,9.596249411609588,30.16211826311541,4.3577642884618415,26.429091574167007,6.6887715515425405,1.1012349426395824,0.0,0.3870753432405199,0.050167428219029836,0.4238877168254814,0.5169479123153337,0.33039716859343776,0.6694891497613309,0.9785060293376215,0.15871863481668952,1.2766219127136893,JE-TMA-62
JE-TMA-62_scene01_cell763,0.2912524584780035,1.9228134181403471,4.01901283419565,1.6925141112029132,3.708761505665579,14.242169399268061,1.2414548569338344,21.432195208138832,2.1485109170655785,4.605909155678876,2.2641051298358867,128.7973778844215,0.4031891788507727,1.1882138905413087,0.36191417324431374,0.37877521662891844,0.08900548835510286,0.4137104704920389,0.7707262021326157,0.31717712114038965,0.8110714742410835,0.9103001555896865,0.04444243496934109,1.3492596129829435,JE-TMA-62
JE-TMA-62_scene01_cell2582,0.35188833680944964,1.7315671730422526,3.50533161203291,3.877332590599535,6.443774760594028,33.239720124449505,1.77134894797305,49.315206104223726,4.650931091654909,5.2307538121316695,3.613758045832168,51.09074227130062,399.9541293066334,1.0585921973336967,0.03366678795683583,0.3854269864239818,0.15232328358539282,0.433681211285285,0.5078948629096515,0.3895433873197852,1.9752313758227815,1.0000976725176145,0.1257263233715784,1.2841683392592529,JE-TMA-62
JE-TMA-62_scene01_cell2895,0.325595895361866,1.7566842706169108,1.4706317127851978,4.505998671893154,9.272641293642863,48.69708383601816,1.819153288782705,55.183803088720964,3.4367091730104224,12.149402808661941,2.902808940777869,240.6050861751709,5.707054789194519,1.0721625253547884,0.03470069604889834,0.3755822261205603,0.09634355882360907,0.5150897363406399,0.4992126733216925,0.43252235834953107,0.8229636517536763,0.8907802165195945,0.20701906877948859,1.24054947122168,JE-TMA-62
