,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-62_scene07_cell3766,-0.95737743,0.5580124,5.9687557,-0.029148132,0.9486242,0.15378931,-0.16401248,1.1090033,0.30923307,0.06283404,3.4250476,0.30150393,-0.12553948,-0.10526678,-0.18707865,-0.45719984,-0.23513487,-0.8736762,-0.30121323,-0.4338256,-0.15859063,-0.25793907,-0.22417858,-0.094535306,JE-TMA-62
JE-TMA-62_scene07_cell229,-0.6530905,0.59811145,-0.6366609,-0.20075914,-0.3046824,-0.19728962,-0.13991605,-0.33651066,-0.21812318,-0.5415097,-0.47548065,-0.3150691,-0.18435971,1.2683841,-0.08035261,-0.4554817,1.6262673,-0.9073542,0.08242102,-0.29180512,-0.2445365,-0.039966553,1.6558977,0.25870565,JE-TMA-62
JE-TMA-62_scene07_cell4166,-0.9907703,4.272768,2.6830397,-0.10631487,0.64163655,-0.0038739757,-0.039624676,1.3520824,0.3431229,0.8644878,0.5557496,1.2608738,-0.14551513,-0.14195886,-0.17560264,-0.4625662,-0.23850174,-0.86296,-0.31070712,-0.52557373,-0.28928465,-0.021298556,-0.24146783,-0.2447656,JE-TMA-62
JE-TMA-62_scene07_cell84,-0.9728117,-0.17907593,-0.4977041,-0.16243133,0.07747797,-0.35338163,-0.30117115,-0.43721694,1.1679842,-0.45729426,-0.5624132,-0.3129242,-0.18435971,2.1297762,0.7738725,-0.45116657,0.44840252,-0.7278156,-0.11809303,-0.5138567,-0.14851747,-0.3338918,-0.73832697,0.8492668,JE-TMA-62
JE-TMA-62_scene07_cell3762,-0.9297613,-0.26384577,9.869403,0.017249376,0.06259147,0.8549085,-0.24013089,2.6623933,-0.10561427,0.74743265,8.418468,0.46494493,-0.18435971,-0.036551688,-0.18849567,-0.46198714,-0.23417756,-0.864806,-0.30477604,-0.3779678,0.6292896,-0.34928805,1.0769172,-0.18716736,JE-TMA-62
JE-TMA-62_scene07_cell2248,-0.9230477,1.8066775,4.4533005,-0.13495454,-0.011161412,-0.19740464,-0.08040623,0.6812671,-0.04518383,-0.13608243,-0.31454068,2.4789982,-0.1843269,-0.07515648,-0.13856125,-0.4609248,-0.21857351,-0.8866009,-0.30603927,-0.47463202,-0.29943046,-0.14670005,-0.6747435,-0.12171854,JE-TMA-62
JE-TMA-62_scene07_cell717,-0.8128035,0.53115815,2.703404,-0.12472573,-0.074573986,-0.20712182,-0.02533303,0.36143255,0.3730082,1.2313696,-0.13518687,0.04878825,-0.184201,2.9153755,1.2526186,-0.44818726,2.2866735,-0.85272753,0.34309527,-0.4593115,-0.29277906,-0.3229306,-0.59120977,-0.14020146,JE-TMA-62
JE-TMA-62_scene07_cell176,-0.52189535,0.116584726,0.10356801,-0.16430527,-0.08161851,0.22241941,0.022530632,0.08804738,0.9079699,-0.43582746,-0.2672098,0.13649842,-0.18131813,5.380531,2.4622097,-0.45627716,2.81067,-0.8476,0.027383434,-0.12351984,-0.21969843,0.162698,0.7870349,0.076237485,JE-TMA-62
JE-TMA-62_scene07_cell3105,-0.9219606,-0.13129392,5.4451113,-0.06502107,1.5791391,-0.06282067,-0.145389,1.3483123,0.17774321,0.32793337,1.2806153,0.16576722,-0.18416762,-0.011930618,-0.18777369,-0.45629933,-0.22723207,-0.84999,-0.29454204,-0.39980072,-0.20670992,-0.28693262,-0.23616573,-0.012863594,JE-TMA-62
JE-TMA-62_scene07_cell4001,-0.93572277,-0.15908739,5.6678376,0.08850625,-0.08842852,0.5542338,-0.23634495,3.1723485,-0.24889214,0.33033413,16.73987,0.48818716,-0.18331057,-0.087951034,-0.18263035,-0.46238294,-0.23611063,-0.8770482,-0.30825368,-0.44016153,0.9588205,-0.34955883,0.24815038,-0.06355251,JE-TMA-62
JE-TMA-62_scene07_cell1645,-0.8770252,-0.10002699,7.8676233,-0.10600832,0.24687979,-0.204377,0.0033546253,1.6153699,0.15311123,0.6470788,0.25539234,0.052719265,-0.18434046,0.1298866,0.09231588,-0.38803133,-0.06711895,-0.81766635,-0.24808148,-0.39752606,-0.2669089,-0.31785318,-0.6085087,-0.07283653,JE-TMA-62
JE-TMA-62_scene07_cell2695,-0.5122725,0.91857463,-0.6141729,-0.14544025,4.21588,-0.2769586,0.5654879,-0.027133297,0.17556144,-0.37746233,-0.08788706,0.21525916,-0.18427172,0.14327523,-0.18776919,-0.4597739,0.6459076,-0.8639626,-0.21486497,0.024070889,-0.2701475,-0.21914902,-0.3836734,0.18962131,JE-TMA-62
JE-TMA-62_scene07_cell2600,-0.88110006,-0.04829561,4.075717,-0.035087317,0.23074773,0.16260609,0.092813745,1.6852363,0.10248769,0.6976525,2.6370134,1.2895472,-0.18435971,-0.000187907,-0.18334799,-0.45729783,-0.21901724,-0.859635,-0.30400822,-0.45641422,-0.2903667,-0.32278123,-0.5439739,-0.03844281,JE-TMA-62
JE-TMA-62_scene07_cell1287,-0.8867152,0.014976091,6.9905195,-0.10313538,0.92098707,-0.07246181,0.13241418,1.036161,0.12927963,0.19707043,0.74664074,3.0653176,-0.18430586,2.0451887,1.4973004,-0.4061665,1.2211493,-0.85616815,-0.09952311,-0.42428645,-0.28097683,-0.30624184,-0.60340434,-0.105358675,JE-TMA-62
JE-TMA-62_scene07_cell80,-0.97917104,-0.18643305,-0.56965464,-0.15512297,0.034762356,-0.32221693,-0.29476264,-0.3669525,1.1816164,-0.3785977,-0.39770085,-0.30765748,-0.18435971,1.311479,0.3563808,-0.45455062,0.14585948,-0.78924435,-0.12379412,-0.52956235,-0.15198353,-0.33713964,-0.7382277,0.894075,JE-TMA-62
JE-TMA-62_scene07_cell539,-0.84477687,0.30335075,1.0120044,-0.16377288,9.974527,0.52070993,0.09254642,0.8770234,4.975048,-0.17454858,-0.11195429,-0.23124012,-0.18413264,0.12773797,0.0056693573,-0.2863692,-0.14091642,-0.41575837,0.115305915,-0.44200855,-0.25884438,-0.17518029,-0.5105465,0.16427873,JE-TMA-62
JE-TMA-62_scene07_cell3999,-0.9548067,-0.2521291,13.772123,-0.03622368,-0.09582909,0.74343973,-0.2536845,3.0310664,-0.19160007,0.5798357,7.055512,0.22894052,-0.18435971,-0.07469717,-0.18658987,-0.46190205,-0.23639478,-0.87082976,-0.30936044,-0.4144762,0.31135455,-0.34603584,-0.36587155,-0.060303647,JE-TMA-62
JE-TMA-62_scene07_cell2937,-0.8942131,-0.07719415,7.0325146,-0.09729925,-0.2174981,0.12056902,-0.25038582,0.6991654,-0.30261955,0.2787028,1.2024031,0.04472366,-0.17558789,-0.18138418,-0.1825784,-0.46171382,-0.21341588,-0.88999826,-0.3136955,-0.52621496,1.2367902,-0.3284206,-0.050277628,-0.07874693,JE-TMA-62
JE-TMA-62_scene07_cell4310,-0.91042256,6.235755,0.045226272,-0.16464406,1.8062433,-0.084487855,-0.14037676,0.13832228,0.7915208,-0.14219032,-0.43415174,0.89853466,-0.1839377,13.409326,2.1599596,-0.44184464,2.22871,-0.85862464,0.025386857,-0.52818173,-0.33029503,-0.1577957,-0.73177856,-0.20661767,JE-TMA-62
JE-TMA-62_scene07_cell1663,-0.48454598,-0.005255603,0.09788554,0.11205575,0.46799818,2.3080294,0.34480348,1.2149041,1.3734045,-0.22083782,1.4096423,4.8556695,-0.1839543,2.180374,3.0262387,-0.41543043,8.224934,-0.8565836,0.5620642,0.08680406,-0.26432618,-0.3214911,-0.41938573,0.073080465,JE-TMA-62
JE-TMA-62_scene07_cell2819,-0.90629137,-0.09629639,5.0100746,-0.12766734,0.39103386,-0.25945872,0.019537764,2.2452734,0.124094196,0.6576242,0.18470101,1.9406891,-0.18334669,-0.0026200148,-0.1891159,-0.4608423,-0.21318878,-0.8592672,-0.31033328,-0.45517814,-0.28429678,-0.34719616,-0.58561593,-0.04511251,JE-TMA-62
JE-TMA-62_scene07_cell2082,-0.6279681,-0.15946802,2.696062,-0.15599814,0.8290835,-0.19016577,0.017003851,1.821822,1.1348184,-0.029028403,-0.13254984,0.3338277,-0.17663509,-0.0030353996,-0.070018105,-0.46202073,3.9632194,-0.8553554,0.36191335,0.0009270602,-0.28701755,-0.3349268,-0.6266277,-0.053410728,JE-TMA-62
JE-TMA-62_scene07_cell640,-0.78207445,-0.17092645,0.121634655,-0.13160738,0.044552896,-0.11187184,-0.09806107,-0.22413437,0.5561343,0.046644107,0.20814525,0.0058215274,-0.1836211,2.4022734,2.3627012,-0.2241302,1.780198,-0.726212,0.2053807,0.18881175,-0.24132985,0.21111956,0.2466642,0.081339404,JE-TMA-62
JE-TMA-62_scene07_cell3030,-0.9193375,0.32310975,3.2533507,-0.12848929,2.3879035,-0.20386182,-0.042286023,1.5597459,0.17158271,0.45856744,0.24175553,5.129536,-0.1841217,0.002570298,-0.18856476,-0.46041253,-0.22322798,-0.84620816,-0.30670607,-0.45428878,-0.28228647,-0.2736732,-0.572522,-0.0014054952,JE-TMA-62
JE-TMA-62_scene07_cell2875,-0.903869,-0.094002716,3.4670286,0.044258147,0.29653177,0.64412206,0.009270744,2.467873,0.5652433,0.037649766,5.23732,3.1156127,-0.18433027,-0.009618852,-0.18769649,-0.4616593,-0.22556938,-0.84436095,-0.30562153,-0.44713902,-0.27001572,-0.34755254,-0.51806337,0.038265567,JE-TMA-62
JE-TMA-62_scene07_cell1823,-0.84250736,-0.15864608,3.5431118,-0.07193342,0.04655901,0.38140288,0.07726933,0.89949685,0.28985614,0.05521585,-0.12839569,3.8506756,-0.18370011,4.2308297,2.0736659,-0.38340613,2.2457614,-0.85143316,0.13067175,-0.3830745,-0.27642623,-0.22195211,-0.42968845,-0.025408225,JE-TMA-62
JE-TMA-62_scene07_cell1229,-0.829799,-0.19260392,3.6669383,-0.055051416,-0.026394362,0.6304423,0.14709558,1.1422473,0.48936015,0.11920752,0.04376863,4.6566124,-0.18393071,1.3661109,2.1403158,-0.43128285,1.6490973,-0.8437658,0.03791292,-0.41804785,0.24021539,-0.24310109,-0.115989186,-0.041443724,JE-TMA-62
JE-TMA-62_scene07_cell1638,-0.45416233,0.08242089,1.886581,-0.09572145,-0.021111364,0.224107,0.22227933,0.45330948,0.44477338,-0.17256455,-0.09475364,1.3325275,-0.18274355,2.419788,2.7116816,-0.43385875,7.9250216,-0.8554739,0.4211814,0.15421489,-0.22089733,-0.26802573,-0.2981856,0.01110999,JE-TMA-62
JE-TMA-62_scene07_cell2283,-0.8837838,-0.13037786,5.5390153,-0.13028494,0.5157201,-0.2511887,0.10736294,2.2932584,0.1019463,0.5794341,0.3186324,4.335046,-0.1843568,-0.0075435373,-0.13989566,-0.46107188,-0.20835873,-0.85425854,-0.30488074,-0.44596472,-0.27517867,-0.34651205,-0.59677905,0.009069842,JE-TMA-62
JE-TMA-62_scene07_cell1392,-0.14693283,-0.27673578,0.15838093,-0.15006378,-0.17660841,-0.30497003,-0.0610051,-0.26275486,0.26279736,-0.09921144,-0.32915676,0.08438209,-0.16488923,2.086513,3.6110115,-0.40880457,13.4647255,-0.8423898,1.4948865,0.40787736,-0.20179127,-0.027669577,1.2508477,0.08154194,JE-TMA-62
JE-TMA-62_scene07_cell142,-0.93405086,1.2147137,3.5724568,0.023713917,0.05154008,0.2225928,-0.0978639,0.9097896,0.16239078,0.24352325,2.5240953,6.2625628,-0.18401058,-0.020582352,-0.09856647,-0.45744726,-0.21462771,-0.8580598,-0.29947317,-0.4771721,-0.25268322,-0.33626077,-0.5926229,-0.11825617,JE-TMA-62
JE-TMA-62_scene07_cell2236,-0.8474527,-0.10031866,4.5015388,-0.033282965,0.3796918,0.30981734,0.15732469,1.6527094,0.040795393,0.48697835,4.8933296,0.6949351,-0.18432346,-0.036553834,-0.13807294,-0.46189186,-0.19609194,-0.8673238,-0.30617023,-0.43601796,-0.2709201,-0.34008318,-0.59601986,-0.0027265726,JE-TMA-62
JE-TMA-62_scene07_cell164,-0.9225421,1.1600609,2.7630005,-0.12214771,0.19266501,-0.0688712,-0.13263632,0.7071095,1.1311471,-0.06640367,-0.022416726,2.1461747,-0.18128292,3.7856307,1.0274839,-0.4471055,1.3160343,-0.86109596,0.02093135,-0.49175778,-0.2930046,-0.32348678,-0.6495675,-0.035827477,JE-TMA-62
JE-TMA-62_scene07_cell248,-0.8809134,0.41690636,1.7699697,-0.16919252,-0.07939788,-0.1970656,-0.11083613,0.07206767,0.66055554,-0.25698254,-0.20180543,-0.13382365,-0.18435971,3.8817654,1.0123563,-0.45686707,0.8476952,-0.85707664,-0.10205917,-0.44742283,-0.21806645,-0.28709784,-0.48740086,0.19309692,JE-TMA-62
JE-TMA-62_scene07_cell1309,-0.09484528,0.29805934,1.5115175,-0.1472741,3.094967,-0.16733313,-0.29404265,0.042646695,0.397704,0.24135067,-0.29682115,0.061086655,-0.17419352,0.36195424,1.2755384,-0.08554621,10.170678,-0.6061659,1.7628763,0.37912485,0.047484007,-0.29504803,-0.73832697,0.009310168,JE-TMA-62
JE-TMA-62_scene07_cell616,-0.88758254,1.7363535,-0.726129,-0.2033118,-0.302836,-0.12155321,-0.24854149,-0.42782402,-0.4580811,4.8895564,1.1657016,-0.31186962,-0.18381111,1.437101,0.3128812,-0.43685615,0.07264071,-0.8945171,-0.28717983,-0.4944189,-0.20999305,-0.020104853,1.1547481,0.59856814,JE-TMA-62
JE-TMA-62_scene07_cell153,-0.9280588,1.5052395,1.6036706,-0.10677603,0.014083062,-0.15958107,-0.16089536,0.35380387,0.63162965,-0.2153693,0.19224577,4.837139,-0.18027943,1.2023094,0.500191,-0.45083946,0.44917446,-0.84946287,-0.12189479,-0.47245815,-0.26365876,-0.29337856,-0.60489804,0.001486701,JE-TMA-62
JE-TMA-62_scene07_cell1722,-0.8569954,-0.18946835,1.606513,-0.15591022,1.0341169,-0.22731125,0.092353895,0.99589247,0.21337272,0.1401455,-0.20050557,5.505832,-0.18435971,1.5313455,1.7008023,-0.35397002,0.79077166,-0.84321505,-0.20589155,-0.39112535,-0.26109114,-0.23288676,-0.4573262,0.09693311,JE-TMA-62
JE-TMA-62_scene07_cell3843,-0.95181197,-0.21075705,12.970549,-0.10913673,0.06778798,-0.16114318,-0.19011174,2.9583929,-0.00250738,0.46449167,0.7115775,1.4299502,-0.1842102,-0.09387806,-0.18587874,-0.4620187,-0.23523468,-0.86730784,-0.282988,-0.47723064,0.43463543,-0.34572592,0.32810983,-0.10071249,JE-TMA-62
JE-TMA-62_scene07_cell516,-0.86875916,0.47796774,4.9906993,-0.14969125,1.0708987,-0.14590168,-0.15892689,0.5032227,0.29377353,0.07143392,1.6752957,-0.075092435,-0.18435971,0.08824083,0.16099572,-0.34926,-0.18962044,-0.78841645,-0.22584307,-0.46267116,0.08839541,-0.1643807,-0.5157688,0.2696934,JE-TMA-62
