,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene017_cell03397,0.5481360918006779,0.7724133921227961,1.055515156764815,0.49812003215578177,0.18396137043357264,0.4496676935372959,0.03275133643941458,0.39323685768175914,0.2647795404866645,0.3745458870690641,0.9254225990091711,0.33205586103337537,0.46250313982371855,0.5112337990409617,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04298,0.38887068986498086,0.5334324751214964,0.6467128550382792,0.6453467129357875,0.6232052859491023,0.5965042102634796,0.3516500643553367,3.5956389000974998,1.1334649993369177,0.4020391731661063,0.8583385622691736,0.42570789688075766,0.6410943028734417,0.5702913643269112,BM-Her2N75-15
BM-Her2N75-15_scene017_cell03468,1.0793397545148091,0.7521159377084856,1.2152314010275356,0.6921977966937786,0.264820894451373,0.5444447584265567,0.05073573359473349,0.6254430784647117,0.5437664614091265,0.39254990692541397,0.8575180274553904,0.6865683651644658,0.8120700571972912,0.7980971463775316,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04755,2.7894181464331407,1.422078070951764,0.8833897585623395,0.6154665342298625,0.2123393315485831,0.5154643325002375,0.04194166869869015,0.49352707071397517,0.29317920973482725,0.40889612149461596,1.18256940075262,0.6358281138527756,0.6382413976838025,0.7425080102968888,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04596,0.5514337474808476,0.5476277913240379,0.6603880179476846,0.6163051131030625,0.4513311919427133,0.5318602148404813,0.3076047651371401,1.1143321627609208,1.361891878019596,0.4076554867865306,0.8492112515472406,0.4492503201868914,0.6342094905319259,0.6182005030858276,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02520,0.40377861139935545,0.5860903585925303,0.5539247618969029,0.6328023465404904,0.4374295290672196,0.521417116894767,0.1287440135287794,2.85533662956217,1.2414613341008254,0.369154301325531,0.7761497778300609,0.4167682701535143,0.6186802234044357,0.48130135258034956,BM-Her2N75-15
BM-Her2N75-15_scene017_cell02893,0.37040555989000545,0.5501096637787489,0.701203712495851,0.6598691244100117,1.0614353502452754,0.5617764382602437,0.42725865686966746,2.912397530042468,1.3476271723621154,0.403543316395479,0.7744642014855712,0.3145356205404392,0.5653928906078949,0.5908075845726365,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04070,0.5273716109909623,0.58257638349766,0.9649520520987088,0.6741060057501552,0.7058458284494381,0.5669257217505412,0.4048127385056869,2.7899933411008053,1.1523351124577739,0.3992893987135131,0.824129339347552,0.5506341155481601,0.6554449189495419,0.8712795433679354,BM-Her2N75-15
BM-Her2N75-15_scene017_cell07224,0.3571234583887312,0.5801689822075391,0.578043941583666,0.6381740796827201,0.62122028789499,0.526394457804735,0.42182281739911437,4.415231316064178,1.3410286350906415,0.3609352261016856,0.7834235224629149,0.42540674137995294,0.580144539297471,0.5671052938886989,BM-Her2N75-15
BM-Her2N75-15_scene017_cell04820,0.6477134904668087,0.4711214845510237,0.5536411357676987,0.4886699200532529,0.19085973468492967,0.4858637559789029,0.03257957727036831,0.42839229944963997,0.29179650961425785,0.3573236296577235,0.7867759215797783,0.44231419347854845,0.6804715296776948,0.6883204623131483,BM-Her2N75-15
