,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-15_scene059_cell03041,-768.931,-675.2107,-682.17,-831.6137,-193.81854,-733.87,-189.66539,-1744.6013,-235.519,-1770.174,-1523.2283,-1610.1794,-1103.923,-406.5063,-1308.3328,-143.61165,-174.7972,-261.2653,-772.837,200.09738,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02918,-537.47546,309.4764,-618.4626,-734.658,-226.77924,-718.7301,-202.40263,-1709.2767,-237.52126,-1757.4431,-1536.3922,-1415.6144,-603.71796,-397.34476,-267.54245,-494.62494,-112.850044,-193.13162,2861.2952,-67.49088,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03550,1487.3263,494.8978,-169.6789,244.09111,291.93918,705.86,677.7877,-430.3213,813.675,-580.6255,-476.17337,876.2727,-664.02826,-275.18515,6014.267,1145.6172,380.30157,379.0095,2562.989,1276.0415,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04773,-1161.6671,-1097.6884,-324.71967,-453.99225,-239.70386,-640.8174,-136.87404,1452.6362,-173.00252,-1292.2992,-1410.103,128.81934,-1133.7709,-348.67935,-826.0125,-374.71527,-167.47188,-676.60693,-894.3575,-49.585487,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01890,-1083.1329,1465.9305,974.7658,1069.519,14.794223,-448.4619,-22.872393,-1631.141,-42.42732,-1715.6527,-1357.9938,-810.8762,-1012.0589,-313.3407,-888.5168,-385.96002,-33.038887,261.8773,13.097448,-218.53214,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03436,-721.5438,-221.22684,-50.90778,2.2866688,-176.5145,-632.9879,-161.016,-1716.554,-202.06386,-1746.3589,-1492.9591,-1541.5188,-963.7641,-377.3655,-1013.19293,-291.6302,-52.625557,371.73593,-709.72003,36.839806,BM-Her2N75-15
BM-Her2N75-15_scene059_cell04514,-177.58093,759.3331,-376.9582,-530.58856,-218.22232,-409.17017,-172.9388,-1682.4977,-180.49153,-1756.3275,-1468.4852,-1435.7086,-896.27386,-404.9083,-524.87836,-302.1646,-165.07295,756.27484,-698.68256,-158.49576,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03475,155.96643,2098.7625,-90.28497,80.09331,-156.9064,-169.45154,-20.549883,-1696.881,-110.37989,-1728.9468,-1447.8113,-1350.6368,-862.23834,-360.0321,1625.967,-310.22455,41.362724,4095.8188,4687.776,11.017418,BM-Her2N75-15
BM-Her2N75-15_scene059_cell03180,-1235.247,-387.7681,-697.10004,-854.0347,-312.58044,-995.75165,-273.79346,-1714.9,-231.55287,-1794.1776,-1552.7812,-1428.1232,-1017.1762,-415.2781,1078.602,-711.77386,-187.20515,-520.0636,-968.72833,-328.99332,BM-Her2N75-15
BM-Her2N75-15_scene059_cell02725,-891.9613,-7.634914,-553.665,-731.85614,-319.97006,-891.375,-336.34216,-1681.0559,-320.19574,-1781.8204,-1438.0283,-1583.6946,-849.28656,-437.71344,-734.52313,-420.4162,-165.67598,-576.8006,-945.4329,-208.14914,BM-Her2N75-15
BM-Her2N75-15_scene059_cell00050,13763.338,-680.9359,-83.260925,2700.0178,-119.71884,6816.1914,119.53081,4128.628,152.56804,4320.9473,-999.64197,4771.341,3539.0608,-310.818,5497.8525,359.83405,127.68377,-384.93338,-592.36017,83.90414,BM-Her2N75-15
BM-Her2N75-15_scene059_cell01025,-1876.0424,1391.0187,-520.8394,-785.4777,-245.53027,-1058.3849,-132.75002,-1689.653,-105.03358,-1734.6312,-1657.9258,-1094.8027,-1086.7263,-371.22137,1634.4739,-631.6829,-131.52852,-480.79813,1297.2919,-388.22507,BM-Her2N75-15
