,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene07_cell2395,0.45710945,0.1586205,3.512786,0.7812748,0.33140326,0.98006594,0.22224006,1.2100971,0.35319945,0.88519275,1.9865038,0.63230896,0.0074627274,0.080468945,5.8923415e-05,0.16253656,0.0048343283,0.014930062,0.081767246,0.0124234585,1.2950914,0.40051675,0.63711405,0.101619944,JE-TMA-41
JE-TMA-41_scene07_cell3272,0.37399662,0.76297426,1.1767521,0.87248033,0.22632815,0.85913026,0.63751525,0.8827469,0.10296013,0.70493835,0.38123503,3.6538417,0.09876039,0.38615948,0.00023649051,0.14448997,0.0069926875,0.012613705,0.07808071,0.01146223,0.03656905,0.38285837,0.17585161,0.07989462,JE-TMA-41
JE-TMA-41_scene07_cell188,0.53744787,0.16930203,0.33701128,0.6519023,0.49415147,0.7115929,0.18023671,0.6943259,1.2792716,0.8356489,0.14785698,0.18908368,0.020805322,2.0705745,0.8020545,0.4551826,3.6770415,0.028142495,0.695856,0.01661213,0.011111714,0.66153646,0.071239255,0.15430439,JE-TMA-41
JE-TMA-41_scene07_cell1437,0.8032409,1.1036566,0.39923283,0.66825885,1.2067914,0.39886925,0.4572712,0.72950065,0.64688677,1.340701,0.056132995,0.024690295,0.11897166,0.036323927,0.030843792,0.18925871,0.013367311,0.01179452,0.091397144,0.08568074,0.05031498,0.39698935,0.14473581,0.08913561,JE-TMA-41
JE-TMA-41_scene07_cell1227,0.40339985,0.5213709,0.99686986,0.6612123,0.26341045,0.33021668,0.09353206,0.59929526,1.23889,0.63061506,0.272447,0.032555413,0.04469823,0.09351759,0.120219834,0.16076127,0.014362419,0.01369488,0.10564966,0.019138481,0.026062133,0.3548748,0.06387202,0.060862083,JE-TMA-41
JE-TMA-41_scene07_cell1114,0.4550978,0.0032714729,0.32213774,0.63912225,0.17298838,0.24780178,0.1011104,0.5384579,0.9501266,0.7201636,0.034791484,0.03538401,0.0017878576,1.0577871,0.6192974,0.1834964,1.5838236,0.020460678,0.09588103,0.014718409,0.009618159,0.92345965,0.0011594846,0.01707561,JE-TMA-41
JE-TMA-41_scene07_cell757,0.4244738,0.108432814,2.286831,0.75415933,0.33976525,0.41911188,0.31542617,0.74700004,0.91113454,1.009718,1.0885265,0.25538117,0.004677062,3.5170126,0.5872369,0.16173522,1.4805665,0.019536648,0.5127592,0.027704349,0.05438562,0.38403833,0.13762659,0.1553651,JE-TMA-41
JE-TMA-41_scene07_cell2349,0.3615997,0.39799762,3.1983125,1.130718,0.22892828,2.722902,0.3458352,1.3982905,0.41568235,0.86255896,8.317322,1.1669923,0.04094405,0.09424562,0.00043506268,0.14360714,0.0057658385,0.016673762,0.08085217,0.0196553,0.72767,0.41776216,0.38808307,0.1555326,JE-TMA-41
JE-TMA-41_scene07_cell1384,0.5692164,0.5231278,0.69419694,0.64469534,0.24997632,0.33761898,0.1120105,0.6078553,1.2583203,1.3791679,0.23695892,0.4008432,0.09709004,0.15968701,1.322084,0.50009817,0.4430307,0.01696281,0.13242587,0.0050871717,0.0041965554,0.40492034,0.0066796425,0.01875007,JE-TMA-41
JE-TMA-41_scene07_cell508,0.47295442,0.19325066,0.9850353,0.6396164,0.36695686,0.3097051,0.22297071,0.716525,0.5395699,0.5862629,0.29474506,0.031006161,0.0038752854,1.2578787,0.2592373,0.16026916,0.64190924,0.014780336,0.16654062,0.030630494,0.0076696356,0.39116472,0.13891415,0.06658564,JE-TMA-41
JE-TMA-41_scene07_cell346,0.5179036,0.008578957,0.26944706,0.65558404,0.28027606,0.4074489,0.2636624,0.62988716,0.84444714,0.80677176,0.22265473,0.41816503,0.0022669581,4.648069,1.3800017,0.1614747,3.2260966,0.015045743,0.8237163,0.025135303,0.30827448,0.7475477,0.4334584,0.1080086,JE-TMA-41
JE-TMA-41_scene07_cell2487,0.42720172,0.22662674,4.4324927,1.2835559,0.3012587,3.125346,0.20210104,1.6439925,0.2704019,0.9006159,9.245477,0.30112568,0.0035072814,0.077648684,3.6143807e-05,0.16064629,0.0008029218,0.014616554,0.09136068,0.012800736,0.68979174,0.40768757,0.32521787,0.08868384,JE-TMA-41
JE-TMA-41_scene07_cell3399,0.3776571,1.3616573,1.7136487,0.8612326,0.31791738,1.146312,0.6294755,0.983963,0.26938844,0.915969,0.7150657,4.655065,0.47480115,0.5279339,0.00014040607,0.14685854,0.014079406,0.011921493,0.085631855,0.012702957,0.01465619,0.39209366,0.11372288,0.27048075,JE-TMA-41
JE-TMA-41_scene07_cell891,0.49925536,0.018419912,0.28036988,0.6296634,0.3779093,0.30640337,0.2383221,0.59708565,1.3435411,0.9064155,0.19266565,0.05777592,0.009754079,2.2177148,0.6673196,0.18830517,1.9737651,0.02062806,0.56644523,0.025929729,0.010121585,0.624724,0.1394414,0.2727326,JE-TMA-41
JE-TMA-41_scene07_cell115,0.4774305,0.3618464,0.43100196,0.82077056,0.39408654,1.2212726,0.3781856,0.7297471,0.6998841,0.72112334,0.28871724,0.76824963,0.0064746835,6.445235,1.6292644,0.17408079,4.188929,0.013061574,0.3858726,0.015640771,0.56568444,0.4319919,0.25359803,0.109585755,JE-TMA-41
JE-TMA-41_scene07_cell839,0.41906786,0.026395524,0.25604638,0.6786107,0.25612152,0.26140386,0.17362589,0.56488395,0.9157301,0.7208898,0.44400585,0.032372635,0.00060312223,2.0029929,0.68764925,0.14483288,2.1043658,0.017361261,0.48267502,0.0413499,0.01523225,0.5679291,0.15389758,0.16196884,JE-TMA-41
JE-TMA-41_scene07_cell512,0.47213235,0.015923405,0.25690678,0.7171068,0.1996096,0.38278753,0.33923432,0.61203575,0.7928357,0.82552135,0.5540758,0.38911363,0.0007495779,4.874459,1.3264081,0.14867769,3.4436529,0.016062638,0.74527586,0.034200758,0.09537878,0.5765809,0.22702977,0.14527257,JE-TMA-41
JE-TMA-41_scene07_cell145,0.5281611,0.3758387,0.29063126,1.1379594,0.3644884,3.1659844,0.38533965,0.76768965,0.9800708,0.94276744,1.2713616,0.29627585,0.009434961,3.044205,0.87500054,0.21631211,3.119586,0.013926075,0.5062275,0.014722545,0.072043195,0.47064102,0.2516638,0.086381406,JE-TMA-41
JE-TMA-41_scene07_cell3168,0.40134728,0.4993464,2.2558484,0.8016623,0.60424715,1.7516137,0.7524626,1.2846034,0.46798828,1.4043218,1.0165215,4.6715403,0.023338623,4.1175046,0.96937037,0.2568948,3.2630289,0.015472198,0.41684154,0.021014502,0.045308042,0.61025304,0.16439699,0.049405646,JE-TMA-41
