"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00651234567901235,0.738351851851852,0
"2.5%",0.0037037037037037,0.708194444444444,0
"50%",0.00617283950617284,0.738888888888889,0
"97.5%",0.0102006172839506,0.767638888888889,0
