,JE-TMA-41,JE-TMA-43,JE-TMA-62
HER2,554.465028837467,319.68491152621596,3143.0465849229304
Vim,2591.978646444696,2705.2695929824563,404.8161231195382
CD20,2199.4317424812,3663.28824044064,2012.1781866122628
CD3,1687.63225950783,1880.9960401257379,1106.002592632625
CD31,210.00221063469934,268.1662319255547,515.0568282828283
CD4,971.4675812976864,1338.4098541868073,586.480030325476
CD44,1481.2212699656673,2347.485960784314,1576.4429403906934
CD45,2673.104768417479,2130.550630539582,1589.2138088028082
CD68,377.9355997872618,586.9880218086428,782.5669484362666
CD8,902.4150500197678,322.62985350904864,787.1551459640469
PD1,469.50963912699865,409.37622541485916,341.69743667989013
PDPN,262.5445884477528,392.8121277126465,574.8415104166671
aSMA,616.165536486839,3308.523219618926,1650.5423743730257
CK14,423.22030228003337,575.317423775499,191.09104094171084
CK17,1677.3022892912904,477.7036483253595,1195.1686463809401
CK19,2307.679139676114,4541.744615865802,3120.0572878073262
CK5,922.566767677991,893.1770092679742,1653.9068972099858
CK7,1812.4544576410062,4057.4915594849517,3624.512422524277
Ecad,3679.2476298525316,5415.67656156675,6394.40740709316
ER,756.1924215462182,691.8787368394339,726.3773664411791
Ki67,12118.551658938619,2165.596653882589,2684.3486600392134
LamAC,2523.566802677521,2938.2115043961326,1671.3329540691993
PCNA,2911.5324416287317,1826.8404006077076,1814.9767441860465
pHH3,323.15807521490876,214.5990903291705,304.91377185092483
