,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-43_scene11_cell1186,7.248148,-2.2569878,-1.1721759,-0.16231689,-2.331475,-3.7161179,-0.7605774,-0.22019987,-1.7479606,-4.6555257,-1.5657939,-2.354831,-1390.977,-2.2240891,-1.5964046,-1.4378074,-2.016054,-0.14871646,-1.4447675,-1.4384954,-3.3432257,-0.06822146,0.38794813,-0.48674896,JE-TMA-43
JE-TMA-43_scene11_cell411,4.682487,-2.464967,-1.1363872,-0.1487368,-3.6955528,-3.8349156,-0.74689716,-0.2290136,-1.9408318,-4.764335,-1.9938618,-2.714205,-1390.977,-2.4081829,-2.0416393,-1.6454304,-2.0687995,-0.8316548,-1.426757,-1.439204,-3.4027789,-0.018183714,2.1235561,-0.8404365,JE-TMA-43
JE-TMA-43_scene11_cell481,7.6964245,-2.2980666,-1.1011797,-0.08614931,-3.1698213,-3.8099554,-0.69943607,-0.132075,-1.6804103,-4.7465973,-1.3241949,-2.2801566,-1390.977,-2.1959984,-1.6344368,-1.2674505,-1.9204394,0.0076687112,-1.4027116,-1.2866939,-1.7896687,0.054848544,2.1264782,-0.4800835,JE-TMA-43
JE-TMA-43_scene11_cell1878,7.6767845,-2.2433686,-1.1551203,-0.1530573,-2.9595082,-3.7665315,-0.74715924,-0.22550963,-1.3884372,-3.51197,-0.91763264,-2.04048,-1390.977,-2.2780352,-1.6674026,-1.5558628,-1.9835026,-0.38738874,-1.4453282,-0.8993825,-1.2805902,0.14729643,0.022309387,-0.14502932,JE-TMA-43
JE-TMA-43_scene11_cell895,5.9341125,-2.348398,-1.1519108,-0.14636895,-2.8301723,-3.9420717,-0.7693958,-0.2064759,-1.6020888,-4.723802,-1.8082069,-2.311726,-1390.977,-2.3437855,-1.6505624,-1.6986792,-1.9830053,-1.3841878,-1.4477447,-1.39074,-2.6576374,0.07096433,0.40038738,-0.5325227,JE-TMA-43
JE-TMA-43_scene11_cell184,8.278983,-2.3483894,-1.1617366,-0.14877471,-3.0670047,-4.0058107,-0.77209735,-0.27429175,-2.0049918,-4.764335,-1.8712707,-2.714205,-1390.977,-2.4203107,-1.5107332,-1.524071,-2.0765495,-0.44493082,-1.4511089,-0.8795689,-2.998069,-0.21385646,0.1519247,-0.6738808,JE-TMA-43
JE-TMA-43_scene11_cell2495,4.582014,-2.2129555,-1.1510018,-0.1530622,-3.080629,-3.842069,-0.76961684,-0.22720139,-1.9273877,-2.8230674,-1.5449133,-2.003832,-1390.977,-2.1945083,-1.7813548,-1.6807469,-2.1751049,-0.8753567,-1.4262275,-1.4091747,1.4022366,1.3030893,2.7768579,-0.06932118,JE-TMA-43
JE-TMA-43_scene11_cell1750,6.975359,-1.8778402,-1.1511331,-0.15755007,-2.790131,-3.7308776,-0.7506664,-0.25657135,-1.9715306,-4.7608566,-1.0880338,-2.283805,-1390.977,-2.3829339,-1.2852111,3.1555371,-2.1894574,5.7635913,-1.439867,-0.96165156,12.417892,-0.19734502,0.2282761,-0.6756893,JE-TMA-43
JE-TMA-43_scene11_cell1563,5.021186,-2.3024673,-1.1428933,-0.15357527,-2.9787776,-3.8968174,-0.7788898,-0.19933932,-1.6242,-4.726383,-0.9588477,-2.0998516,-1390.977,-2.359453,-1.7174709,-1.2247803,-2.168275,-0.10547783,-1.4444873,-1.14459,1.8699037,0.18592167,3.4712114,-0.4035032,JE-TMA-43
JE-TMA-43_scene11_cell1241,5.4853444,-1.7625756,-1.1598798,-0.1758059,-2.3510919,-3.9106638,-0.7811613,-0.2286862,-1.7020036,-4.738798,-1.5386957,-1.8911963,-1390.977,-2.2487624,-1.1516505,6.10481,-2.05348,8.2980795,-1.4379641,-1.2531215,-1.4744347,0.36757088,-1.1773798,-0.70661306,JE-TMA-43
