,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene05_cell3656,-1.0563723,-1.9217441,-0.4999732,-0.03535564,0.06496684,-0.11041492,-0.9574373,-0.0596612,0.4866147,-0.1232349,0.10171732,-1.3020821,-0.89962566,-0.5679664,-1.8162935,0.6394203,-0.627275,-0.9628613,1.7552053,-0.55520296,1.5827852,1.8563123,-0.07099531,2.1494389,0.60739785,JE-TMA-41
JE-TMA-41_scene05_cell2974,-1.1326114,-1.7806838,-0.29765692,0.05124848,-0.7876161,-0.01638931,-1.0116513,0.054667186,0.41315746,0.15070996,0.17930207,-0.06799319,0.71710217,-0.49635258,-1.3793635,-0.2823899,-0.13099001,-1.2988665,1.5289861,0.16267826,3.765325,1.4098516,0.69832134,2.849949,0.42212185,JE-TMA-41
JE-TMA-41_scene05_cell2981,-1.2044874,-1.719744,-0.5108708,-0.042302202,0.14045589,-0.13641495,-0.38755682,-0.09443025,0.4526863,-0.1944429,0.04526314,0.5931449,-0.43367088,-0.5669207,-0.887882,0.6313884,0.08157922,-0.88417363,1.7945224,-0.29410124,1.7949806,3.2892814,0.25066474,3.0223618,1.303624,JE-TMA-41
JE-TMA-41_scene05_cell2230,-1.04242,-1.5042489,-0.44619074,-0.02201183,0.3817603,-0.17350525,-0.69999146,0.003945064,0.7624726,-0.093793064,0.35691723,-2.086999,-0.7661394,-0.7011475,-1.4050782,0.7731693,-0.10482596,-0.5009434,1.7572995,-0.09718465,2.6370645,0.5319782,0.6338692,2.8051996,0.41883025,JE-TMA-41
JE-TMA-41_scene05_cell4131,-0.999489,-1.2223194,-0.28545657,0.029222416,-1.0664781,0.26717716,-0.9120338,0.04497881,1.1088881,0.25832543,1.1828712,0.1145787,0.8038522,-0.24712077,-0.6759863,1.5197895,-0.18399905,0.008211875,2.2415428,0.18061496,3.6704125,1.739389,0.7150755,3.151637,0.75010854,JE-TMA-41
JE-TMA-41_scene05_cell152,-1.1353723,-1.9360931,-0.36408225,0.0018462413,-0.794813,-0.52617306,-1.4286807,-0.07703142,0.19201948,0.05454144,0.74893886,-0.9552307,-1.8192257,-0.49890414,-1.8980908,1.263562,-0.25503492,-1.2097647,2.6869164,0.26764727,3.5693192,2.5677543,0.5976963,2.735899,-0.29600444,JE-TMA-41
JE-TMA-41_scene05_cell3596,-1.0213014,-1.9028208,-0.46070853,-0.017840458,-0.0765837,0.24241406,-0.73058915,0.1464078,1.1169934,0.10683808,0.12988982,0.10095356,-1.7378587,-0.5941672,-0.4353781,1.4656045,0.042523872,-0.3186066,2.5380354,0.109879024,2.1460414,4.280356,0.38013938,2.4764538,0.3521379,JE-TMA-41
JE-TMA-41_scene05_cell2872,-1.0355836,-2.2234352,-0.41106692,-0.0345803,-0.77658063,-0.0029186606,-0.89658,-0.0302413,0.27885723,0.053959697,-0.43087116,-1.3809185,0.28439486,-0.4676403,-1.7542894,0.6670482,0.0016908767,-0.00020906913,2.6604528,-0.031202786,3.273087,1.2048697,0.5440283,2.8419485,0.41393885,JE-TMA-41
JE-TMA-41_scene05_cell3657,-1.1357194,-1.7515776,-0.50546634,-0.20992287,-0.4102276,-0.15589565,-1.7780783,-0.17766409,0.8748474,-0.40916744,-1.2435719,0.9900789,0.73626244,-0.6150808,0.45326898,1.3180273,-0.045924176,-0.7344897,1.5139886,-0.19979046,3.5980783,1.7920508,0.25007728,2.4399548,0.21842892,JE-TMA-41
JE-TMA-41_scene05_cell2657,-1.2208306,-2.04895,-0.4884595,-0.018356396,-0.5924824,-0.27711147,-1.4518583,-0.063131616,0.38416624,-0.2208902,-1.4465977,-0.6031537,-0.96646345,-0.4636983,-2.0690687,1.4222887,-0.4292059,0.3860176,1.9930764,-0.09062528,2.491486,0.40404183,0.15801814,1.926528,0.063951805,JE-TMA-41
JE-TMA-41_scene05_cell4408,-0.9677126,-1.5927298,-0.3852605,0.025697635,-1.0514473,0.1833883,-1.5954645,0.034038257,0.51284456,0.19079003,0.09319386,0.06339023,0.468423,-0.35167924,-0.89191985,0.5427692,0.04729606,-0.7772858,2.0238256,0.039127834,3.0468946,1.0176301,0.7542286,3.3080463,0.80198365,JE-TMA-41
JE-TMA-41_scene05_cell5532,-0.90580004,-1.6461489,-0.44628993,0.106234476,-0.6602033,0.12408692,-1.2615793,0.009942722,-0.17514656,-0.010605008,1.0478185,1.247406,-0.16327466,-0.60299486,-1.2743683,0.37256214,-0.16370104,-1.0310214,1.8463689,-0.27572012,2.2406878,2.4870143,0.2680836,2.961115,1.095991,JE-TMA-41
JE-TMA-41_scene05_cell4487,-0.7104842,-1.6032822,-0.551216,-0.16385944,-0.39440328,-0.5106825,-1.0623257,-0.14567785,0.16080572,-0.7309086,-0.617264,-0.69626474,-1.2824534,-0.41657963,-0.9301946,2.132799,-0.4798355,0.69821715,0.8705426,-0.51188993,3.3554187,0.5427738,0.27316573,1.3305111,0.3741401,JE-TMA-41
JE-TMA-41_scene05_cell3937,-0.7375166,-1.0779703,-0.30167285,-0.018177105,-1.1110314,0.052057803,-1.2097986,-0.02063017,1.295383,0.21450314,1.3451599,-2.875972,1.761366,-0.21474162,-1.9260676,0.7259834,-0.7745576,-0.33703062,2.2374725,0.2935815,3.3001704,3.0322146,0.9410343,2.7236824,1.1287993,JE-TMA-41
