,HER2_cellmem25,Vim_nucadj2,CD20_perinuc5,CD3_perinuc5,CD31_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CD8_perinuc5,PD1_perinuc5,PDPN_perinuc5,aSMA_perinuc5,CK14_cytoplasm,CK17_cytoplasm,CK19_cytoplasm,CK5_cytoplasm,CK7_cytoplasm,Ecad_cytoplasm,DAPI2_nuclei,ER_nuclei,Ki67_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-41_scene03_cell1582,-747.6492,-373.21738,-1869.4336,-163.4196,-14.016842,-441.10474,-307.45825,-562.303,403.9468,-242.61966,-165.82689,-294.32675,-478.14752,-277.9838,665.69824,366.85477,-548.3613,3628.001,-612.6772,-1492.3689,-274.52737,-2062.6946,96.82936,-627.1121,-61.384285,JE-TMA-41
JE-TMA-41_scene03_cell2842,-760.6936,-473.7083,-1890.619,-236.00279,-110.51518,-459.47043,-407.63055,-972.0309,-103.721985,-316.75195,-325.1197,-295.28336,-480.54166,-283.92767,296.987,-1483.9579,-521.9099,-785.8054,-963.0988,-2739.4346,-233.74324,-981.1545,-363.9214,-270.43307,-76.575165,JE-TMA-41
JE-TMA-41_scene03_cell2374,-725.89746,1655.6873,-1828.3236,112.46871,-29.877346,-285.34613,-140.22052,440.12735,-0.9905975,-143.3111,-97.510895,-237.1975,-388.99985,-286.2256,164.93184,-1394.2975,-521.8661,-499.71835,-582.0562,-3059.283,-68.94107,-931.64795,60.19325,-108.20218,-48.486412,JE-TMA-41
JE-TMA-41_scene03_cell1014,-725.3661,-509.43198,-1742.5487,-92.93461,-120.84765,-418.97815,-443.0688,-665.2496,-186.23984,-253.66325,-58.111176,-292.4731,-482.0033,-282.70926,394.0705,-1726.6578,-542.405,-1201.5795,-1393.9329,-1507.0017,-175.07983,1428.498,-379.29822,-511.8909,-62.58956,JE-TMA-41
JE-TMA-41_scene03_cell2321,-730.3643,-467.50705,-1878.202,-23.916056,-104.9336,-361.5141,445.0703,-341.13815,216.66055,-109.36527,28.282774,-281.46173,-459.78537,-286.87643,391.26172,-957.11597,-505.93503,1680.956,137.88896,-40.147415,-238.03358,-1750.743,31.55348,-276.30234,-44.321236,JE-TMA-41
JE-TMA-41_scene03_cell1826,-736.893,3.9276645,-1871.8315,-197.03911,-113.659546,-440.18045,-453.04117,-695.553,87.45056,-239.7629,-45.454697,-283.6496,-476.76672,-278.9134,1327.844,1823.0029,-547.0691,2717.8452,-1264.9706,-2888.2493,-124.640305,-1399.4125,-364.67175,-586.9917,-68.57686,JE-TMA-41
JE-TMA-41_scene03_cell2232,-668.9583,-471.22906,-1842.1897,-129.68474,-13.349186,-443.1934,-369.20056,-325.43503,115.32483,-218.59048,-41.519867,423.2024,-449.90768,-273.64777,2098.607,-581.80994,-433.03885,1218.7158,-640.1503,-1810.4641,-153.49855,1587.8318,405.44104,-429.05704,-52.979897,JE-TMA-41
JE-TMA-41_scene03_cell2642,-737.3945,-315.23062,-1831.2726,-76.2808,-43.643787,-281.21402,1084.7896,483.18448,188.91095,-19.672737,-49.88739,-267.62732,-447.06366,-292.55923,77.063644,-1285.7548,-532.3666,54.563255,-802.4268,-639.6899,-244.56241,5517.621,-285.1825,-422.75742,9394.991,JE-TMA-41
JE-TMA-41_scene03_cell4300,-726.2272,-476.76126,-1843.1365,147.07808,-89.74135,-346.46045,349.79626,-36.65257,99.62097,-157.5478,112.683105,-174.38882,-459.86145,-255.51253,225.06886,311.1841,-522.9705,1299.761,209.44853,1138.4155,-150.35313,-508.91687,199.58876,63.47092,-35.736015,JE-TMA-41
JE-TMA-41_scene03_cell534,-709.08,-377.2575,-1918.8912,-195.31792,-82.871605,-498.16418,-261.85303,-676.67017,-12.897061,-339.99808,-228.57333,-296.021,-466.88843,-284.65506,1126.7798,755.30615,-523.56366,2249.3027,-44.237263,-1504.3215,-268.07675,3298.8992,-251.16551,-811.2189,-57.478508,JE-TMA-41
JE-TMA-41_scene03_cell3575,-697.23627,-383.62772,-1829.3248,149.16206,-75.95935,-238.09665,-328.86554,108.20131,290.6309,12.671929,113.28946,-196.20494,-449.235,-270.74243,358.56097,199.62747,-523.0948,3271.9248,1629.5889,-1146.2068,-120.72955,-1927.6483,1320.2186,360.50302,-32.870567,JE-TMA-41
JE-TMA-41_scene03_cell3932,-717.7532,401.69397,-1822.6729,42.956383,-44.417698,-415.98386,-372.67096,429.42593,28.910496,-227.68727,-130.9277,-263.15094,-460.29193,-284.9863,1498.5186,-649.6432,-540.45996,3571.436,-884.79254,-1179.5464,180.29028,2775.9978,177.18935,-830.7268,-60.00277,JE-TMA-41
JE-TMA-41_scene03_cell2395,-698.9475,-469.94205,-1901.991,-142.05998,-93.66487,-404.8918,-423.82208,-778.38153,-28.017574,-250.1388,-289.55328,-229.7537,-406.7213,-280.74646,1060.2278,1676.9055,-251.765,2119.2842,-1353.7284,-1247.9468,-1.2922391,4982.3276,44.107067,-656.92993,-59.446953,JE-TMA-41
JE-TMA-41_scene03_cell2597,-716.92725,-449.6062,-1768.1425,-71.41947,-103.687386,-344.73477,-448.4351,-534.2146,308.33658,-4.1849737,-52.89125,-265.74252,-365.4257,-278.13232,72.67796,-1714.3605,-497.14633,-1586.9446,-979.8183,-948.57074,-162.87398,-324.9751,-370.1438,1282.5082,-22.82093,JE-TMA-41
JE-TMA-41_scene03_cell1507,-743.1664,-483.81128,-1783.7329,-138.49492,-115.678825,-466.40826,-420.81653,-806.5837,186.02777,-188.07661,-65.719025,-286.86057,-461.26733,-284.92908,989.8971,-828.87366,-569.2443,239.96657,-758.16205,-742.6098,-193.86987,-7.135127,-215.26817,-806.08307,-77.04209,JE-TMA-41
