,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene01_cell2077,0.32327284206884555,0.22687069760149878,0.8256515726720974,0.9944937930663216,3.9265017896271934,4.344002976091142,0.5728993752763227,0.3170385672919636,0.3146502127945432,9.423687828571513,-0.12045500044750623,0.11651001911518055,-0.040294718988944045,0.19096003133159217,0.09300382985405081,0.09541342276440756,0.031527885284546864,-0.172277069392054,0.09993381774991433,-0.011848243187479401,-0.023558684452839262,0.3722391670610574,-0.014605891973536789,0.2716273700794189,JE-TMA-41
JE-TMA-41_scene01_cell3182,0.5069839156899401,1.7421958295277675,0.7144003010479079,1.7643402005606168,0.5185340117317333,19.580973099834207,0.5019101764728762,1.0373753837417194,0.6761630605469633,8.956880576100211,0.6863013866969978,0.6042611770056098,0.12081637731927133,0.21330737296263214,0.13710550519215103,0.09889514722152837,0.07998044939614624,-0.17182946449727654,0.10539690219817233,0.0789464034965241,-0.010233416425420971,0.40522399643665125,0.12278712007949921,0.4697138165640796,JE-TMA-41
JE-TMA-41_scene01_cell2387,0.3536425183472134,1.1541190636515277,0.923284132460528,1.6680779298393231,0.6049901428368367,2.6350671336930382,0.4399699655930434,1.0485134155728035,0.5216600864799592,3.7858397292109753,0.11734598259283802,0.23580798806147335,0.024399506125937054,0.21535319465122016,0.09753903874642728,0.09234316325857117,0.04085582929139886,-0.15824892781111022,0.10226828839417501,0.0894318675928219,-0.017301336200786332,0.52443267823337,0.0568281345990751,0.35734925338839835,JE-TMA-41
JE-TMA-41_scene01_cell2004,0.1880746495433907,0.6617214416855872,0.6433374644167678,1.0578705729710114,0.855571073724908,1.3014894469111344,0.5113755198820599,0.6566205905321264,0.06296647495899133,0.06346639340215954,-0.17381860135991067,0.07773049099604995,-0.038903350297435635,0.16282019007556098,0.09256359091032085,0.09069485116948306,0.03030188694694408,-0.18564490981310455,0.10316807799126881,-0.029664100880887834,0.044249968026630504,0.4196341841347854,-0.013391622531685798,0.271520208320821,JE-TMA-41
JE-TMA-41_scene01_cell2704,0.413695224016398,0.4852054166781554,4.24154023696876,0.6603939631565974,0.627004737072542,0.8931103670111677,0.48749324624240165,1.5927166135653181,1.1316239631522782,0.6185260904377666,0.18069774516212733,1.3216958020674459,-0.004103937411253922,0.21158539884856492,0.0969202986363491,0.09286512246554146,0.04447549241423604,-0.1553262016986373,0.10279113594228734,0.04916730751231735,-0.015201760044860846,0.40790237444183686,0.045600292907701845,0.32479700375732545,JE-TMA-41
JE-TMA-41_scene01_cell1970,0.3615446916459666,0.13815289970740538,6.1019340984291475,0.7778643916998557,0.3121602445816913,0.5400148933548259,0.28929672123392947,1.5211950133364733,0.5199128757656613,0.34307115023243784,0.21921700504143132,0.13882173197114978,-0.02066309902354746,0.2263690639670004,0.0976468242875802,0.09173009227098405,0.051517894550778764,-0.1582540277391561,0.11283960006409527,0.05503831701712275,2.07028134406352,0.40649378056982777,2.9191171704794123,0.3533842115954143,JE-TMA-41
JE-TMA-41_scene01_cell365,0.32265268233094835,0.28016132232681024,6.560695431784234,0.906916886483444,0.13666089217368732,1.9867995318719922,0.3389481758160917,0.9122486140722956,1.9965070415373067,0.45409294745179496,2.2907401682878614,0.29569994656816123,-0.04001453397686111,0.21019299099302058,0.09256359091032085,0.09158009030607883,0.056100713766250976,-0.1720728635543013,0.14595148612195472,0.010980483399927188,0.1787994689486329,0.38990678539745993,0.3369910740586526,0.685311026922762,JE-TMA-41
JE-TMA-41_scene01_cell1513,0.005215020047227625,0.4745336387922749,1.4487586429995933,0.8971049188789577,0.7365821006916289,5.529078269080456,0.5625792936658447,0.9313392530079885,0.29213121043503143,0.5997912332254693,0.16448773944979678,0.06217894499946153,-0.040294718988944045,0.1373909646781426,0.09256359091032085,0.0980668647376447,0.030176516510161067,-0.2016220880510362,0.11857093663255333,-0.053291607068923386,-0.02802151933218855,0.39841269128033047,-0.014729691046174276,0.271520208320821,JE-TMA-41
JE-TMA-41_scene01_cell788,0.33041177233872876,0.10783316388764108,7.987613057143107,0.7679824771273165,0.1961633109096147,0.5066461951856922,0.3149735895859388,1.0365380329753617,0.1045672855106754,0.5357283467447626,0.8276572161089976,0.5350275164778631,-0.040280563367348365,0.22271940150399022,0.09275604063444098,0.08933080359158174,0.07093912435211808,-0.16998425245279047,0.1164965154222043,0.06568821592348656,1.0560913198627646,0.3823911833051346,0.6526412707124942,0.32837334053824035,JE-TMA-41
JE-TMA-41_scene01_cell1438,0.4550048114302445,0.42438067629508347,0.6039541124826638,0.6941444761023284,0.3541896393747002,1.008775588344267,0.3022666101722246,0.3418913845184714,0.2646272818328344,0.12340502552306953,-0.017527719738519854,0.20536720726536994,-0.0012873195236186574,0.20955664984924333,0.12443987200677359,0.09832745527684938,0.06541668686462554,-0.16841095868039302,0.10405320506984894,0.06168101090538386,0.046364139663534254,0.38161830405596675,0.18002689050796705,0.5965005908891593,JE-TMA-41
