,CK19,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK5,CK7,Ecad,Ki67,LamAC,PCNA,pHH3,ER,batch
JE-TMA-43_scene08_cell6632,2.702857,5.195946,0.052168135,0.0709385,0.19273718,0.096793935,0.07501569,0.026014108,0.16129118,0.39681363,0.0060652792,0.1979198,0.3741511,0.0,0.16662426,0.59911704,0.20877634,1.0686301,0.18262486,0.076869436,0.6514501,0.18518849,0.51466626,0.4413978,JE-TMA-43
JE-TMA-43_scene08_cell5152,1.3752803,4.365534,0.035938423,0.10940668,0.19835253,0.10427986,0.058289606,0.026991265,0.1829546,0.46678102,0.001653244,0.2349261,0.4818249,1.39499125e-05,0.15491404,0.48093194,0.21377583,0.62325263,0.237139,0.17582649,0.66141057,0.11624922,0.4973542,0.55050886,JE-TMA-43
JE-TMA-43_scene08_cell8645,1.6465459,7.5410285,0.08617508,0.1315049,0.2968217,0.09160772,0.07863086,0.067566015,0.2747448,0.38106328,0.007040705,0.37570778,0.38415772,0.0,0.17511098,0.72316986,0.20844509,1.021986,0.38087404,0.21749283,0.68447095,0.22760585,0.5604102,0.57879865,JE-TMA-43
JE-TMA-43_scene08_cell1816,0.85643846,2.234352,0.0480653,0.12461752,0.2820169,0.11021449,0.085715316,0.047340363,0.22340691,0.38597465,0.008739806,0.5518155,0.69585496,0.0,0.16006154,0.43047348,0.20731239,0.5410366,0.2671057,0.26371792,0.5517325,0.1384086,0.5202362,0.5740029,JE-TMA-43
JE-TMA-43_scene08_cell7164,1.5165895,2.5109546,0.031507667,0.08827128,0.2136838,0.10267442,0.08886966,0.03727916,0.20980012,0.392689,0.02242752,0.48286742,0.4174929,0.0,0.15987667,0.46237186,0.18556099,0.5150538,0.25482568,1.3122699,0.8043108,0.3186019,0.5718697,0.3820175,JE-TMA-43
JE-TMA-43_scene08_cell8934,0.66881263,1.4988692,0.016872965,0.069750436,0.21383646,0.09436961,0.061411284,0.026122993,0.1856001,0.08318165,0.0017446293,0.2140006,0.11836441,0.0,0.16118073,0.35153225,0.14034088,0.19798471,0.061744913,0.074554846,0.18139428,0.1335528,0.46637344,0.36376342,JE-TMA-43
JE-TMA-43_scene08_cell7890,0.5750718,3.5679388,0.02200628,0.048478547,0.1887507,0.10756631,0.07073431,0.019180432,0.10347387,0.1429059,0.0025607313,0.4370774,0.17999779,0.0,0.1372966,0.39437705,0.157831,0.2270345,0.06200517,1.204235,0.15340714,0.17126785,0.4682579,0.28737655,JE-TMA-43
JE-TMA-43_scene08_cell1786,1.579976,2.8213327,0.045154653,0.10918156,0.22423218,0.14483072,0.094734006,0.053849045,0.2227979,0.5832979,0.0121488385,0.6225819,0.63130647,0.0,0.16846763,0.518511,0.22434002,0.73611104,0.34120786,0.18289605,0.6133938,0.20490262,0.5444341,0.49297026,JE-TMA-43
JE-TMA-43_scene08_cell6073,1.5877224,4.012943,0.029276397,0.08326441,0.21252489,0.12686577,0.07883822,0.05377223,0.28074312,0.38896105,0.025573619,0.3756232,0.2922759,0.0,0.14441516,0.5680073,0.20501736,0.30224407,0.19243814,0.38842657,0.6179989,0.83597535,0.6207625,0.70118046,JE-TMA-43
JE-TMA-43_scene08_cell5622,1.6072989,5.7127614,0.044073228,0.120112516,0.26985285,0.10188004,0.08287436,0.048450653,0.27610174,0.42279264,0.057363104,0.36327124,0.7184238,0.0,0.18057616,0.4128886,0.20745303,0.8552411,0.26507002,1.5289637,0.4169888,0.22676495,16.918135,0.5420333,JE-TMA-43
JE-TMA-43_scene08_cell4616,0.8061711,2.4548423,0.03577108,0.12789518,0.3276486,0.113011815,0.07124881,0.041862074,0.26954964,0.29284477,0.022196729,0.38650474,0.5653667,5.559486e-05,0.17575024,0.42653123,0.20000502,0.42367023,0.13765301,0.114710964,0.7423559,0.15583344,0.50329727,0.367405,JE-TMA-43
JE-TMA-43_scene08_cell9268,0.77424383,3.5560465,0.0316951,0.08834513,0.20269597,0.12531747,0.069404766,0.023643076,0.1474334,0.26076466,0.010041711,0.24997798,0.33199877,0.0,0.09900338,0.4768479,0.16020252,0.2967731,0.101303145,0.09694263,1.1776153,0.19956727,0.47107133,0.24738994,JE-TMA-43
JE-TMA-43_scene08_cell9614,1.1631689,2.3290825,0.028897297,0.09241122,0.19678482,0.09519845,0.07093281,0.018122382,0.16740559,0.25597888,0.014882443,0.25584412,0.35612458,0.0,0.15680449,0.51547647,0.19635186,0.45472762,0.09653406,0.15154566,0.32175043,0.1716647,0.4690093,0.2878873,JE-TMA-43
JE-TMA-43_scene08_cell3844,0.53085667,2.0231063,0.025227264,0.061039977,0.14702244,0.0792247,0.07121163,0.022739064,0.17782553,0.31039032,0.0030404488,0.30498832,0.40709507,0.0001343325,0.29312804,0.408576,0.18967979,0.23064117,0.09661653,1.5021019,0.24315163,0.37152582,0.54224324,0.5448413,JE-TMA-43
JE-TMA-43_scene08_cell9080,0.84002423,2.2441328,0.03283506,0.11166955,0.2040255,0.07734576,0.06285359,0.037851438,0.21674155,0.20164067,0.014861128,0.4046097,0.7065489,0.00023563241,0.16246459,0.49521747,0.20910375,0.37449303,0.19263783,1.0078605,0.2753779,0.10885609,0.5221362,0.48809928,JE-TMA-43
JE-TMA-43_scene08_cell2852,1.9187843,6.964208,0.06759895,0.08244637,0.20973209,0.068558164,0.07671354,0.034533743,0.16890743,0.42000264,0.005076411,0.44581175,0.60257673,0.0,0.15788707,0.5105013,0.21902663,1.1369437,0.31365982,2.5050566,0.6392757,0.16884397,0.6074068,0.6251195,JE-TMA-43
JE-TMA-43_scene08_cell7982,1.9355247,3.0932534,0.05886144,0.08575106,0.22713497,0.10587019,0.07928903,0.03693535,0.17077,0.27353016,0.0030267725,0.41406167,0.27949208,0.0,0.17380926,0.5046175,0.16949672,0.73306894,0.12999578,0.11620542,0.5207313,0.3521975,0.44090503,0.5348388,JE-TMA-43
JE-TMA-43_scene08_cell2699,1.8419533,5.502183,0.07600137,0.10758353,0.28379855,0.08439285,0.06937993,0.04414169,0.21962488,0.78370094,0.004136088,0.37559295,0.45400852,0.0,0.17786705,0.4071368,0.19544615,0.8864997,0.29622227,0.17054988,0.5606765,0.14200148,0.6055411,0.38939238,JE-TMA-43
JE-TMA-43_scene08_cell7912,0.65475565,1.9892845,0.02309533,0.093304485,0.24064343,0.094744794,0.070873015,0.032216746,0.16661485,0.22424404,0.00852454,0.5117716,0.37891614,0.0,0.15462932,0.39986947,0.18266656,0.25922465,0.0917198,1.7597977,0.6788147,0.20380361,0.4987792,0.5279815,JE-TMA-43
JE-TMA-43_scene08_cell8738,1.089851,3.1345925,0.044422876,0.1301142,0.3144975,0.09584503,0.0990042,0.05181678,0.27324328,0.36810127,0.0062250737,0.50156224,0.52210057,0.0,0.1557687,0.55144525,0.18983316,0.48535004,0.17164907,0.19481178,0.6515761,0.25756127,0.47561428,0.51932746,JE-TMA-43
JE-TMA-43_scene08_cell8646,1.85432,5.102958,0.0316495,0.10420591,0.30770037,0.08692948,0.07437616,0.038923416,0.22998033,0.7271117,0.012149527,0.4445761,0.4299327,0.0,0.17691198,0.63806593,0.22297429,0.6300877,0.39063728,0.2505771,0.56712174,0.16573705,0.49917996,0.5089509,JE-TMA-43
JE-TMA-43_scene08_cell668,1.6771021,7.1570063,0.064169206,0.07466188,0.146928,0.104131214,0.088546395,0.043398507,0.2405557,0.32382184,0.0015264327,0.2499426,0.5991568,0.0,0.15983547,0.6392381,0.26438934,0.8817697,1.0020741,0.32687864,0.5588453,0.6376961,0.6049639,0.56469095,JE-TMA-43
JE-TMA-43_scene08_cell5073,0.8645983,3.6644833,0.02723461,0.07767861,0.16959086,0.13091727,0.07175898,0.022708274,0.14906135,0.43964896,0.008421434,0.2623995,0.68299204,0.0,0.15855904,0.47196972,0.21811989,0.41478088,0.20127852,0.33851108,0.5479871,0.23116712,0.8856824,0.5295301,JE-TMA-43
JE-TMA-43_scene08_cell8422,2.1067097,5.261912,0.049522653,0.12463095,0.29998735,0.09968974,0.08510875,0.059993576,0.26559818,0.4598504,0.03418023,0.3732347,0.5593746,0.0,0.19051628,0.70852244,0.21588372,0.89819396,0.37570137,3.3703222,0.74633527,0.23235232,0.4885168,0.48034307,JE-TMA-43
JE-TMA-43_scene08_cell8120,0.85795516,3.2617743,0.038335815,0.107555054,0.17511486,0.105137505,0.079721786,0.061239243,0.20312753,0.2536082,0.033208754,0.5814153,0.55593944,0.0,0.16676237,0.47068575,0.19281416,0.4025151,0.17810825,3.1871614,0.5777833,0.23520234,0.62488467,0.59946674,JE-TMA-43
JE-TMA-43_scene08_cell7915,1.1900747,6.5685453,0.048260976,0.07778397,0.20531912,0.21086861,0.10391357,0.041653942,0.22668795,0.5113796,0.0030672029,0.75356835,0.4313231,4.2155658e-05,0.14789893,0.66106105,0.23177993,0.5371906,0.48711345,0.25820622,0.5626594,0.19770692,0.5430085,0.8200711,JE-TMA-43
JE-TMA-43_scene08_cell5306,0.54700613,4.140796,0.023312915,0.114082806,0.27791893,0.115366444,0.06865328,0.054271422,0.25688282,0.13686025,0.009141722,0.21653517,0.26099998,0.0,0.18662773,0.3842962,0.20088647,0.16546169,0.21606432,1.039733,0.4232995,0.15963109,0.48590013,0.526462,JE-TMA-43
JE-TMA-43_scene08_cell9704,0.50698584,3.1430054,0.026593413,0.06539854,0.16455455,0.098021045,0.057807215,0.015474707,0.13275672,0.34019992,0.06043371,0.32857135,0.5650594,0.0,0.19910231,0.41117412,0.18217944,0.16350606,0.08759763,0.6878452,0.42893094,0.087374955,0.57136434,0.24799173,JE-TMA-43
JE-TMA-43_scene08_cell3170,1.3337603,3.1886754,0.03765922,0.10842489,0.21975265,0.06676876,0.060370825,0.03266922,0.19081534,0.4627119,0.000112211135,0.40397775,0.6827553,0.0,0.16076453,0.5109315,0.22863628,0.6535425,0.24053457,0.9690254,0.51756215,0.11284462,0.54274774,0.306004,JE-TMA-43
JE-TMA-43_scene08_cell8978,0.7571381,3.2442706,0.030785412,0.1026441,0.25237492,0.08950878,0.072960846,0.0282752,0.19014253,0.27378082,0.019444404,0.40330446,0.58144075,0.0,0.14889815,0.45217672,0.19209264,0.30058667,0.20116247,0.31412283,0.81099796,0.19207726,0.5780339,0.8027385,JE-TMA-43
JE-TMA-43_scene08_cell7368,1.5814745,2.431561,0.05352491,0.12828122,0.20753759,0.113359116,0.06293984,0.030723035,0.17706148,0.45754585,0.030256538,0.46400085,0.7188514,0.0,0.15554582,0.48237386,0.2012294,0.6982249,0.14940917,1.941425,0.5357134,0.09754503,0.5862879,0.4685337,JE-TMA-43
JE-TMA-43_scene08_cell6781,1.8841783,5.5753646,0.056979585,0.087315686,0.2144353,0.0831015,0.07641108,0.041062146,0.2022458,0.28716153,0.012965553,0.22098279,0.4403195,0.0,0.17254645,0.46698162,0.21015468,0.77053255,0.26837456,0.18578576,0.3737132,0.19843818,0.47450382,0.9285213,JE-TMA-43
JE-TMA-43_scene08_cell2775,2.342608,5.711942,0.041805733,0.07104108,0.2018885,0.09930846,0.081126384,0.030474568,0.19350223,0.7571441,0.00179901,0.46619415,0.36370835,0.0,0.13652508,0.75126874,0.20805961,0.67789817,0.1864313,0.09066417,0.37541556,0.1453232,0.52874315,0.44791973,JE-TMA-43
JE-TMA-43_scene08_cell6996,1.5263765,3.0418723,0.051311903,0.11833605,0.29784954,0.10362546,0.078739844,0.04040767,0.2328533,0.61968553,0.031250346,0.3245247,0.49657574,0.0,0.17265162,0.46076798,0.17846808,0.6009963,0.19170469,0.15361509,0.9327604,0.18758117,0.5002032,0.5737017,JE-TMA-43
JE-TMA-43_scene08_cell5720,2.5543253,3.914257,0.08351151,0.082351014,0.13802326,0.14253302,0.057304967,0.024472687,0.19095333,0.8184332,0.0074242903,0.23792207,0.6700656,0.0,0.16760105,0.6723691,0.23501648,1.4901519,0.62326247,0.09158613,0.44580722,0.13347536,0.613207,0.6262855,JE-TMA-43
JE-TMA-43_scene08_cell5181,0.63350546,2.372441,0.031204382,0.121758126,0.31675667,0.09566421,0.07085765,0.040194668,0.24932091,0.36239877,0.006875115,0.31816876,0.5238195,0.0,0.17216122,0.4479378,0.21686675,0.3664603,0.29693818,1.2159158,0.533618,0.15423785,0.5362245,0.40475193,JE-TMA-43
JE-TMA-43_scene08_cell2560,0.9957793,3.9690523,0.034290686,0.09761655,0.2858649,0.08232267,0.07644764,0.044009395,0.20077085,0.31046322,0.0021068677,0.3051287,0.44377008,0.0,0.16263624,0.508256,0.18955326,0.49642667,0.2100214,1.7773932,0.4144917,0.20044848,0.5327091,0.37433904,JE-TMA-43
JE-TMA-43_scene08_cell3334,1.880321,2.595344,0.051632803,0.0985496,0.22457565,0.0768406,0.073150896,0.041511152,0.20081672,0.2462321,0.002124297,0.2503658,0.46707705,2.311309e-05,0.18655476,0.7339879,0.23223133,0.94165623,0.33157638,1.2910727,0.5274116,0.45136243,0.5583042,0.6314676,JE-TMA-43
