"","kBET.expected","kBET.observed","kBET.signif"
"mean",0.00662962962962963,0.92312962962963,0
"2.5%",0.00337962962962963,0.90087962962963,0
"50%",0.00679012345679012,0.924074074074074,0
"97.5%",0.0104938271604938,0.944537037037037,0
